flopo_id	label	class_kind	axiom_type	action	replacement_property	target	target_label	note
FLOPO:0980112	bluish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988007	blue	Hue-tendency adjective; ISCC-NBS uses 'bluish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'blue', not a block.
FLOPO:0980116	deep crimson	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Modifier 'deep' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'crimson'.
FLOPO:0980117	pale cream	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988019	yellow (ISCC-NBS level 2)	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'cream'.
FLOPO:0980119	pale scarlet	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'scarlet'.
FLOPO:0980127	blackish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988011	black	Hue-tendency adjective; ISCC-NBS uses 'blackish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'black', not a block.
FLOPO:0980128	deep magenta	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Modifier 'deep' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'magenta'.
FLOPO:0980130	brownish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988003	brown	Hue-tendency adjective; ISCC-NBS uses 'brownish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'brown', not a block.
FLOPO:0980132	pale pinkish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988000	pink	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'pinkish'.
FLOPO:0980153	light scarlet	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Modifier 'light' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'scarlet'.
FLOPO:0980154	mahogany-red	single colour-name value	subclass	obsolete	oboInOwl:consider	PATO:0001287	reddish brown	Lexical equivalent of 'mahogany'. Documented senses fall in ISCC-NBS block(s) 43; lowest covering backbone class is level 2 'reddish brown'. PDF p.160 Sense tier used: botanical (1 sense(s)); all sources give blocks 43. Only one source places the word in a single block, so it is attached to that block's level-2 class rather than to the block itself.
FLOPO:0980159	lemon-yellow	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988004	yellow	Lexical equivalent of 'lemon'. Documented senses fall in ISCC-NBS block(s) 82 98 99; lowest covering backbone class is level 1 'yellow'. PDF p.158 Sense tier used: botanical (3 sense(s)); all sources give blocks 82 83 84 85 86 87 97 98 99 100.
FLOPO:0980167	apricot-yellow	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988004	yellow	Two-colour compound not named by ISCC-NBS; English head-final reading makes it a NARROW synonym of the head 'yellow' class 'yellow' (tending towards 'apricot').
FLOPO:0980174	golden	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988004	yellow	Documented senses span ISCC-NBS block(s) 88 94 across level-1 categories olive, yellow; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. M synonyms: Aurum, Golden, Imperial Stone; PDF p.145 Sense tier used: botanical (1 sense(s)); all sources give blocks 76 82 84 87 88 91 94.
FLOPO:0980185	golden-yellow	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988004	yellow	Lexical equivalent of 'golden'. Documented senses span ISCC-NBS block(s) 88 94 across level-1 categories olive, yellow; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. M synonyms: Aurum, Golden, Imperial Stone; PDF p.145 Sense tier used: botanical (1 sense(s)); all sources give blocks 76 82 84 87 88 91 94.
FLOPO:0980187	white, cream, or yellow	composition (union)	union	keep; repoint colour operands to backbone				Not a colour-name class; its colour operands are repointed (PATO basic hue -> backbone class).
FLOPO:0980189	slightly blue-green	single colour-name value	subclass	obsolete	oboInOwl:consider	PATO:0104020	bluish green	Modifier 'slightly' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'blue green'.
FLOPO:0980196	red or yellow	composition (union)	union	keep; repoint colour operands to backbone				Not a colour-name class; its colour operands are repointed (PATO basic hue -> backbone class).
FLOPO:0980199	greenish or pinkish	composition (union)	union	keep; repoint colour operands to backbone				Not a colour-name class; its colour operands are repointed (PATO basic hue -> backbone class).
FLOPO:0980201	pale yellowish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988004	yellow	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'yellowish'.
FLOPO:0980202	very red	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988013	red (ISCC-NBS level 2)	Modifier 'very' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'red'.
FLOPO:0980204	brilliant deep blue	single colour-name value	subclass	obsolete	oboInOwl:consider	PATO:0104064	deep blue	Modifier 'brilliant' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'deep blue'.
FLOPO:0980207	lilac or deep blue	composition (union)	union	keep; repoint colour operands to backbone				Not a colour-name class; its colour operands are repointed (PATO basic hue -> backbone class).
FLOPO:0980211	bright dark green	single colour-name value	subclass	obsolete	oboInOwl:consider	PATO:0001249	dark green	Modifier 'bright' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'dark green'.
FLOPO:0980213	reddish line	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Label mixes the colour phrase 'reddish' with pattern/position/stage wording; only the colour part is mapped. Hue-tendency adjective; ISCC-NBS uses 'reddish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'red', not a block.
FLOPO:0980215	lilac flushed	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988008	purple	Label mixes the colour phrase 'lilac' with pattern/position/stage wording; only the colour part is mapped. Documented senses span ISCC-NBS block(s) 206 210 217 222 223 226 227 237 240 241 244 248 249 250 252 253 across level-1 categories pink, purple; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. M synonyms: Lilaceous, Lilas, Mauvette; txt line OCR-garbled (source/blocks read from PDF page image); PDF p.159 Sense tier used: botanical (2 sense(s)); all sources give blocks 5 10 18 206 209 210 217 221 222 223 226 227 228 231 232 233 237 240 241 244 248 249 250 252 253 261 262.
FLOPO:0980217	pink (occasionally flushed)	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988000	pink	Label mixes the colour phrase 'pink' with pattern/position/stage wording; only the colour part is mapped. Literal ISCC-NBS name 'pink' (level 1).
FLOPO:0980227	deep glowing orange	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988016	orange (ISCC-NBS level 2)	Modifier 'deep' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'glowing orange'.
FLOPO:0980228	deep maroon-purple	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988008	purple	Modifier 'deep' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'maroon purple'.
FLOPO:0980233	brilliant deep red	single colour-name value	subclass	obsolete	oboInOwl:consider	PATO:0104189	deep red	Modifier 'brilliant' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'deep red'.
FLOPO:0980237	fading white	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988009	white	Label mixes the colour phrase 'white' with pattern/position/stage wording; only the colour part is mapped. Literal ISCC-NBS name 'white' (level 1).
FLOPO:0980239	very deep purplish-black	single colour-name value	subclass	obsolete	oboInOwl:consider	PATO:0104157	purplish black	Modifier 'very deep' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'purplish black'.
FLOPO:0980244	green-backed	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988006	green	Label mixes the colour phrase 'green' with pattern/position/stage wording; only the colour part is mapped. Literal ISCC-NBS name 'green' (level 1).
FLOPO:0980248	pale creamy	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988019	yellow (ISCC-NBS level 2)	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'creamy'.
FLOPO:0980251	pale greygreen with red streaks and freckles	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Label mixes the colour phrase 'red' with pattern/position/stage wording; only the colour part is mapped. Literal ISCC-NBS name 'red' (level 1).
FLOPO:0980255	bright rich blue	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988025	blue (ISCC-NBS level 2)	Modifier 'bright' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'rich blue'.
FLOPO:0980256	sky-blue	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988025	blue (ISCC-NBS level 2)	Documented senses fall in ISCC-NBS block(s) 181; lowest covering backbone class is level 2 'blue'. M synonyms: Cerulean, Ethereal Blue, Sky, Sky Colour; PDF p.181 Sense tier used: botanical (1 sense(s)); all sources give blocks 172 181 182 183 185 199. Only one source places the word in a single block, so it is attached to that block's level-2 class rather than to the block itself.
FLOPO:0980257	sky blue	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988025	blue (ISCC-NBS level 2)	Documented senses fall in ISCC-NBS block(s) 181; lowest covering backbone class is level 2 'blue'. M synonyms: Cerulean, Ethereal Blue, Sky, Sky Colour; PDF p.181 Sense tier used: botanical (1 sense(s)); all sources give blocks 172 181 182 183 185 199. Only one source places the word in a single block, so it is attached to that block's level-2 class rather than to the block itself.
FLOPO:0980261	sandy-yellow	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988004	yellow	Label mixes the colour phrase 'yellow' with pattern/position/stage wording; only the colour part is mapped. Literal ISCC-NBS name 'yellow' (level 1).
FLOPO:0980262	chestnut-brown	single colour-name value	subclass	obsolete	oboInOwl:consider	PATO:0001287	reddish brown	Lexical equivalent of 'chestnut'. Documented senses fall in ISCC-NBS block(s) 43 44 46 47; lowest covering backbone class is level 2 'reddish brown'. M synonyms: Brown Bay, Brownstone, Castaneous, Marone, Marron, Marrone; PDF p.137 Sense tier used: botanical (4 sense(s)); all sources give blocks 43 44 46 47 61.
FLOPO:0980264	dark-green	single colour-name value	subclass	obsolete	IAO:0100001	PATO:0001249	dark green	Spelling/hyphenation variant of the ISCC-NBS name 'dark green'.
FLOPO:0980267	pink-flushed	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988000	pink	Label mixes the colour phrase 'pink' with pattern/position/stage wording; only the colour part is mapped. Literal ISCC-NBS name 'pink' (level 1).
FLOPO:0980274	greenish yellow inside	single colour-name value	subclass	obsolete	oboInOwl:consider	PATO:0104013	greenish yellow	Label mixes the colour phrase 'greenish yellow' with pattern/position/stage wording; only the colour part is mapped. Literal ISCC-NBS name 'greenish yellow' (level 2).
FLOPO:0980275	pink streaked	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988000	pink	Label mixes the colour phrase 'pink' with pattern/position/stage wording; only the colour part is mapped. Literal ISCC-NBS name 'pink' (level 1).
FLOPO:0980276	streaked with pink behind	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988000	pink	Label mixes the colour phrase 'pink' with pattern/position/stage wording; only the colour part is mapped. Literal ISCC-NBS name 'pink' (level 1).
FLOPO:0980285	chestnut-red	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Two-colour compound not named by ISCC-NBS; English head-final reading makes it a NARROW synonym of the head 'red' class 'red' (tending towards 'chestnut').
FLOPO:0980286	cream or white	composition (union)	union	keep; repoint colour operands to backbone				Not a colour-name class; its colour operands are repointed (PATO basic hue -> backbone class).
FLOPO:0980291	flushed with purple	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988008	purple	Label mixes the colour phrase 'purple' with pattern/position/stage wording; only the colour part is mapped. Literal ISCC-NBS name 'purple' (level 1).
FLOPO:0980296	scarlet-flushed	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Label mixes the colour phrase 'scarlet' with pattern/position/stage wording; only the colour part is mapped. Documented senses span ISCC-NBS block(s) 11 35 across level-1 categories orange, red; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. PDF p.180 Sense tier used: botanical (4 sense(s)); all sources give blocks 3 11 12 15 34 35.
FLOPO:0980299	pale brownish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988003	brown	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'brownish'.
FLOPO:0980320	silver-grey	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988010	gray	Two-colour compound not named by ISCC-NBS; English head-final reading makes it a NARROW synonym of the head 'gray' class 'gray' (tending towards 'silver').
FLOPO:0980323	dark crimson-red	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Modifier 'dark' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'crimson red'.
FLOPO:0980335	greenish-gold	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988004	yellow	Two-colour compound not named by ISCC-NBS; English head-final reading makes it a RELATED synonym of the head 'gold' class 'yellow' (tending towards 'greenish').
FLOPO:0980343	blue or lilac	composition (union)	union	keep; repoint colour operands to backbone				Not a colour-name class; its colour operands are repointed (PATO basic hue -> backbone class).
FLOPO:0980346	yellow or reddish orange	composition (union)	union	keep; repoint colour operands to backbone				Not a colour-name class; its colour operands are repointed (PATO basic hue -> backbone class).
FLOPO:0980352	very pale pink	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988012	pink (ISCC-NBS level 2)	Modifier 'very pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'pink'.
FLOPO:0980359	pale salmon-pink	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988000	pink	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'salmon pink'.
FLOPO:0980363	bright sky-blue	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988025	blue (ISCC-NBS level 2)	Modifier 'bright' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'sky blue'.
FLOPO:0980364	dark purplish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988008	purple	Modifier 'dark' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'purplish'.
FLOPO:0980372	pale greenish-white	single colour-name value	subclass	obsolete	oboInOwl:consider	PATO:0104067	greenish white	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'greenish white'.
FLOPO:0980374	pale reddish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'reddish'.
FLOPO:0980375	greyish heart-shaped	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988010	gray	Label mixes the colour phrase 'greyish' with pattern/position/stage wording; only the colour part is mapped. Hue-tendency adjective; ISCC-NBS uses 'grayish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'gray', not a block.
FLOPO:0980376	bright deep blue	single colour-name value	subclass	obsolete	oboInOwl:consider	PATO:0104064	deep blue	Modifier 'bright' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'deep blue'.
FLOPO:0980382	pale grey	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988010	gray	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'gray'.
FLOPO:0980398	brilliant deep pink	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988032	deep pink	Modifier 'brilliant' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'deep pink'.
FLOPO:0980402	orange ripe	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988002	orange	Label mixes the colour phrase 'orange' with pattern/position/stage wording; only the colour part is mapped. Literal ISCC-NBS name 'orange' (level 1).
FLOPO:0980403	bright lilac	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988008	purple	Modifier 'bright' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'lilac'.
FLOPO:0980405	pale pinkish white	single colour-name value	subclass	obsolete	oboInOwl:consider	PATO:0104059	pinkish white	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'pinkish white'.
FLOPO:0980406	crimson tipped	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Label mixes the colour phrase 'crimson' with pattern/position/stage wording; only the colour part is mapped. Documented senses fall in ISCC-NBS block(s) 11 254; lowest covering backbone class is level 1 'red'. PDF p.140 Sense tier used: botanical (2 sense(s)); all sources give blocks 11 12 254 256.
FLOPO:0980409	bright reddish purple	single colour-name value	subclass	obsolete	oboInOwl:consider	PATO:0104079	reddish purple	Modifier 'bright' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'reddish purple'.
FLOPO:0980416	reddish orange	single colour-name value	subclass	obsolete	IAO:0100001	FLOPO:0988015	reddish orange	Literal ISCC-NBS name 'reddish orange' (level 2).
FLOPO:0980586	cream sensu RHS Colour Chart fifth edition	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988019	yellow (ISCC-NBS level 2)	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980587	cream sensu Saccardo (1891)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988019	yellow (ISCC-NBS level 2)	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980588	crimson sensu Wilson Horticultural Colour Chart (1938/1940)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988038	vivid red	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980589	crimson sensu Textile Color Card Association of the USA	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	PATO:0104087	deep purplish red	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980590	scarlet sensu Saccardo (1891)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980591	scarlet sensu Ridgway (1912)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988061	strong reddish orange	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980592	scarlet sensu Wilson Horticultural Colour Chart (1938/1940)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988038	vivid red	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980593	lemon yellow sensu Saccardo (1891)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988004	yellow	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980594	lemon yellow sensu Ridgway (1912)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	PATO:0104013	greenish yellow	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980595	mahogany red sensu Ridgway (1912)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988069	moderate reddish brown	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980596	salmon colour sensu Saccardo (1891)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988000	pink	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980597	salmon colour sensu Ridgway (1912)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988000	pink	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980598	chestnut colour sensu Saccardo (1891)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	PATO:0001287	reddish brown	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980599	chestnut sensu Ridgway (1912)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988069	moderate reddish brown	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980600	chestnut-brown sensu Ridgway (1912)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	PATO:0001287	reddish brown	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980601	chocolate brown sensu Saccardo (1891)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988072	grayish reddish brown	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980602	chocolate sensu Ridgway (1912)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988072	grayish reddish brown	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980603	olive-green sensu Saccardo (1891)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988005	olive	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980604	olive sensu Ridgway (1912)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988021	olive (ISCC-NBS level 2)	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980605	olive-green sensu Ridgway (1912)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988130	moderate olive	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980606	rose colour sensu Saccardo (1891)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988000	pink	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980607	rose color sensu Ridgway (1912)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988000	pink	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980608	rose pink sensu Ridgway (1912)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988261	light purplish pink	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980609	straw colour sensu Saccardo (1891)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988019	yellow (ISCC-NBS level 2)	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980610	straw yellow sensu Ridgway (1912)	source-qualified sensu colour	subclass	obsolete	oboInOwl:consider	FLOPO:0988110	light yellow	Chip/standard reference preserved as dbxref on the botanical_colour_name synonym.
FLOPO:0980091	rosy-lilac	composition (components)	components	keep; repoint colour operands to backbone		FLOPO:0988008	purple	Not a colour-name class; its colour operands are repointed (PATO basic hue -> backbone class).
