candidate_id	value_label	frequency	status	suggested_parent_pato_ids	suggested_parent_pato_labels	quality_contexts	examples	notes
FLOPO_VALUE_bluish	bluish	5	candidate	PATO_0000318	blue	leaf color (3)|stamen color (1)|banner petal color (1)	Chrozophora tinctoria: bluish leaves || Hochstettera schimperi: prominent bluish stamens || Macrotyloma axillare var. axillare: standard with a bluish blotch || Nitraria retusa: leathery bluish leaves	""
FLOPO_VALUE_lilac_blue	lilac-blue	5	candidate	PATO_0001943|PATO_0000318	lilac|blue	flower color (5)	Echium longifolium: age lilac-blue || Ixiolirion tataricum: tubular lilac-blue flowers || Nepeta deflersiana: lilac-blue flowers || Plectranthus tenuiflorus: lilac-blue flowers	""
FLOPO_VALUE_cream	cream	4	candidate	PATO_0000323|PATO_0000324	white|yellow	flower color (3)|corolla color (1)	Acacia asak: white, cream, or yellow flowers || Ceropegia superba: corolla cream || Daphne linearifolia: cream or white flowers || Prosopis farcta: cream flowers	""
FLOPO_VALUE_leathery	leathery	4	candidate	PATO_0000150	texture	leaf texture (4)	Capparis cartilaginea: thick leathery leaves || Nitraria retusa: leathery bluish leaves || Plicosepalus acaciae: oval leathery leaves || Solenostemma oleifolium: leathery bluish leaves	""
FLOPO_VALUE_deep_crimson	deep crimson	4	candidate	PATO_0000322	red	flower color (4)	Caralluma shadhbana var. barhana: deep crimson glabrous flowers || Paracaryum cf. rugulosum: deep crimson flowers || Scrophularia hypericifolia: deep crimson and white flowers || Teucrium yemense: deep crimson flowers	""
FLOPO_VALUE_pale_cream	pale cream	4	candidate	PATO_0000323|PATO_0000324	white|yellow	flower color (3)|corm color (1)	Ceropegia sp. aff. arabica: pale cream flowers || Commiphora sp. aff. erythraea: pale cream flowers || Eulophia petersii: Large pale cream crowded pseudobulbs || Heliotropium arbainense: pale cream flowers 5 mm wide	""
FLOPO_VALUE_pendent	pendent	4	candidate	PATO_0000133	orientation	fruit orientation (2)|fruit position (2)	Datura fastuosa: pale green warty pendent fruits || Datura innoxia: very spiny pendent fruits || Ipomoea sinensis ssp. blepharosepala: Pendent fruits || Limeum arabicum: Pendent fruits enclosed within the calyx	""
FLOPO_VALUE_pale_scarlet	pale scarlet	4	candidate	PATO_0000322	red	flower color (4)	Indigofera articulata: pale scarlet flowers || Indigofera spinosa: pale scarlet flowers || Indigofera tritoides: pale scarlet flowers || Papaver dubium: pale scarlet flowers	""
FLOPO_VALUE_soft_spiny	soft-spiny	4	candidate	PATO_0000387|PATO_0001365	soft|spiny	fruit texture (1)|involucre texture (1)|stipule texture (1)|flower texture (1)	Medicago minima: soft-spiny fruits || Rhanterium eppaposum: soft-spiny involucre || Sida spinosa: small soft-spiny stipules || Tarchonanthus camphoratus: soft-spiny pale yellow flowers	""
FLOPO_VALUE_bud_like	bud-like	3	needs_manual_parent			flower shape (3)	Acantholepis orientalis: fawn bud-like flowers || Artemisia abyssinica: brown bud-like flowers || Chenopodium ambrosioides: bud-like flowers	""
FLOPO_VALUE_pale_bluish_lilac	pale bluish lilac	3	candidate	PATO_0000318|PATO_0001943	blue|lilac	flower color (3)	Achillea biebersteinii: pale bluish lilac flowers || Convolvulus hystrix: pale bluish lilac flowers || Orobanche ramosa: pale bluish lilac flowers	""
FLOPO_VALUE_feathery	feathery	3	candidate	PATO_0000150	texture	leaf texture (2)|leaf shape (1)	Achillea biebersteinii: feathery grey-green leaves || Artemisia abyssinica: with feathery leaves || Asemi-prostrate densely leafy herb with stems: very feathery	""
FLOPO_VALUE_deeply_lobed_palmate	deeply lobed palmate	3	candidate	PATO_0001979|PATO_0000052	lobed|shape	leaf shape (3)	Althaea ludwigii: deeply lobed palmate leaves || Corallocarpus epigeus: deeply lobed palmate leaves || Croton lobatus: large deeply lobed palmate leaves	""
FLOPO_VALUE_velvety	velvety	3	candidate	PATO_0000150	texture	leaf texture (2)|calyx texture (1)	An erect bushy leafy shrublet: grey-green velvety leaves || Chorispora purpurascens: velvety lobed leaves || Leucas inflata: inflated velvety calyx	""
FLOPO_VALUE_pale_pinkish_lilac	pale pinkish lilac	3	candidate	PATO_0000954|PATO_0001943	pink|lilac	flower color (3)	Androsace maxima: large pale pinkish lilac flowers || Valerianella dufresnia: pale pinkish lilac flowers || Valerianella szovitsiana: pale pinkish lilac flowers	""
FLOPO_VALUE_very_slender	very slender	3	candidate	PATO_0000592	decreased thickness	stem decreased thickness (2)|leaf decreased thickness (1)	Argyrolobium sp. aff. arabicum: very slender-stemmed || Juncus bufonius: very slender leaves || Silene linearis: very slender-stemmed	""
FLOPO_VALUE_blackish	blackish	3	candidate	PATO_0000317	black	calyx color (1)|flower color (1)|anther color (1)	Astragalus trachoniticus: hairy blackish calyx || Pycreus sanguinolentus: blackish flowers || Trachyspermum ammi: blackish anthers	""
FLOPO_VALUE_deep_magenta	deep magenta	3	candidate	PATO_0000321	magenta	flower color (3)	Boerhavia coccinea: deep magenta flowers || Digera muricata: deep magenta flowers || Erodium glaucophyllum: deep magenta flowers	""
FLOPO_VALUE_deeply_lobed	deeply lobed	3	candidate	PATO_0001979	lobed	leaf lobed (2)|leaf shape (1)	Cakile arabica: deeply lobed leaves || Conyza stricta: deeply lobed leaves || Senecio glaucus: slender deeply lobed leaves	""
FLOPO_VALUE_brownish	brownish	3	candidate	PATO_0000952	brown	leaf color (2)|flower color (1)	Dichrostachys cinerea: brownish female flowers || Potamogeton pectinatus: narrow brownish wavy-edged leaves || Potamogeton pusillus: narrow brownish leaves	""
FLOPO_VALUE_rose_pink	rose-pink	3	candidate	PATO_0000954|PATO_0000322	pink|red	flower color (3)	Dichrostachys cinerea: rose-pink male flowers || Erodium crassifolium: rose-pink flowers || Lotus lanuginosus: rose-pink flowers	""
FLOPO_VALUE_pale_pinkish	pale pinkish	3	candidate	PATO_0000954	pink	flower color (3)	Endostemon gracile: pale pinkish flowers || Malva verticillata: pale pinkish flowers || Pavonia arabica: pale pinkish flowers	""
FLOPO_VALUE_deep_lilac_blue	deep lilac-blue	3	candidate	PATO_0000318|PATO_0001943	blue|lilac	flower color (3)	Globularia arabica: deep lilac-blue scabious-like flowers || Gynandiris sisyrinchium: deep lilac-blue flowers 5.5 cm wide || Teucrium oliverianum: deep lilac-blue flowers	""
FLOPO_VALUE_pale_greenish_yellow	pale greenish yellow	3	candidate	PATO_0000320|PATO_0000324	green|yellow	flower color (3)	Gomphocarpus fruticosus: pale greenish yellow flowers || Jatropha pelargoniifolia: pale greenish yellow flowers || Pergularia daemia: pale greenish yellow flowers	""
FLOPO_VALUE_narrow_cylindrical	narrow cylindrical	3	candidate	PATO_0000599|PATO_0001873	decreased width|cylindrical	fruit shape (3)	Indigofera phillipsiae: narrow cylindrical fruits || Indigofera sessiliflora: narrow cylindrical pods || Moricandia sinaica: narrow cylindrical fruits	""
FLOPO_VALUE_darker	darker	3	needs_manual_parent			flower color (1)|petal color (1)|vascular bundle color (1)	Ipomoea eriocarpa: with darker centre || Matthiola longipetala: the back of the petals darker || Taverniera aegyptiaca: with darker veins	""
FLOPO_VALUE_pinkish_lilac	pinkish lilac	3	candidate	PATO_0000954|PATO_0001943	pink|lilac	flower color (3)	Ipomoea sinensis ssp. blepharosepala: pinkish lilac flowers || Moricandia sinaica: pinkish lilac flowers || Pisum sativum: pinkish lilac flowers	""
FLOPO_VALUE_sometimes	sometimes	3	needs_manual_parent			leaf lobed (3)	Kalanchoe citrina: sometimes lobed || Valerianella dufresnia: the leaves sometimes lobed || Valerianella szovitsiana: leaves sometimes lobed	""
FLOPO_VALUE_orange_yellow	orange-yellow	3	candidate	PATO_0000953|PATO_0000324	orange|yellow	flower color (3)	Kalanchoe crenata: orange-yellow flowers || Lindenbergia sinaica: orange-yellow flowers || Sida ovata: orange-yellow flowers	""
FLOPO_VALUE_slightly	slightly	3	needs_manual_parent			flower hairy (1)|leaf lobed (1)|stem hairy (1)	Orobanche oxyloba var. oxyloba: flowers slightly hairy || Pavonia patens: slightly lobed dentate leaves || Rubus cf. canescens: slightly hairy stems	""
FLOPO_VALUE_purplish_brown	purplish-brown	2	candidate	PATO_0000951|PATO_0000952	purple|brown	fruit color (1)|flower color (1)	Acacia asak: Flat purplish-brown pods || Holothrix arachnoidea: many purplish-brown flowers	""
FLOPO_VALUE_many	many	2	needs_manual_parent			stem count (1)|whole plant branched (1)	Acacia asak: many-trunked || Eruca sativa: A many-branched herb	""
FLOPO_VALUE_creamy_yellow	creamy-yellow	2	candidate	PATO_0000323|PATO_0000324	white|yellow	flower color (2)	Acacia etbaica ssp. uncinata: creamy-yellow flowers || Hippocrepis constricta: creamy-yellow flowers	""
FLOPO_VALUE_very_wide	very wide	2	candidate	PATO_0000600	increased width	fruit width (2)	Acacia hamulosa: pods very wide and slightly twisted || Dalechampia scandens var. cordofana: fruits cupped in 8 mm very wide	""
FLOPO_VALUE_white_flushed_pink	white flushed pink	2	candidate	PATO_0000323|PATO_0000954	white|pink	flower color (2)	Acacia mellifera: white flowers flushed pink || Euphorbia granulata var. glabrata: white flowers flushed pink	""
FLOPO_VALUE_peeling	peeling	2	needs_manual_parent			bark texture (2)	Acacia seyal: yellowish peeling bark || Commiphora kataf: peeling papery bark	""
FLOPO_VALUE_very	very	2	needs_manual_parent			whole plant aromatic (1)|fruit bitter (1)	Achillea biebersteinii: very aromatic || Although most members: The very bitter C. colocynthis	""
FLOPO_VALUE_pinkish_white	pinkish white	2	candidate	PATO_0000954|PATO_0000323	pink|white	flower color (2)	Acokanthera schimperi: pinkish white flowers || Polygonum aviculare: pinkish white flowers	""
FLOPO_VALUE_almost_circular	almost circular	2	candidate	PATO_0000411	circular	leaf shape (1)|fruit shape (1)	Aerva lanata: almost circular leaves || Farsetia aegyptia: flat, almost re circular, soft-hairy fruits	""
FLOPO_VALUE_pinkish_fawn	pinkish fawn	2	candidate	PATO_0000954|PATO_0000952|PATO_0000324	pink|brown|yellow	flower color (2)	Allium sindjarense: pinkish fawn flowers || Allium stamineum: pinkish fawn flowers	""
FLOPO_VALUE_rosylilac	rosylilac	2	needs_manual_parent			flower color (2)	Ammannia auriculata: bright rosylilac flowers || Commicarpus sinuatus: rosylilac flowers	""
FLOPO_VALUE_white_flushed_with_pink	white flushed with pink	2	candidate	PATO_0000323|PATO_0000954	white|pink	flower color (2)	Amygdalus arabica: white flowers flushed with pink || Biserrula pelecinus: white flowers flushed with pink	""
FLOPO_VALUE_narrow_dentate	narrow dentate	2	candidate	PATO_0000599|PATO_0001205	decreased width|dentated	leaf shape (2)	Amygdalus arabica: narrow dentate leaves || Sida spinosa: narrow dentate leaves	""
FLOPO_VALUE_downy	downy	2	needs_manual_parent			leaf texture (2)	An erect many-stemmed: downy greyish leaves || Anthemis deserti: downy grey-green leaves	""
FLOPO_VALUE_deep_blue	deep blue	2	candidate	PATO_0000318	blue	flower color (2)	Anchusa affinis: brilliant deep blue flowers || Paracaryum intermedium: deep blue flowers 3 mm wide with white centre	""
FLOPO_VALUE_not_seen	not seen	2	needs_manual_parent			flower count (2)	Arthrocnemum macrostachyum: flowers not seen || Salsola baryosma: flowers not seen	""
FLOPO_VALUE_relatively_large	relatively large	2	candidate	PATO_0000586	increased size	leaf size (1)|fruit size (1)	Astragalus schimperi: relatively large coarse leaves || Duvalia velutina: relatively large soft-spiny fruits	""
FLOPO_VALUE_upward_curving	upward-curving	2	needs_manual_parent			fruit curvature (1)|stem curvature (1)	Astragalus tribuloides sensu lato: upward-curving pods || Hyoscyamus pusillus: upward-curving stems	""
FLOPO_VALUE_fat	fat	2	needs_manual_parent			flower shape (1)|fruit hairy (1)	Atractylis cancellata: fat spherical flowers || Cicer cuneatum: fat hairy pods	""
FLOPO_VALUE_flat_sided	flat-sided	2	candidate	PATO_0000407	flat	fruit shape (2)	Avicennia marina: flat-sided mangoshaped fruits || Rhus tripartita: bright red, shiny, flat-sided fruits	""
FLOPO_VALUE_greenish_white	greenish white	2	candidate	PATO_0000320|PATO_0000323	green|white	flower color (2)	Bellevalia flexuosa: greenish white tubular flowers || Solenostemma oleifolium: greenish white flowers	""
FLOPO_VALUE_grass_like	grass-like	2	needs_manual_parent			leaf shape (2)	Bupleurum gerardii: simple grass-like leaves || Tragopogon dubius: long grass-like leaves	""
FLOPO_VALUE_deeply	deeply	2	needs_manual_parent			leaf lobed (2)	Cakile arabica: deeply lobed leaves || Conyza stricta: deeply lobed leaves	""
FLOPO_VALUE_deep_violet_blue	deep violet-blue	2	candidate	PATO_0000318|PATO_0001424	blue|violet	flower color (2)	Campanula dulcis: deep violet-blue flowers || Campanula edulis: deep violet-blue flowers	""
FLOPO_VALUE_pale_blue_lilac	pale blue-lilac	2	candidate	PATO_0001266|PATO_0001943|PATO_0000318	desaturated blue|lilac|blue	flower color (2)	Campanula dulcis: pale blue-lilac flowers || Lavandula dentata: pale blue-lilac flowers	""
FLOPO_VALUE_light_scarlet	light scarlet	2	candidate	PATO_0000322	red	flower color (2)	Capparis decidua: light scarlet flowers 3 cm wide || Indigofera oblongifolia: light scarlet flowers	""
FLOPO_VALUE_mahogany_red	mahogany-red	2	candidate	PATO_0000322	red	flower color (2)	Caralluma commutata: flat shallow mahogany-red flowers || Caralluma sp. aff. commutata: mahogany-red flowers	""
FLOPO_VALUE_green_and_grey_mottled	green and grey mottled	2	candidate	PATO_0000320|PATO_0000950|PATO_0002274	green|grey|mottled	stem color (2)	Caralluma commutata: green and grey mottled stems || Caralluma sp. aff. commutata: green and grey mottled stems	""
FLOPO_VALUE_deep_orange	deep orange	2	candidate	PATO_0000953	orange	anther color (1)|stem color (1)	Caylusea hexagyna: deep orange anthers || Grewia villosa: deep orange- and young stems	""
FLOPO_VALUE_narrow_lobed	narrow lobed	2	candidate	PATO_0000599|PATO_0001979	decreased width|lobed	leaf shape (2)	Centaurea ammocyanus: narrow lobed grey leaves || Hyoscyamus pusillus: with narrow lobed leaves	""
FLOPO_VALUE_spotted_with_crimson	spotted with crimson	2	candidate	PATO_0000333|PATO_0000322	spotted|red	fruit color (1)|petal color (1)	Cienfuegosia welshii: also spotted with crimson || Cienfuegosia welshii: the petals spotted with crimson	""
FLOPO_VALUE_lemon_yellow	lemon-yellow	2	candidate	PATO_0000324	yellow	flower color (1)|bud color (1)	Cleome brachycarpa: lemon-yellow flowers || Echinops glaberrimus: leaves and buds are lemon-yellow	""
FLOPO_VALUE_very_pale_blue	very pale blue	2	candidate	PATO_0000318	blue	flower color (2)	Commelina albescens: very pale blue flowers || Echinops viscosus: very pale blue flowers	""
FLOPO_VALUE_larger	larger	2	needs_manual_parent			leaflet size (2)	Commiphora kataf: the centre leaflet much larger || Commiphora myrrha: centre leaflet often larger	""
FLOPO_VALUE_bright_magenta_pink	bright magenta-pink	2	candidate	PATO_0001275|PATO_0000954|PATO_0000321	saturated magenta|pink|magenta	flower color (2)	Corbichonia decumbens: bright magenta-pink flowers || Tephrosia purpurea ssp. leptostachya var. leptostachya: bright magenta-pink flowers	""
FLOPO_VALUE_reddish_purple	reddish-purple	2	candidate	PATO_0000322|PATO_0000951	red|purple	fruit color (2)	Cotoneaster racemiflora: small reddish-purple fruits || Terminalia brownii: Reddish-purple fruits	""
FLOPO_VALUE_several	several	2	needs_manual_parent			stem length (2)	Dalechampia scandens var. cordofana: stems to several metres long || Rhoicissus revoillii: stems several metres long	""
FLOPO_VALUE_trumpet	trumpet	2	needs_manual_parent			flower shape (2)	Datura innoxia: white trumpet flowers || Datura stramonium: white trumpet flowers	""
FLOPO_VALUE_three_angled	three-angled	2	candidate	PATO_0000617	bent	fruit shape (2)	Drimia maritima: the three-angled fruits || Euphorbia heterophylla: three-angled fruits	""
FLOPO_VALUE_deep_rosy_pink	deep rosy-pink	2	candidate	PATO_0000954|PATO_0001425|PATO_0000322	pink|rosy|red	flower color (2)	Epilobium hirsutum: deep rosy-pink flowers || Tamarix aucheriana: deep rosy-pink flowers	""
FLOPO_VALUE_green_and_brown	green and brown	2	candidate	PATO_0000320|PATO_0000952	green|brown	sepal color (1)|petal color (1)	Eulophia petersii: sepals and petals geen and brown || Eulophia petersii: sepals and petals geen and brown	""
FLOPO_VALUE_rolled_back_at_the_tip	rolled back at the tip	2	candidate	PATO_0001901	back	sepal shape (1)|petal shape (1)	Eulophia petersii: rolled back at the tip || Eulophia petersii: rolled back at the tip	""
FLOPO_VALUE_apricot_yellow	apricot-yellow	2	candidate	PATO_0000324	yellow	flower color (2)	Euphorbia schimperi: apricot-yellow flowers || Rhynchosia malacophylla vergensad R. minima: apricot-yellow flowers	""
FLOPO_VALUE_deep_purple	deep purple	2	candidate	PATO_0000951	purple	fruit color (1)|flower color (1)	Ficus carica: small deep purple ripe fruits || Roemeria hybrida: deep purple flowers	""
FLOPO_VALUE_fairly_large	fairly large	2	candidate	PATO_0000586	increased size	leaf size (2)	Ficus carica: fairly large dentate leaves || Hibiscus sp. aff. aponeurus: fairly large downy leaves	""
FLOPO_VALUE_deep_purplish_red	deep purplish red	2	candidate	PATO_0000951|PATO_0000322	purple|red	flower color (2)	Hibiscus trionum: creamy flowers 2.6 cm wide with deep purplish red centre || Sida ovata: deep purplish red flowers	""
FLOPO_VALUE_slightly_curved	slightly curved	2	candidate	PATO_0000406	curved	fruit shape (1)|fruit curvature (1)	Hippocrepis constricta: slightly curved pods || Hippocrepis sp. aff. ciliata: slightly curved pods	""
FLOPO_VALUE_very_large	very large	2	candidate	PATO_0000586	increased size	calyx size (1)|leaf size (1)	Hyoscyamus pusillus: cupped in a very large calyx || Senecio hadiensis: very large glabrous leaves	""
FLOPO_VALUE_smaller	smaller	2	needs_manual_parent			calyx size (1)|leaf size (1)	Hyoscyamus pusillus: smaller calyx || Solanum villosum: smaller dentate leaves	""
FLOPO_VALUE_finely	finely	2	needs_manual_parent			leaf split (2)	Hypecoum cf. geslinii: finely divided leaves || Ranunculus trichophyllus: finely divided leaves	""
FLOPO_VALUE_flower_like	flower-like	2	needs_manual_parent			calyx shape (1)|calyx red (1)	Ipomoea eriocarpa: cupped in a flower-like calyx || Ochna inermis: red flower-like calyces	""
FLOPO_VALUE_narrow_flat	narrow flat	2	candidate	PATO_0000599|PATO_0000407	decreased width|flat	leaf shape (2)	Linaria haelava: narrow flat leaves || Linaria simplex: narrow flat leaves	""
FLOPO_VALUE_golden	golden	2	candidate	PATO_0000324	yellow	flower color (1)|leaf color (1)	Lonicera etrusca: turning golden || Plectranthus arabicus: that dry a golden colour	""
FLOPO_VALUE_pale_lilac_and_white	pale lilac and white	2	candidate	PATO_0001943|PATO_0000323	lilac|white	flower color (2)	Malcolmia chia: pale lilac and white flowers || Scutellaria arabica: pale lilac and white flowers	""
