word	language	ontology_id	backbone_label	backbone_level	scope	synonym_type	match_kind	evidence	candidate_blocks	flags	corpus_mentions	word_sources	rationale	design_key
greenish	en	FLOPO:0988006	green	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440			888	FLOPO value label|PATO related synonym|botanical_terminology|corpus	Hue-tendency adjective; ISCC-NBS uses 'greenish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'green', not a block.	ISCCNBS:L1_008
roux	fr	FLOPO:0988015	reddish orange	2	NARROW	botanical_colour_name	vernacular	EVID:NIST_SP440	37	single_source_lifted_to_level2|translation	844	corpus	French 'roux' read as English 'rufous'. Documented senses fall in ISCC-NBS block(s) 37; lowest covering backbone class is level 2 'reddish orange'. PDF p.179 Sense tier used: botanical (1 sense(s)); all sources give blocks 26 37 53. Only one source places the word in a single block, so it is attached to that block's level-2 class rather than to the block itself.	ISCCNBS:L2_004
blackish	en	FLOPO:0988011	black	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440			834	FLOPO value label|PATO related synonym|botanical_terminology|corpus	Hue-tendency adjective; ISCC-NBS uses 'blackish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'black', not a block.	ISCCNBS:L1_013
pourpre	fr	FLOPO:0988008	purple	1	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		level_homonym|translation	823	botanical_terminology|corpus	French 'pourpre' read as English 'purple'. Literal ISCC-NBS name 'purple' (level 1).	ISCCNBS:L1_010
pale brown	en	FLOPO:0988085	light grayish brown	3	NARROW	botanical_colour_name	iscc_gloss	EVID:NIST_CENTROIDS		b3_pale_gloss_narrow	808	PATO exact synonym|botanical_terminology|corpus	Not a literal ISCC-NBS name; Kelly (1958) glosses 'pale' as 'light grayish', giving block 'light grayish brown'. Curator decision B3 (2026-09-18): 'pale X' is EXACT only where ISCC-NBS itself names the block that way; otherwise NARROW.	ISCCNBS:L3_060
rose	fr	FLOPO:0988000	pink	1	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		level_homonym|translation	804	corpus	French 'rose' read as English 'pink'. Literal ISCC-NBS name 'pink' (level 1).	ISCCNBS:L1_001
verdâtre	fr	FLOPO:0988006	green	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440		translation	753	corpus	French 'verdâtre' read as English 'greenish'. Hue-tendency adjective; ISCC-NBS uses 'greenish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'green', not a block.	ISCCNBS:L1_008
gris	fr	FLOPO:0988010	gray	1	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		translation	694	corpus	French 'gris' read as English 'gray'. Literal ISCC-NBS name 'gray' (level 1).	ISCCNBS:L1_012
grayish	en	FLOPO:0988010	gray	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440			664	FLOPO value label|PATO related synonym|botanical_terminology|corpus	Hue-tendency adjective; ISCC-NBS uses 'grayish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'gray', not a block.	ISCCNBS:L1_012
noirâtre	fr	FLOPO:0988011	black	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440		translation	637	corpus	French 'noirâtre' read as English 'blackish'. Hue-tendency adjective; ISCC-NBS uses 'blackish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'black', not a block.	ISCCNBS:L1_013
fauve	fr	FLOPO:0988002	orange	1	RELATED	botanical_colour_name	vernacular	EVID:NIST_SP440	54 72 74	crosses_level1|translation	633	corpus	French 'fauve' read as English 'fulvous'. Documented senses span ISCC-NBS block(s) 54 72 74 across level-1 categories brown, orange, yellow; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. no English 'Fulvous' entry; Latin Dade (B) equivalent; PDF p.145 Sense tier used: botanical (1 sense(s)); all sources give blocks 54 72 74.	ISCCNBS:L1_003
rusty	en	FLOPO:0988002	orange	1	RELATED	botanical_colour_name	vernacular	EVID:NIST_SP440	37 38 43 55	crosses_level1	625	botanical_terminology|corpus	Lexical equivalent of 'ferruginous'. Documented senses span ISCC-NBS block(s) 37 38 43 55 across level-1 categories brown, orange; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. line number approximate (entry not cleanly matched in layout OCR); PDF p.143 Sense tier used: botanical (2 sense(s)); all sources give blocks 37 38 43 55.	ISCCNBS:L1_003
ferrugineux	fr	FLOPO:0988002	orange	1	RELATED	botanical_colour_name	vernacular	EVID:NIST_SP440	37 38 43 55	crosses_level1|translation	594	corpus	French 'ferrugineux' read as English 'ferruginous'. Documented senses span ISCC-NBS block(s) 37 38 43 55 across level-1 categories brown, orange; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. line number approximate (entry not cleanly matched in layout OCR); PDF p.143 Sense tier used: botanical (2 sense(s)); all sources give blocks 37 38 43 55.	ISCCNBS:L1_003
mauve	en	FLOPO:0988008	purple	1	NARROW	botanical_colour_name	vernacular	EVID:NIST_SP440	206 217 218	multi_block	586	corpus	Documented senses fall in ISCC-NBS block(s) 206 217 218; lowest covering backbone class is level 1 'purple'. PDF p.161 Sense tier used: botanical (2 sense(s)); all sources give blocks 206 217 218 241.	ISCCNBS:L1_010
grisâtre	fr	FLOPO:0988010	gray	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440		translation	573	corpus	French 'grisâtre' read as English 'grayish'. Hue-tendency adjective; ISCC-NBS uses 'grayish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'gray', not a block.	ISCCNBS:L1_012
brun rougeâtre	fr	PATO:0001287	reddish brown	2	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		translation|compound_reordered	498	corpus	French 'brun rougeâtre' read as English 'reddish brown'. Literal ISCC-NBS name 'reddish brown' (level 2).	ISCCNBS:L2_005
orangé	fr	FLOPO:0988002	orange	1	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		level_homonym|translation	464	corpus	French 'orangé' read as English 'orange'. Literal ISCC-NBS name 'orange' (level 1).	ISCCNBS:L1_003
violet	fr	FLOPO:0988027	violet	2	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		translation	450	corpus	French 'violet' read as English 'violet'. Literal ISCC-NBS name 'violet' (level 2).	ISCCNBS:L2_022
glaucous	en	FLOPO:0988006	green	1	RELATED	botanical_colour_name	vernacular	EVID:NIST_SP440	121 135 148 149 163 171 184	crosses_level1	431	corpus	Documented senses span ISCC-NBS block(s) 121 135 148 149 163 171 184 across level-1 categories blue, green, yellow green; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. PDF p.145 Sense tier used: botanical (2 sense(s)); all sources give blocks 121 135 148 149 163 171 184.	ISCCNBS:L1_008
gray brown	en	FLOPO:0988086	grayish brown	3	EXACT	botanical_colour_name	iscc_variant	EVID:NIST_SP440			393	corpus	'-ish' variant of the ISCC-NBS name 'grayish brown' (level 3).	ISCCNBS:L3_061
silvery	en	FLOPO:0988009	white	1	RELATED	botanical_colour_name	vernacular	EVID:SACCARDO_CHROMOTAXIA	263		362	FLOPO value label|botanical_terminology|corpus	Lexical equivalent of 'silver'. Documented senses fall in ISCC-NBS block(s) 263; lowest covering backbone class is level 1 'white'. Lustre is not a colour; hue component is white. Sense tier used: botanical (1 sense(s)); all sources give blocks 263.	ISCCNBS:L1_011
pinkish	en	FLOPO:0988000	pink	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440			346	FLOPO value label|PATO related synonym|botanical_terminology|corpus	Hue-tendency adjective; ISCC-NBS uses 'pinkish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'pink', not a block.	ISCCNBS:L1_001
violacé	fr	FLOPO:0988027	violet	2	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440		translation	344	corpus	French 'violacé' read as English 'violaceous'. Hue-tendency adjective; ISCC-NBS uses 'violaceous' only as a modifier inside compound names, so the bare word is RELATED to level-1 'violet', not a block.	ISCCNBS:L2_022
red brown	en	PATO:0001287	reddish brown	2	EXACT	botanical_colour_name	iscc_variant	EVID:NIST_SP440			320	PATO label|corpus	'-ish' variant of the ISCC-NBS name 'reddish brown' (level 2).	ISCCNBS:L2_005
orange	fr	FLOPO:0988002	orange	1	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		level_homonym|translation	290	botanical_terminology|corpus	French 'orange' read as English 'orange'. Literal ISCC-NBS name 'orange' (level 1).	ISCCNBS:L1_003
fulvous	en	FLOPO:0988002	orange	1	RELATED	botanical_colour_name	vernacular	EVID:NIST_SP440	54 72 74	crosses_level1	288	botanical_terminology|corpus	Documented senses span ISCC-NBS block(s) 54 72 74 across level-1 categories brown, orange, yellow; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. no English 'Fulvous' entry; Latin Dade (B) equivalent; PDF p.145 Sense tier used: botanical (1 sense(s)); all sources give blocks 54 72 74.	ISCCNBS:L1_003
mauve	fr	FLOPO:0988008	purple	1	NARROW	botanical_colour_name	vernacular	EVID:NIST_SP440	206 217 218	multi_block|translation	279	corpus	French 'mauve' read as English 'mauve'. Documented senses fall in ISCC-NBS block(s) 206 217 218; lowest covering backbone class is level 1 'purple'. PDF p.161 Sense tier used: botanical (2 sense(s)); all sources give blocks 206 217 218 241.	ISCCNBS:L1_010
bleu	fr	FLOPO:0988007	blue	1	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		level_homonym|translation	278	corpus	French 'bleu' read as English 'blue'. Literal ISCC-NBS name 'blue' (level 1).	ISCCNBS:L1_009
straw	en	FLOPO:0988019	yellow (ISCC-NBS level 2)	2	NARROW	botanical_colour_name	vernacular	DOI:10.1364/JOSA.39.000592|EVID:NIST_SP440|EVID:RIDGWAY_1912	83 86	multi_block	273	PATO exact synonym|botanical_terminology|corpus	Documented senses fall in ISCC-NBS block(s) 83 86; lowest covering backbone class is level 2 'yellow'. PDF p.183 Sense tier used: botanical (3 sense(s)); all sources give blocks 83 86 87 89.	ISCCNBS:L2_010
crimson	en	FLOPO:0988001	red	1	NARROW	botanical_colour_name	vernacular	EVID:NIST_SP440	11 254	multi_block	247	FLOPO value label|PATO label|botanical_terminology|corpus	Documented senses fall in ISCC-NBS block(s) 11 254; lowest covering backbone class is level 1 'red'. PDF p.140 Sense tier used: botanical (2 sense(s)); all sources give blocks 11 12 254 256.	ISCCNBS:L1_002
yellow brown	en	FLOPO:0988018	yellowish brown	2	EXACT	botanical_colour_name	iscc_variant	EVID:NIST_SP440			237	PATO label|corpus	'-ish' variant of the ISCC-NBS name 'yellowish brown' (level 2).	ISCCNBS:L2_009
roussâtre	fr	FLOPO:0988015	reddish orange	2	NARROW	botanical_colour_name	vernacular	EVID:NIST_SP440	37	single_source_lifted_to_level2|translation	204	corpus	French 'roussâtre' read as English 'rufous'. Documented senses fall in ISCC-NBS block(s) 37; lowest covering backbone class is level 2 'reddish orange'. PDF p.179 Sense tier used: botanical (1 sense(s)); all sources give blocks 26 37 53. Only one source places the word in a single block, so it is attached to that block's level-2 class rather than to the block itself.	ISCCNBS:L2_004
bright yellow	en	FLOPO:0988019	yellow (ISCC-NBS level 2)	2	NARROW	botanical_colour_name	modified	EVID:NIST_SP440		degree_modifier|level_homonym	202	PATO related synonym|botanical_terminology|corpus	Modifier 'bright' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'yellow'.	ISCCNBS:L2_010
gray green	en	PATO:0104007	grayish green	3	EXACT	botanical_colour_name	iscc_variant	EVID:NIST_SP440			199	PATO exact synonym|botanical_terminology|corpus	'-ish' variant of the ISCC-NBS name 'grayish green' (level 3).	ISCCNBS:L3_150
marron	fr	PATO:0001287	reddish brown	2	NARROW	botanical_colour_name	vernacular	DOI:10.1364/JOSA.39.000592|EVID:NIST_SP440|EVID:RIDGWAY_1912	43 44 46 47	multi_block|translation	197	corpus	French 'marron' read as English 'chestnut'. Documented senses fall in ISCC-NBS block(s) 43 44 46 47; lowest covering backbone class is level 2 'reddish brown'. M synonyms: Brown Bay, Brownstone, Castaneous, Marone, Marron, Marrone; PDF p.137 Sense tier used: botanical (4 sense(s)); all sources give blocks 43 44 46 47 61.	ISCCNBS:L2_005
doré	fr	FLOPO:0988004	yellow	1	RELATED	botanical_colour_name	vernacular	DOI:10.1364/JOSA.39.000592|EVID:RIDGWAY_1912	88 94	crosses_level1|translation	186	corpus	French 'doré' read as English 'golden'. Documented senses span ISCC-NBS block(s) 88 94 across level-1 categories olive, yellow; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. M synonyms: Aurum, Golden, Imperial Stone; PDF p.145 Sense tier used: botanical (1 sense(s)); all sources give blocks 76 82 84 87 88 91 94.	ISCCNBS:L1_005
orange red	en	FLOPO:0988001	red	1	NARROW	botanical_colour_name	compound_head			compound_head_rule|components_cross_level1	183	PATO exact synonym|PATO label|botanical_terminology|corpus	Two-colour compound not named by ISCC-NBS; English head-final reading makes it a NARROW synonym of the head 'red' class 'red' (tending towards 'orange').	ISCCNBS:L1_002
brun rouge	fr	PATO:0001287	reddish brown	2	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		translation|compound_reordered	183	corpus	French 'brun rouge' read as English 'reddish brown'. Literal ISCC-NBS name 'reddish brown' (level 2).	ISCCNBS:L2_005
jaune verdâtre	fr	PATO:0104013	greenish yellow	2	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		translation|compound_reordered	179	corpus	French 'jaune verdâtre' read as English 'greenish yellow'. Literal ISCC-NBS name 'greenish yellow' (level 2).	ISCCNBS:L2_012
vert jaunâtre	fr	PATO:0104114	yellowish green	2	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		translation|compound_reordered	179	corpus	French 'vert jaunâtre' read as English 'yellowish green'. Literal ISCC-NBS name 'yellowish green' (level 2).	ISCCNBS:L2_016
olivaceous	en	FLOPO:0988005	olive	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440			178	botanical_terminology|corpus	Hue-tendency adjective; ISCC-NBS uses 'olivaceous' only as a modifier inside compound names, so the bare word is RELATED to level-1 'olive', not a block.	ISCCNBS:L1_006
golden	en	FLOPO:0988004	yellow	1	RELATED	botanical_colour_name	vernacular	DOI:10.1364/JOSA.39.000592|EVID:RIDGWAY_1912	88 94	crosses_level1	177	FLOPO value label|botanical_terminology|corpus	Documented senses span ISCC-NBS block(s) 88 94 across level-1 categories olive, yellow; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. M synonyms: Aurum, Golden, Imperial Stone; PDF p.145 Sense tier used: botanical (1 sense(s)); all sources give blocks 76 82 84 87 88 91 94.	ISCCNBS:L1_005
crème	fr	FLOPO:0988019	yellow (ISCC-NBS level 2)	2	NARROW	botanical_colour_name	vernacular	EVID:NIST_SP440	89	no_botanical_source_tier_general|single_source_lifted_to_level2|translation	177	corpus	French 'crème' read as English 'cream'. Documented senses fall in ISCC-NBS block(s) 89; lowest covering backbone class is level 2 'yellow'. PDF p.140 Sense tier used: general (1 sense(s)); all sources give blocks 89 90 92. Only one source places the word in a single block, so it is attached to that block's level-2 class rather than to the block itself.	ISCCNBS:L2_010
orange brown	en	FLOPO:0988003	brown	1	NARROW	botanical_colour_name	compound_head			compound_head_rule|components_cross_level1	174	corpus	Two-colour compound not named by ISCC-NBS; English head-final reading makes it a NARROW synonym of the head 'brown' class 'brown' (tending towards 'orange').	ISCCNBS:L1_004
buff	en	PATO:0104054	orange yellow	2	NARROW	botanical_colour_name	vernacular	EVID:NIST_SP440	71	no_botanical_source_tier_general|single_source_lifted_to_level2	172	botanical_terminology|corpus	Documented senses fall in ISCC-NBS block(s) 71; lowest covering backbone class is level 2 'orange yellow'. line number approximate (entry not cleanly matched in layout OCR); PDF p.134 Sense tier used: general (1 sense(s)); all sources give blocks 28 29 31 33 52 53 71 72 73 76 79 87 89 90 92 93. Only one source places the word in a single block, so it is attached to that block's level-2 class rather than to the block itself.	ISCCNBS:L2_008
rosé	fr	FLOPO:0988000	pink	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440		translation	172	corpus	French 'rosé' read as English 'pinkish'. Hue-tendency adjective; ISCC-NBS uses 'pinkish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'pink', not a block.	ISCCNBS:L1_001
creamy white	en	FLOPO:0988009	white	1	NARROW	botanical_colour_name	compound_head			compound_head_rule|components_cross_level1	167	corpus	Two-colour compound not named by ISCC-NBS; English head-final reading makes it a NARROW synonym of the head 'white' class 'white' (tending towards 'creamy').	ISCCNBS:L1_011
purplish brown	en	FLOPO:0988003	brown	1	NARROW	botanical_colour_name	compound_head			compound_head_rule|components_cross_level1	167	corpus	Two-colour compound not named by ISCC-NBS; English head-final reading makes it a NARROW synonym of the head 'brown' class 'brown' (tending towards 'purplish').	ISCCNBS:L1_004
blanc jaunâtre	fr	FLOPO:0988116	yellowish white	3	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		translation|compound_reordered	162	corpus	French 'blanc jaunâtre' read as English 'yellowish white'. Literal ISCC-NBS name 'yellowish white' (level 3).	ISCCNBS:L3_092
lilac	en	FLOPO:0988008	purple	1	RELATED	botanical_colour_name	vernacular	EVID:NIST_SP440	206 210 217 222 223 226 227 237 240 241 244 248 249 250 252 253	crosses_level1	152	PATO label|corpus	Documented senses span ISCC-NBS block(s) 206 210 217 222 223 226 227 237 240 241 244 248 249 250 252 253 across level-1 categories pink, purple; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. M synonyms: Lilaceous, Lilas, Mauvette; txt line OCR-garbled (source/blocks read from PDF page image); PDF p.159 Sense tier used: botanical (2 sense(s)); all sources give blocks 5 10 18 206 209 210 217 221 222 223 226 227 228 231 232 233 237 240 241 244 248 249 250 252 253 261 262.	ISCCNBS:L1_010
argenté	fr	FLOPO:0988009	white	1	RELATED	botanical_colour_name	vernacular	EVID:SACCARDO_CHROMOTAXIA	263	translation	152	corpus	French 'argenté' read as English 'silver'. Documented senses fall in ISCC-NBS block(s) 263; lowest covering backbone class is level 1 'white'. Lustre is not a colour; hue component is white. Sense tier used: botanical (1 sense(s)); all sources give blocks 263.	ISCCNBS:L1_011
blackish brown	en	FLOPO:0988017	brown (ISCC-NBS level 2)	2	NARROW	botanical_colour_name	modified	EVID:NIST_SP440		degree_modifier|level_homonym	149	corpus	Modifier 'blackish' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'brown'.	ISCCNBS:L2_007
rosâtre	fr	FLOPO:0988000	pink	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440		translation	149	corpus	French 'rosâtre' read as English 'pinkish'. Hue-tendency adjective; ISCC-NBS uses 'pinkish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'pink', not a block.	ISCCNBS:L1_001
blanc verdâtre	fr	PATO:0104067	greenish white	3	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		translation|compound_reordered	148	corpus	French 'blanc verdâtre' read as English 'greenish white'. Literal ISCC-NBS name 'greenish white' (level 3).	ISCCNBS:L3_153
bright red	en	FLOPO:0988013	red (ISCC-NBS level 2)	2	NARROW	botanical_colour_name	modified	EVID:NIST_SP440		degree_modifier|level_homonym	142	PATO related synonym|corpus	Modifier 'bright' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'red'.	ISCCNBS:L2_002
glauque	fr	FLOPO:0988006	green	1	RELATED	botanical_colour_name	vernacular	EVID:NIST_SP440	121 135 148 149 163 171 184	crosses_level1|translation	138	corpus	French 'glauque' read as English 'glaucous'. Documented senses span ISCC-NBS block(s) 121 135 148 149 163 171 184 across level-1 categories blue, green, yellow green; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. PDF p.145 Sense tier used: botanical (2 sense(s)); all sources give blocks 121 135 148 149 163 171 184.	ISCCNBS:L1_008
ferrugineous	en	FLOPO:0988002	orange	1	RELATED	botanical_colour_name	vernacular	EVID:NIST_SP440	37 38 43 55	crosses_level1	137	corpus	Lexical equivalent of 'ferruginous'. Documented senses span ISCC-NBS block(s) 37 38 43 55 across level-1 categories brown, orange; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. line number approximate (entry not cleanly matched in layout OCR); PDF p.143 Sense tier used: botanical (2 sense(s)); all sources give blocks 37 38 43 55.	ISCCNBS:L1_003
creamy	en	FLOPO:0988019	yellow (ISCC-NBS level 2)	2	NARROW	botanical_colour_name	vernacular	EVID:NIST_SP440	89	no_botanical_source_tier_general|single_source_lifted_to_level2	134	PATO exact synonym|botanical_terminology|corpus	Lexical equivalent of 'cream'. Documented senses fall in ISCC-NBS block(s) 89; lowest covering backbone class is level 2 'yellow'. PDF p.140 Sense tier used: general (1 sense(s)); all sources give blocks 89 90 92. Only one source places the word in a single block, so it is attached to that block's level-2 class rather than to the block itself.	ISCCNBS:L2_010
brun noir	fr	FLOPO:0988017	brown (ISCC-NBS level 2)	2	NARROW	botanical_colour_name	modified	EVID:NIST_SP440		degree_modifier|level_homonym|translation	134	corpus	French 'brun noir' read as English 'blackish brown'. Modifier 'blackish' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'brown'.	ISCCNBS:L2_007
tawny	en	FLOPO:0988016	orange (ISCC-NBS level 2)	2	NARROW	botanical_colour_name	vernacular	EVID:NIST_SP440	54	single_source_lifted_to_level2	132	botanical_terminology|corpus	Documented senses fall in ISCC-NBS block(s) 54; lowest covering backbone class is level 2 'orange'. PDF p.185 Sense tier used: botanical (1 sense(s)); all sources give blocks 54 57. Only one source places the word in a single block, so it is attached to that block's level-2 class rather than to the block itself.	ISCCNBS:L2_006
pale gray	en	FLOPO:0988010	gray	1	NARROW	botanical_colour_name	modified	EVID:NIST_SP440		degree_modifier	130	FLOPO value label|corpus	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'gray'.	ISCCNBS:L1_012
brun noirâtre	fr	FLOPO:0988017	brown (ISCC-NBS level 2)	2	NARROW	botanical_colour_name	modified	EVID:NIST_SP440		degree_modifier|level_homonym|translation	127	corpus	French 'brun noirâtre' read as English 'blackish brown'. Modifier 'blackish' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'brown'.	ISCCNBS:L2_007
greenish brown	en	FLOPO:0988003	brown	1	NARROW	botanical_colour_name	compound_head			compound_head_rule|components_cross_level1	125	corpus	Two-colour compound not named by ISCC-NBS; English head-final reading makes it a NARROW synonym of the head 'brown' class 'brown' (tending towards 'greenish').	ISCCNBS:L1_004
