flopo_id	label	definition	sources
FLOPO_0900009	tepal fused	A tepal phenotype in which the tepals of a flower are united with one another, at least at their bases, so that the perianth forms a tube or cup.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=C&glossary=yes&page=nswfl#connate|https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=T&glossary=yes&page=nswfl#tepal|PO:0009033
FLOPO_0900010	tepal free	A tepal phenotype in which the tepals of a flower are not united with one another or with any other floral organ.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=F&glossary=yes&page=nswfl#free|https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=T&glossary=yes&page=nswfl#tepal|PO:0009033
FLOPO_0900011	fruit type	A fruit phenotype that characterizes the fruit by the consistency of its pericarp, the number of carpels and seeds from which it is formed, and whether and how it opens at maturity.	PO:0009001
FLOPO_0900012	fruit type capsule	A fruit type phenotype in which the fruit is dry, dehiscent, and derived from two or more carpels.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=C&glossary=yes&page=nswfl#capsule|PO:0009001
FLOPO_0900013	fruit type legume	A fruit type phenotype in which the fruit is dry, derived from a single carpel, and dehiscent along two longitudinal lines.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=L&glossary=yes&page=nswfl#legume|PO:0009001
FLOPO_0900014	fruit type follice	A fruit type phenotype in which the fruit is dry, derived from a single carpel, and dehiscent along one suture only.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=F&glossary=yes&page=nswfl#follicle|PO:0009001
FLOPO_0900015	fruit type berry	A fruit type phenotype in which the fruit is indehiscent and fleshy or pulpy throughout, with one or more seeds embedded in the fleshy pericarp.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=B&glossary=yes&page=nswfl#berry|PO:0009001
FLOPO_0900016	fruit type drupe	A fruit type phenotype in which the fruit is indehiscent and derived from a single carpel, with a fleshy outer pericarp and a hard, stony endocarp enclosing the seed.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=D&glossary=yes&page=nswfl#drupe|PO:0009001
FLOPO_0900017	fruit type nut	A fruit type phenotype in which the fruit is dry, indehiscent and one-seeded, with a hard pericarp, and is derived from two or more carpels.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=N&glossary=yes&page=nswfl#nut|PO:0009001
FLOPO_0900018	fruit dehiscence	A fruit phenotype that characterizes whether the mature fruit opens to release its seeds.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=D&glossary=yes&page=nswfl#dehiscent|PO:0009001
FLOPO_0900019	fruit dehiscent	A fruit dehiscence phenotype in which the mature fruit opens along definite lines or pores to release its seeds.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=D&glossary=yes&page=nswfl#dehiscent|PO:0009001
FLOPO_0900020	fruit indehiscent	A fruit dehiscence phenotype in which the mature fruit does not open to release its seeds, which are dispersed while still enclosed in the fruit.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=I&glossary=yes&page=nswfl#indehiscent|PO:0009001
FLOPO_0900021	fruit winged	A fruit shape phenotype in which the fruit bears one or more flat, thin, membranous or papery outgrowths of its wall.	PO:0009001|PATO:0000052
FLOPO_0900022	whole plant lifeform	A whole plant phenotype that characterizes the plant by its growth form, in particular by the position of its perennating buds relative to the soil surface during the unfavourable season and by the substrate on which it grows.	Raunkiaer C. (1934) The Life Forms of Plants and Statistical Plant Geography. Oxford: Clarendon Press.|PO:0000003
FLOPO_0900023	whole plant therophytic	A whole plant lifeform phenotype in which the plant completes its life cycle within a single favourable season and survives the unfavourable season only as seed.	Raunkiaer C. (1934) The Life Forms of Plants and Statistical Plant Geography. Oxford: Clarendon Press.|PO:0000003
FLOPO_0900031	whole plant cryptophytic	A whole plant lifeform phenotype in which the perennating buds of the plant lie below the soil surface or under water during the unfavourable season.	Raunkiaer C. (1934) The Life Forms of Plants and Statistical Plant Geography. Oxford: Clarendon Press.|PO:0000003
FLOPO_0900024	whole plant geophytic	A whole plant cryptophytic phenotype in which the plant perennates by an underground storage organ, such as a bulb, corm, tuber or rhizome, from which the aerial shoots are renewed annually.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=G&glossary=yes&page=nswfl#geophyte|Raunkiaer C. (1934) The Life Forms of Plants and Statistical Plant Geography. Oxford: Clarendon Press.|PO:0000003
FLOPO_0900025	whole plant helophytic	A whole plant cryptophytic phenotype in which the perennating buds lie in waterlogged soil or mud, while the flowering and leafy shoots rise above the water surface.	Raunkiaer C. (1934) The Life Forms of Plants and Statistical Plant Geography. Oxford: Clarendon Press.|https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=E&glossary=yes&page=nswfl#emergent|PO:0000003
FLOPO_0900026	whole plant hydrophytic	A whole plant cryptophytic phenotype in which the plant grows submerged in water, sometimes partly emergent, and its perennating buds lie under water.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=H&glossary=yes&page=nswfl#hydrophyte|Raunkiaer C. (1934) The Life Forms of Plants and Statistical Plant Geography. Oxford: Clarendon Press.|PO:0000003
FLOPO_0900027	whole plant hemicryptophytic	A whole plant lifeform phenotype in which the perennating buds of the plant lie at the soil surface, where they are protected by soil, litter or the dead remains of the shoots.	Raunkiaer C. (1934) The Life Forms of Plants and Statistical Plant Geography. Oxford: Clarendon Press.|PO:0000003
FLOPO_0900028	whole plant chamaephytic	A whole plant lifeform phenotype in which the perennating buds of the plant are borne on persistent shoots close above the soil surface, typically below about 25 cm.	Raunkiaer C. (1934) The Life Forms of Plants and Statistical Plant Geography. Oxford: Clarendon Press.|PO:0000003
FLOPO_0900029	whole plant phanerophytic	A whole plant lifeform phenotype in which the perennating buds of the plant are borne on persistent aerial shoots well above the soil surface, as in trees and shrubs.	Raunkiaer C. (1934) The Life Forms of Plants and Statistical Plant Geography. Oxford: Clarendon Press.|PO:0000003
FLOPO_0900030	whole plant epiphytic	A whole plant lifeform phenotype in which the plant grows perched on another plant, using it for support without being parasitic on it.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=E&glossary=yes&page=nswfl#epiphyte|PO:0000003
FLOPO_0980082	whole plant litophytic	A whole plant lifeform phenotype in which the plant grows on rock surfaces or in rock crevices rather than in soil.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=L&glossary=yes&page=nswfl#lithophyte|PO:0000003
FLOPO_0900036	whole plant graminoid	A whole plant herbaceous phenotype in which the plant has the habit of a grass, sedge or rush, with long, narrow, parallel-veined leaves and small, inconspicuous flowers.	PO:0000003|PATO:0002352
FLOPO_0900037	whole plant forbacious	A whole plant herbaceous phenotype in which the plant is a non-woody plant other than a grass, sedge or rush.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=F&glossary=yes&page=nswfl#forb|PO:0000003|PATO:0002352
FLOPO_0900038	shoot axis woodiness	A shoot axis phenotype that characterizes the degree to which the stem is hardened by lignified secondary xylem.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=H&glossary=yes&page=nswfl#herb|PO:0025029
FLOPO_0900041	tissue succulence	A portion of plant tissue phenotype that characterizes the degree to which the tissue is thickened and fleshy because it stores water.	PO:0009007
FLOPO_0900042	tissue succulent	A tissue succulence phenotype in which the tissue is thick, fleshy and water-storing.	PO:0009007|PATO:0104019
FLOPO_0900043	whole plant ecology	A whole plant phenotype that characterizes the plant by its relationship to its environment or to other organisms, such as its mode of nutrition or its habitat.	PO:0000003
FLOPO_0900045	whole plant parasitic	A whole plant ecology phenotype in which the plant grows on another living organism, the host, and obtains water or nutrients from it.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=P&glossary=yes&page=nswfl#parasite|PO:0000003
FLOPO_0900049	latex presence	A plant latex phenotype that characterizes whether the plant exudes latex, a usually milky fluid, from cut surfaces of its leaves and stems.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=L&glossary=yes&page=nswfl#latex
FLOPO_0900050	latex present	A latex presence phenotype in which a usually milky fluid is exuded from cut surfaces of the leaves or stems of the plant.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=L&glossary=yes&page=nswfl#latex
FLOPO_0900051	latex absent	A latex presence phenotype in which no latex is exuded from cut surfaces of the leaves or stems of the plant.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=L&glossary=yes&page=nswfl#latex
FLOPO_0900052	whole plant with stingy hairs	A whole plant hairy phenotype in which the plant bears hollow hairs seated on glands that secrete an irritating fluid.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=S&glossary=yes&page=nswfl#stinging%20hair|PO:0000282
FLOPO_0900063	whole plant flower position	A whole plant phenotype that characterizes the part of the plant body, such as the current leafy shoots, older branches or the trunk, on which flowers are produced.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=C&glossary=yes&page=nswfl#cauliflory|PO:0000003|PO:0009046
FLOPO_0900064	whole plant cauliflorous	A whole plant flower position phenotype in which flowers or fruits are produced on the trunk or on major, well-developed branches.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=C&glossary=yes&page=nswfl#cauliflory|PO:0000003
FLOPO_0900065	whole plant ramiflorous	A whole plant flower position phenotype in which flowers or fruits are produced behind the current foliage, on woody branches formed in previous seasons.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=R&glossary=yes&page=nswfl#ramiflory|PO:0000003
FLOPO_0900066	leaf rosulate	A leaf spatial pattern phenotype in which the leaves are clustered in a radiating rosette, usually close to the ground at the base of the plant.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=R&glossary=yes&page=nswfl#rosulate|https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=R&glossary=yes&page=nswfl#rosette|PO:0025034
FLOPO_0900068	leaf palmately compound	A leaf shape phenotype in which the leaf is compound, with three or more leaflets arising from a single point at the top of the petiole.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=P&glossary=yes&page=nswfl#palmate|PO:0020043
FLOPO_0907004	leaf pinnately compound	A leaf shape phenotype in which the leaf is compound, with its leaflets arranged in two rows along a rachis.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=P&glossary=yes&page=nswfl#pinnate|PO:0020043
FLOPO_0980064	leaf foliolate	A leaf shape phenotype in which the leaf is divided into leaflets, the ultimate segments of a compound leaf.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=F&glossary=yes&page=nswfl#-foliolate|https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=L&glossary=yes&page=nswfl#leaflet|PO:0020049
FLOPO_0900069	leaf base cordate	A leaf base shape phenotype in which the leaf base is heart-shaped, with a notch at the point of attachment of the petiole.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=C&glossary=yes&page=nswfl#cordate|PO:0020040
FLOPO_0900070	leaf vascular system palmate	A leaf vascular system shape phenotype in which several primary veins radiate from a single point at the base of the leaf lamina.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=P&glossary=yes&page=nswfl#palmate|PO:0000036
FLOPO_0900071	leaf vascular system triplinerve	A leaf vascular system shape phenotype in which three prominent primary veins diverge from the midvein slightly above the base of the leaf lamina.	PO:0000036
FLOPO_0900072	leaf vascular system parallel	A leaf vascular system shape phenotype in which the primary veins of the leaf lamina run in the same direction and at about equal distances from one another.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=P&glossary=yes&page=nswfl#parallel|PO:0000036
FLOPO_0900075	leaf margin crenate	A leaf margin shape phenotype in which the leaf margin bears shallow, rounded teeth.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=C&glossary=yes&page=nswfl#crenate|PO:0020128
FLOPO_0980053	leaf margin subentire	A leaf margin phenotype in which the leaf margin is almost neither toothed nor dissected, bearing at most a few minute or obscure teeth.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=E&glossary=yes&page=nswfl#entire|PO:0020128
FLOPO_0907002	fused corolla present	A fused corolla phenotype in which the petals of the flower are united by their margins, at least at the base, so that the corolla is a single structure.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=G&glossary=yes&page=nswfl#gamopetalous|PO:0025581
FLOPO_0907003	fused corolla absent	A fused corolla phenotype in which the petals of the flower are free from one another, so that the corolla does not form a single united structure.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=P&glossary=yes&page=nswfl#polypetalous|PO:0025581
FLOPO_0980065	flower style length	A flower phenotype that characterizes the length of the style, the part of the carpel between the stigma and the ovary.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=S&glossary=yes&page=nswfl#style|PO:0009074|PATO:0000122
FLOPO_0980069	pedical ciliate	A pedicel ciliatedness phenotype in which the stalk of the flower is fringed with fine hairs resembling eyelashes.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=C&glossary=yes&page=nswfl#ciliate|https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=P&glossary=yes&page=nswfl#pedicel|PO:0009052|PATO:0001408
FLOPO_0980070	whole plant lifestyle	A whole plant phenotype that characterizes the plant by the duration of its life cycle from germination to fruiting and death.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=A&glossary=yes&page=nswfl#annual|PO:0000003
FLOPO_0980071	whole plant annual	A whole plant lifestyle phenotype in which the plant completes its life cycle, from germination to fruiting, within one year and then dies.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=A&glossary=yes&page=nswfl#annual|PO:0000003
FLOPO_0980072	whole plant biennial	A whole plant lifestyle phenotype in which the plant completes its life cycle, from germination to fruiting, in more than one but less than two years and then dies.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=B&glossary=yes&page=nswfl#biennial|PO:0000003
FLOPO_0980073	whole plant perennial	A whole plant lifestyle phenotype in which the life span of the plant extends over more than one growing season, the plant usually flowering and fruiting repeatedly.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=P&glossary=yes&page=nswfl#perennial|PO:0000003
FLOPO_0980077	bract margin membranous	A bract margin texture phenotype in which the bract margin is thin and translucent.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=M&glossary=yes&page=nswfl#membranous|PO:0025011
FLOPO_0980078	whole plant architecture	A whole plant phenotype that characterizes the overall spatial organization of the plant body, including its branching pattern and the arrangement of its shoot axes.	PO:0000003|PO:0025029
FLOPO_0907302	hasValue	A data property that relates an amount quality to the integer number of entities that the quality measures, as used in FLOPO count phenotypes.	PATO:0000070
