# Colour crosswalk for the extraction pipeline (generated by tools/build_flopo_colour_backbone.py; do not edit).
# canonical_id is the colour FLOPO uses in logical axioms for source_id; rows with eq_axiom=SubClassOf generalise the source and never define an EquivalentTo class.
source_id	source_label	source_status	word_scope	backbone_id	backbone_label	canonical_id	eq_axiom
FLOPO_0988217	very pale purplish blue	backbone	EXACT	FLOPO_0988217	very pale purplish blue	FLOPO_0988217	EquivalentTo
FLOPO_0988218	pale purplish blue	backbone	EXACT	FLOPO_0988218	pale purplish blue	FLOPO_0988218	EquivalentTo
FLOPO_0988219	grayish purplish blue	backbone	EXACT	FLOPO_0988219	grayish purplish blue	FLOPO_0988219	EquivalentTo
FLOPO_0988220	vivid violet	backbone	EXACT	FLOPO_0988220	vivid violet	FLOPO_0988220	EquivalentTo
FLOPO_0988221	brilliant violet	backbone	EXACT	FLOPO_0988221	brilliant violet	FLOPO_0988221	EquivalentTo
FLOPO_0988222	strong violet	backbone	EXACT	FLOPO_0988222	strong violet	FLOPO_0988222	EquivalentTo
FLOPO_0988223	very light violet	backbone	EXACT	FLOPO_0988223	very light violet	FLOPO_0988223	EquivalentTo
FLOPO_0988224	light violet	backbone	EXACT	FLOPO_0988224	light violet	FLOPO_0988224	EquivalentTo
FLOPO_0988225	moderate violet	backbone	EXACT	FLOPO_0988225	moderate violet	FLOPO_0988225	EquivalentTo
FLOPO_0988226	dark violet	backbone	EXACT	FLOPO_0988226	dark violet	FLOPO_0988226	EquivalentTo
FLOPO_0988227	very pale violet	backbone	EXACT	FLOPO_0988227	very pale violet	FLOPO_0988227	EquivalentTo
FLOPO_0988228	pale violet	backbone	EXACT	FLOPO_0988228	pale violet	FLOPO_0988228	EquivalentTo
FLOPO_0988229	grayish violet	backbone	EXACT	FLOPO_0988229	grayish violet	FLOPO_0988229	EquivalentTo
FLOPO_0988230	vivid purple	backbone	EXACT	FLOPO_0988230	vivid purple	FLOPO_0988230	EquivalentTo
FLOPO_0988231	brilliant purple	backbone	EXACT	FLOPO_0988231	brilliant purple	FLOPO_0988231	EquivalentTo
FLOPO_0988232	strong purple	backbone	EXACT	FLOPO_0988232	strong purple	FLOPO_0988232	EquivalentTo
FLOPO_0988233	very deep purple	backbone	EXACT	FLOPO_0988233	very deep purple	FLOPO_0988233	EquivalentTo
FLOPO_0988234	very light purple	backbone	EXACT	FLOPO_0988234	very light purple	FLOPO_0988234	EquivalentTo
FLOPO_0988235	light purple	backbone	EXACT	FLOPO_0988235	light purple	FLOPO_0988235	EquivalentTo
FLOPO_0988236	moderate purple	backbone	EXACT	FLOPO_0988236	moderate purple	FLOPO_0988236	EquivalentTo
FLOPO_0988237	dark purple	backbone	EXACT	FLOPO_0988237	dark purple	FLOPO_0988237	EquivalentTo
FLOPO_0988238	very dark purple	backbone	EXACT	FLOPO_0988238	very dark purple	FLOPO_0988238	EquivalentTo
FLOPO_0988239	very pale purple	backbone	EXACT	FLOPO_0988239	very pale purple	FLOPO_0988239	EquivalentTo
FLOPO_0988240	pale purple	backbone	EXACT	FLOPO_0988240	pale purple	FLOPO_0988240	EquivalentTo
FLOPO_0988241	grayish purple	backbone	EXACT	FLOPO_0988241	grayish purple	FLOPO_0988241	EquivalentTo
FLOPO_0988242	dark grayish purple	backbone	EXACT	FLOPO_0988242	dark grayish purple	FLOPO_0988242	EquivalentTo
FLOPO_0988243	blackish purple	backbone	EXACT	FLOPO_0988243	blackish purple	FLOPO_0988243	EquivalentTo
FLOPO_0988244	purplish white	backbone	EXACT	FLOPO_0988244	purplish white	FLOPO_0988244	EquivalentTo
FLOPO_0988245	light purplish gray	backbone	EXACT	FLOPO_0988245	light purplish gray	FLOPO_0988245	EquivalentTo
FLOPO_0988246	purplish gray	backbone	EXACT	FLOPO_0988246	purplish gray	FLOPO_0988246	EquivalentTo
FLOPO_0988247	dark purplish gray	backbone	EXACT	FLOPO_0988247	dark purplish gray	FLOPO_0988247	EquivalentTo
FLOPO_0988248	vivid reddish purple	backbone	EXACT	FLOPO_0988248	vivid reddish purple	FLOPO_0988248	EquivalentTo
FLOPO_0988249	strong reddish purple	backbone	EXACT	FLOPO_0988249	strong reddish purple	FLOPO_0988249	EquivalentTo
FLOPO_0988250	deep reddish purple	backbone	EXACT	FLOPO_0988250	deep reddish purple	FLOPO_0988250	EquivalentTo
FLOPO_0988251	very deep reddish purple	backbone	EXACT	FLOPO_0988251	very deep reddish purple	FLOPO_0988251	EquivalentTo
FLOPO_0988252	light reddish purple	backbone	EXACT	FLOPO_0988252	light reddish purple	FLOPO_0988252	EquivalentTo
FLOPO_0988253	moderate reddish purple	backbone	EXACT	FLOPO_0988253	moderate reddish purple	FLOPO_0988253	EquivalentTo
FLOPO_0988254	dark reddish purple	backbone	EXACT	FLOPO_0988254	dark reddish purple	FLOPO_0988254	EquivalentTo
FLOPO_0988255	very dark reddish purple	backbone	EXACT	FLOPO_0988255	very dark reddish purple	FLOPO_0988255	EquivalentTo
FLOPO_0988256	pale reddish purple	backbone	EXACT	FLOPO_0988256	pale reddish purple	FLOPO_0988256	EquivalentTo
FLOPO_0988257	grayish reddish purple	backbone	EXACT	FLOPO_0988257	grayish reddish purple	FLOPO_0988257	EquivalentTo
FLOPO_0988258	brilliant purplish pink	backbone	EXACT	FLOPO_0988258	brilliant purplish pink	FLOPO_0988258	EquivalentTo
FLOPO_0988259	strong purplish pink	backbone	EXACT	FLOPO_0988259	strong purplish pink	FLOPO_0988259	EquivalentTo
FLOPO_0988260	deep purplish pink	backbone	EXACT	FLOPO_0988260	deep purplish pink	FLOPO_0988260	EquivalentTo
FLOPO_0988261	light purplish pink	backbone	EXACT	FLOPO_0988261	light purplish pink	FLOPO_0988261	EquivalentTo
FLOPO_0988262	moderate purplish pink	backbone	EXACT	FLOPO_0988262	moderate purplish pink	FLOPO_0988262	EquivalentTo
FLOPO_0988263	dark purplish pink	backbone	EXACT	FLOPO_0988263	dark purplish pink	FLOPO_0988263	EquivalentTo
FLOPO_0988264	pale purplish pink	backbone	EXACT	FLOPO_0988264	pale purplish pink	FLOPO_0988264	EquivalentTo
FLOPO_0988265	grayish purplish pink	backbone	EXACT	FLOPO_0988265	grayish purplish pink	FLOPO_0988265	EquivalentTo
FLOPO_0988266	vivid purplish red	backbone	EXACT	FLOPO_0988266	vivid purplish red	FLOPO_0988266	EquivalentTo
FLOPO_0988267	strong purplish red	backbone	EXACT	FLOPO_0988267	strong purplish red	FLOPO_0988267	EquivalentTo
FLOPO_0988268	very deep purplish red	backbone	EXACT	FLOPO_0988268	very deep purplish red	FLOPO_0988268	EquivalentTo
FLOPO_0988269	moderate purplish red	backbone	EXACT	FLOPO_0988269	moderate purplish red	FLOPO_0988269	EquivalentTo
FLOPO_0988270	very dark purplish red	backbone	EXACT	FLOPO_0988270	very dark purplish red	FLOPO_0988270	EquivalentTo
FLOPO_0988271	light grayish purplish red	backbone	EXACT	FLOPO_0988271	light grayish purplish red	FLOPO_0988271	EquivalentTo
FLOPO_0988272	grayish purplish red	backbone	EXACT	FLOPO_0988272	grayish purplish red	FLOPO_0988272	EquivalentTo
FLOPO_0988273	light gray	backbone	EXACT	FLOPO_0988273	light gray	FLOPO_0988273	EquivalentTo
FLOPO_0988274	medium gray	backbone	EXACT	FLOPO_0988274	medium gray	FLOPO_0988274	EquivalentTo
FLOPO_0988275	dark gray	backbone	EXACT	FLOPO_0988275	dark gray	FLOPO_0988275	EquivalentTo
PATO_0001249	dark green	backbone	EXACT	PATO_0001249	dark green	PATO_0001249	EquivalentTo
PATO_0001287	reddish brown	backbone	EXACT	PATO_0001287	reddish brown	PATO_0001287	EquivalentTo
PATO_0001941	yellow green	backbone	EXACT	PATO_0001941	yellow green	PATO_0001941	EquivalentTo
PATO_0104005	deep yellow	backbone	EXACT	PATO_0104005	deep yellow	PATO_0104005	EquivalentTo
PATO_0104007	grayish green	backbone	EXACT	PATO_0104007	grayish green	PATO_0104007	EquivalentTo
PATO_0104013	greenish yellow	backbone	EXACT	PATO_0104013	greenish yellow	PATO_0104013	EquivalentTo
PATO_0104020	bluish green	backbone	EXACT	PATO_0104020	bluish green	PATO_0104020	EquivalentTo
PATO_0104051	pale greenish yellow	backbone	EXACT	PATO_0104051	pale greenish yellow	PATO_0104051	EquivalentTo
PATO_0104054	orange yellow	backbone	EXACT	PATO_0104054	orange yellow	PATO_0104054	EquivalentTo
PATO_0104059	pinkish white	backbone	EXACT	PATO_0104059	pinkish white	PATO_0104059	EquivalentTo
PATO_0104064	deep blue	backbone	EXACT	PATO_0104064	deep blue	PATO_0104064	EquivalentTo
PATO_0104067	greenish white	backbone	EXACT	PATO_0104067	greenish white	PATO_0104067	EquivalentTo
PATO_0104073	deep orange	backbone	EXACT	PATO_0104073	deep orange	PATO_0104073	EquivalentTo
PATO_0104077	very pale blue	backbone	EXACT	PATO_0104077	very pale blue	PATO_0104077	EquivalentTo
PATO_0104079	reddish purple	backbone	EXACT	PATO_0104079	reddish purple	PATO_0104079	EquivalentTo
PATO_0104085	deep purple	backbone	EXACT	PATO_0104085	deep purple	PATO_0104085	EquivalentTo
PATO_0104087	deep purplish red	backbone	EXACT	PATO_0104087	deep purplish red	PATO_0104087	EquivalentTo
PATO_0104114	yellowish green	backbone	EXACT	PATO_0104114	yellowish green	PATO_0104114	EquivalentTo
PATO_0104123	deep green	backbone	EXACT	PATO_0104123	deep green	PATO_0104123	EquivalentTo
PATO_0104151	dark pink	backbone	EXACT	PATO_0104151	dark pink	PATO_0104151	EquivalentTo
PATO_0104157	purplish black	backbone	EXACT	PATO_0104157	purplish black	PATO_0104157	EquivalentTo
PATO_0104159	dark purplish red	backbone	EXACT	PATO_0104159	dark purplish red	PATO_0104159	EquivalentTo
PATO_0104189	deep red	backbone	EXACT	PATO_0104189	deep red	PATO_0104189	EquivalentTo
PATO_0104223	very pale green	backbone	EXACT	PATO_0104223	very pale green	PATO_0104223	EquivalentTo
PATO_0104294	deep violet	backbone	EXACT	PATO_0104294	deep violet	PATO_0104294	EquivalentTo
PATO_0104305	bluish gray	backbone	EXACT	PATO_0104305	bluish gray	PATO_0104305	EquivalentTo
PATO_0104311	purplish red	backbone	EXACT	PATO_0104311	purplish red	PATO_0104311	EquivalentTo
