proposal_key	flopo_id	label	eq_signature	signature_sha256	campaign_id	item_id	consensus_signature_sha256	reviewer_ids	adjudicator_id	occurrence_count	admission_rule	curator_override
eqgap_1eb6afa3a9ce94c7b1384ce2	FLOPO_0980989	corolla greenish white	EQ|PO_0009059|PATO_0104067	d6b3d5d99e701e275fb552031c66b5088ca729c3d205b0a95fa6581e0464a46f	campaign_b85f53253d0219787f3c0e40	cluster_544d6be1071935cd226681f8	1823e083bcc399ecd8b0c0d3af897ba150c5708529d9cd897c8c856c118102f0	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	6	two_family_exact_agreement_adversarial_no_blocker	
eqgap_227402d10aeee351a1c95d93	FLOPO_0980990	filament orange red	EQ|PO_0009067|PATO_0104112	3d4d4d8a525960681c2ddaba2b8118cf43b8e1882053f2d922a40cdd8380d1c4	campaign_b85f53253d0219787f3c0e40	cluster_e4f19cd8d1c78b82b00832cf	e743fbf0f7bf2aa44272ece6c79a480f0ad0f36fe358d7efdc21501dbe77193b	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_293112dbe92f61b7da416c1e	FLOPO_0980991	petal yellowish green	EQ|PO_0009032|PATO_0104114	b797fff59dbcf5f5edc93d7be0f05046971f7d26fc1f20e28076b745811f0e59	campaign_b85f53253d0219787f3c0e40	cluster_e7aaa0a2aef696762e5f5b85	441c2e2a419e906a12fda3e96090b99867489913a35e7ffba7dc33e0226a4c26	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	4	two_family_exact_agreement_adversarial_no_blocker	
eqgap_29acedd9516be84b4493d5e2	FLOPO_0980992	inflorescence greenish white	EQ|PO_0009049|PATO_0104067	c08545ba0b65c34394ee884a137f65b648204aa660dc81e6a913a1b683f5fb5d	campaign_b85f53253d0219787f3c0e40	cluster_42792ef16aa354f9c8fbb491	5fffad4b3de0a8a3ced20ac56f842732e0bde897df2d2dc8fbb1d0115ec26830	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_3048b807bdd52981e8131261	FLOPO_0980993	tepal greenish white	EQ|PO_0009033|PATO_0104067	ee2d2783fe71085a58562ec5047bd8174262ef740e75a4ff4a8bda115a4c77d2	campaign_b85f53253d0219787f3c0e40	cluster_41bd59eaed9e8147be6d294d	7c0df716028a9e0f8c9fbfcbe7c97a883e1a693c0cecf8e1e2c4782f6cb93fa5	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_36d63c65bac3a637dc6a2520	FLOPO_0980994	corolla blue green	EQ|PO_0009059|PATO_0104020	0782aa92571865b33d2e047e3d0c65c7d2455724c1f54673c5efe24860fe5da9	campaign_b85f53253d0219787f3c0e40	cluster_74bfe9a50c286ef45dfcaf56	5c232907c99b6159a7f299169351a6a783cce896cdf40341c7e84775c7c304ae	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_3896749fcc0304d16e7ba13c	FLOPO_0980995	sepal yellow green	EQ|PO_0009031|PATO_0001941	165fc37a271cbf77c24504514fe6165fc6cec2d96425d0ae8ef04828406707ee	campaign_b85f53253d0219787f3c0e40	cluster_78f10c720fd0ab92a63d77fc	785c49fd237e2f3d3d0905ef6ad6a4da0da11a240ac2091a149d6661aaca2550	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	7	two_family_exact_agreement_adversarial_no_blocker	
eqgap_3bf2bc90022d8de53f60f7ad	FLOPO_0980996	petal olive colour	EQ|PO_0009032|PATO_0104336	39cd5d00af41d7acfed5222baddcb88f8872adca46237b856a59a56d2af61894	campaign_b85f53253d0219787f3c0e40	cluster_54685ed3b6c2a48420c0ef18	eaa09540bf882f1e1e099f0c97fae87bd5a7417b951f0849f420d81596d707d6	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	3	two_family_exact_agreement_adversarial_no_blocker	
eqgap_3e9074b0004fb46a6a374396	FLOPO_0980997	filament greenish yellow	EQ|PO_0009067|PATO_0104013	92e8c41155b8d800db9d543d66c5f008530a19b590bff5d62d7a660035530927	campaign_b85f53253d0219787f3c0e40	cluster_e22a1e811a541f6258b0ca9d	932e0db0c1468ecb2a13c2f2419802799c5bf146f20442421ab44d04bab4082d	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_49ca22d49d88bff625af3608	FLOPO_0980998	bract chestnut colour	EQ|PO_0009055|PATO_0104329	ec12a6e6f75cfd107c3d0ac0c33e907e792aef7bb87af08de3996c25ca20728d	campaign_b85f53253d0219787f3c0e40	cluster_ea8104e53d22a314b0edab73	3b434ab0675c793ff0a1180d1fc58f13d0227f156be63612f0fd932a2ff11138	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	2	two_family_exact_agreement_adversarial_no_blocker	
eqgap_4b5899fcdf07b7024ed4ee21	FLOPO_0980999	petiole purplish black	EQ|PO_0020038|PATO_0104157	3dbbaea4195eaa8294b03447140c3d39b123592a22f570515a7e0f6ae592b327	campaign_b85f53253d0219787f3c0e40	cluster_97e1e007b27ad512c168b268	5a34ee9f434ac79797953b2ad23aa0654a09ed8bfa31ff0556aa857ca3885569	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_5536c080c76f857c6c1e8136	FLOPO_0981000	leaf lamina blue green	EQ|PO_0020039|PATO_0104020	28e47aa2e4e19814310f0bdfba3b86e5b62bfe4a9d1f8069873796cb573e4f0b	campaign_b85f53253d0219787f3c0e40	cluster_13385d4e18536df5b05bc8b1	5892173f9d365eaf35879d4fb34a873b03712b2d2acdf0b2c8367b252c126b3b	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	5	two_family_exact_agreement_adversarial_no_blocker	
eqgap_5ae9d5bbdf39f2e812faf8a7	FLOPO_0981001	stem blue green	EQ|PO_0009047|PATO_0104020	9fac1bb443594f7926a88b1385e15920e568e63bef9fdb2156b463c528a685e8	campaign_b85f53253d0219787f3c0e40	cluster_79a855a88182a54586241045	34fbee0e075934bbd776b8c4a67bd0aacef6f4e174580dc77d679c7e0cb6918c	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_5b97a1077d683b4d315fbc5f	FLOPO_0981002	whole plant olive colour	EQ|PO_0000003|PATO_0104336	5d087627a617b8f021ca083f356cb3876f2fbe5770aa38557a86f0e0e67473d3	campaign_b85f53253d0219787f3c0e40	cluster_c9e939949c92f9f8a6b24ef0	6758dfd627ce55e59e408d837e5b96c8657e8f8d3ebdc545fcc91c05c195e0bd	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	2	two_family_exact_agreement_adversarial_no_blocker	
eqgap_5feca21464a52252524fd5ab	FLOPO_0981003	drupe fruit orange red	EQ|PO_0030103|PATO_0104112	7c7961aa6c5f298e049131c669b3c809bedab06bd73b5905bcc88277b157d036	campaign_b85f53253d0219787f3c0e40	cluster_484ae01f7b6c1dadebf6e7d7	2a782223e0dd1170a59e5167f57a4a5ce09b422002eebcf760bf1aac0e1a5e7a	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	2	two_family_exact_agreement_adversarial_no_blocker	
eqgap_648520894c279bf3ea45c8f0	FLOPO_0981004	seed orange yellow	EQ|PO_0009010|PATO_0104054	0d0390e4ca507b69704beb3e99cd398961b8d9b9a1946a77c7a63f67636eb52d	campaign_b85f53253d0219787f3c0e40	cluster_0d646a2caa87cb90beec8e35	586e4ba5d9abd3d3ff11930e0c773f2e366b0e88016f59b3f62cdb1f4146f711	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	2	two_family_exact_agreement_adversarial_no_blocker	
eqgap_652be062e476bf992e444b2a	FLOPO_0981005	berry fruit olive colour	EQ|PO_0030108|PATO_0104336	078f6836c8788e11a35af8e74cfaa364dda7d1ab4e46c4b1aa9ab647f5b5f226	campaign_b85f53253d0219787f3c0e40	cluster_26136547bffe24c05c347b49	a8a419047338acde1b8ef9abc8eabb4ba1917deb2c94b2585306a744fd662ee8	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	3	two_family_exact_agreement_adversarial_no_blocker	
eqgap_6970bda6d7b6bf4b29083f0e	FLOPO_0981006	bark yellowish green	EQ|PO_0004518|PATO_0104114	afed449bfc8d8db0ed4e0404971be58ff2f9372218845a9b3345f0501dad6610	campaign_b85f53253d0219787f3c0e40	cluster_d930b3b17d69183f05e24b06	06c4254e6937749759bc4a7a772f7ac238c8880ca3aaa667fc13f748054eee47	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_6bf34d7a45ea45cc71fc4067	FLOPO_0981007	anther chocolate brown	EQ|PO_0009066|PATO_0104333	042cae9cbbcca27ae759714d8ff423445062d1418847a4e1d04c0181f564c9fd	campaign_b85f53253d0219787f3c0e40	cluster_8f355d74d0a97cf4e10f1140	125d93d387f31b82847706a10fee12f9976adba21fc12cd737b45b52ba40f341	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_6cfe30a62fcbd97279561ffc	FLOPO_0981008	sepal yellowish green	EQ|PO_0009031|PATO_0104114	a2b3010025c005f2bd68397c6702bb11f7f1b2308e605210615728ef7379a269	campaign_b85f53253d0219787f3c0e40	cluster_b05929087446f51a02bc2a85	5f5b9c55785fa676e761eadeb3ed4db7ec71478c9c7c912f7079ccbc10791a25	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	3	two_family_exact_agreement_adversarial_no_blocker	
eqgap_6ec59d56f68ea5d88f4678d2	FLOPO_0981009	sepal orange yellow	EQ|PO_0009031|PATO_0104054	812b60a6134be9604f1856b3db4ba0bb4d5614ef6904af82c2ad9191cb8e87ce	campaign_b85f53253d0219787f3c0e40	cluster_866bf5983cc82738754de524	89378c05b09e10c74ed71cba0185af60915dec50dcf2f99089b1be7c80dbabf9	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_7af7872e2e0ca13e9957588c	FLOPO_0981010	corolla yellowish green	EQ|PO_0009059|PATO_0104114	ce479718e2103f6fac6e3a979a9eb06713f4edd2f4290caf841a12ae8eb3682f	campaign_b85f53253d0219787f3c0e40	cluster_ddce68ab2d20a0b5717fa218	1a115f59bedfe82a5fbb796361a9aafb019658251975465712f79df51c98b036	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	3	two_family_exact_agreement_adversarial_no_blocker	
eqgap_7ed732a0f1f5c7ea4a2a3c3e	FLOPO_0981011	whole plant greyish green	EQ|PO_0000003|PATO_0104007	efe44629955a6608f22f5469a150734fe4127d3b45a1f82928d022d5f03f86fd	campaign_b85f53253d0219787f3c0e40	cluster_c50c26e00e7a3f2c48a4a3d6	b765142b0c75f89d03eecc292e507e12a726bff0151ba28cd29753358be6ab2e	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	7	two_family_exact_agreement_adversarial_no_blocker	
eqgap_7f431c0f390fae030b800af5	FLOPO_0981012	petal lemon yellow	EQ|PO_0009032|PATO_0104321	1a9423e1e92f1a0479b5f6f6376c27a28a1cf5668f39dac5380dd5fb2e5fc30a	campaign_b85f53253d0219787f3c0e40	cluster_428776404a30c25bd7707780	201da486783c74844509b6f245529cadbb900da9eaa3fd2166cd1fbe3c58fe3e	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	6	two_family_exact_agreement_adversarial_no_blocker	
eqgap_8846fbe8b28a61bf7f7859bf	FLOPO_0981013	lamina blue green	EQ|PO_0025060|PATO_0104020	6ffc7a3cd7e51932f9f72f5e0c49e17a9cb7667a31632153e986e970c21c167a	campaign_b85f53253d0219787f3c0e40	cluster_f4eac0a55170450e886ffd70	2605e3776942d10174a008ad2918ecd0034986179c5b52c7629841ad6ff239b5	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_8c48da3eaa711e4f315f88a6	FLOPO_0981014	bark chocolate brown	EQ|PO_0004518|PATO_0104333	54664db71fc0c3fa3eddf0999a5f9852b4bcc4f8f25ee455a36c43bee7cac3ce	campaign_b85f53253d0219787f3c0e40	cluster_e9544e331fb8e5e039316983	1a5a57e050195b019278bf15fd36691400548bd68f8b1f5e3e84d3bb4d89f2d5	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_8d906ec7a15bc9079a69a9b5	FLOPO_0981015	plant ovary yellow green	EQ|PO_0009072|PATO_0001941	652111f95d9d064d895860a8240cbc6bd81de509280f210d8695e106485ef74b	campaign_b85f53253d0219787f3c0e40	cluster_c5d0a8d8a2f7a30b6235308d	d9995ca889b88982fca9e9977f0558b1cfba84254c36e86a8cb694f55ae90ef2	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	2	two_family_exact_agreement_adversarial_no_blocker	
eqgap_9433385af737f5143d947d29	FLOPO_0981016	vascular leaf yellow green	EQ|PO_0009025|PATO_0001941	2c37759a906162e78ead3ca4f7e238668a8c64b3cb93b3bf7c8c77d773e0260a	campaign_b85f53253d0219787f3c0e40	cluster_31a2acb8a06d489b0d75508c	518d09455764291355d308e93fb6323392531a611db9bffcab76cbbac864f457	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	3	two_family_exact_agreement_adversarial_no_blocker	
eqgap_97a13ecb4d9de1b9034e0af2	FLOPO_0981017	corolla lemon yellow	EQ|PO_0009059|PATO_0104321	aa801e52c2d28876e1ffb825c93156c87e34f6ac0ba925e29b1e8237ad6bc326	campaign_b85f53253d0219787f3c0e40	cluster_6c955867e897d307a90ac437	eda662644239cbbb482919fea3f86f13b37cf95d9db074b2404dad1b569026a0	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	3	two_family_exact_agreement_adversarial_no_blocker	
eqgap_99a02ed194568c8afc5e7215	FLOPO_0981018	stem greyish green	EQ|PO_0009047|PATO_0104007	a386e84910666ada454916b13baa35e21e628159c562ccf093b3ff2f0174a97b	campaign_b85f53253d0219787f3c0e40	cluster_7c43ad063f91877567c7fcd9	98e82f35dc7c3cfe1341e9e886f5cb774825965b91d4c2c71dfd87dd111bcc6c	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	7	two_family_exact_agreement_adversarial_no_blocker	
eqgap_99aade3ea548a1e8192cbb81	FLOPO_0981019	calyx orange red	EQ|PO_0009060|PATO_0104112	ec9990a6e00d3be136b5a2bd2543c746c9f38be9117c8846bc6222a0e12b7086	campaign_b85f53253d0219787f3c0e40	cluster_2a142c1701189e1c3df44da3	8454999efd800eb7f5c70edc62962fa7ebe52e039d22dc4feda26ac8c09c7ef7	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	2	two_family_exact_agreement_adversarial_no_blocker	
eqgap_a28d0b70cf0a8628da2dd120	FLOPO_0981020	seed greenish yellow	EQ|PO_0009010|PATO_0104013	4d774a558f7eb5e30dba8a61f6d1206099665aa0859693f3ca155f2c7b66e90a	campaign_b85f53253d0219787f3c0e40	cluster_7033219e02c23c4b802af85f	8d51c82439c310ed8b9c4484f20aa4593671ba3061c296e2a0a88392015125e7	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_a9f40fa46ec398f6351df332	FLOPO_0981021	drupe fruit orange yellow	EQ|PO_0030103|PATO_0104054	dcda3674370593083fd984a9530d57b7108373a6033e1e7da2bdc8c9362433b2	campaign_b85f53253d0219787f3c0e40	cluster_4c9f7a6a95923334d255d591	704979ad5d60439347a7cd679ae1c633efbf9223e6d71c057db64c0a9e1d369c	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_abbb561a6ef76de1c1f11cf6	FLOPO_0981022	filament yellow green	EQ|PO_0009067|PATO_0001941	655e0cc86f15c7209cd91019233627b606d8d9260f5aa3e01bb1ca81310ee9e7	campaign_b85f53253d0219787f3c0e40	cluster_3df3d533e617bb94e18a0f14	a8a7da341b9cf0414ef22eddd51c6e84ca9690742736efcb708ab33860a35392	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	3	two_family_exact_agreement_adversarial_no_blocker	
eqgap_ae2d638229c311e40cf42f8d	FLOPO_0981023	perianth olive colour	EQ|PO_0009058|PATO_0104336	1d32cd5e0bfdd534c3d3973e37095641309ead1aa2cdcee05cd1c01fd6514261	campaign_b85f53253d0219787f3c0e40	cluster_eb0a3bdc714fb6e98b3372a9	0c41a7cfa4e3d2b68d0e65759e305da4a7749cae916d85c0ac1ee71341617e70	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_b76c5b8194e87f9f7d7dbcdb	FLOPO_0981024	inflorescence yellowish green	EQ|PO_0009049|PATO_0104114	60d15aa2e008a34c3889a47aa9047d98377e25f38334650c89e5223443f08beb	campaign_b85f53253d0219787f3c0e40	cluster_dffa58a3b8f506bc27b5dfe8	644d9b0f47d69eee4720c319af4da3156f511c2cecb8283ac685c54335fd2773	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_ba43d9c10b5c3f03f2e67fc2	FLOPO_0981025	sepal blue green	EQ|PO_0009031|PATO_0104020	ee8ea09a718261d458d5043a334feb3f2ac6f1783dad81580f0fa25c4bb90f33	campaign_b85f53253d0219787f3c0e40	cluster_bccd6dcac2ca643cbedca671	c9e3e3d7d11e1ae20e087f5ef3a89d022f2fa35305fd62706cad35bdfb635826	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_c35b7c982967bd11de09bc5b	FLOPO_0981026	stem greenish white	EQ|PO_0009047|PATO_0104067	4c8ca1f425ec25eac5ed1175635242f5c3c643654c2e6e80209f225af09838bd	campaign_b85f53253d0219787f3c0e40	cluster_6dedb117b84c3d7c5d6a62ec	4136be0babfb9fc98ef1e27832ce39781b2f8edc286e585a5a4dd90c7b3983a8	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_c58c1805623a4594c62bbe7d	FLOPO_0981027	bracteole red brown	EQ|PO_0009043|PATO_0001287	837ab6551cd71348e6d34836aa6d80153f28636d0a34bd0f8329a63fc0febb92	campaign_b85f53253d0219787f3c0e40	cluster_e40eb668c4b313ae1a1e08ca	e59eec4f68a850ce1fe84c42465f29f5cabb47a18523487e9594062aa3156893	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	3	two_family_exact_agreement_adversarial_no_blocker	
eqgap_cc8472af0a5d9f70d33bcffc	FLOPO_0981028	berry fruit blue green	EQ|PO_0030108|PATO_0104020	8f84cfe7e566b18df80f0ad996edc751000256658539662032b38b2d12012eb1	campaign_b85f53253d0219787f3c0e40	cluster_e53d8a5dc3aa1b979aa200be	b58c2ec54448b8ca7c92c664f54110f642c8476614f91ab1350d67d73a21a500	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	3	two_family_exact_agreement_adversarial_no_blocker	
eqgap_cd3deabd2b35c54900f9fec7	FLOPO_0981029	bark blue green	EQ|PO_0004518|PATO_0104020	60a440d3f9299f8d357aba45e4aba260b6bfe68cdfdfbef28d6015bfb7515c9a	campaign_b85f53253d0219787f3c0e40	cluster_3d1f0cc03358732539c2cbea	52114a8ff10880e944f9be18d186d8322f88de64004cb3d030cff91227b4d9af	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	5	two_family_exact_agreement_adversarial_no_blocker	
eqgap_d068e39d13ac8afe44c70ccc	FLOPO_0981030	seed orange red	EQ|PO_0009010|PATO_0104112	8c68cff8bf16bbd28021f71220ee1024f447e258b5fc148e14495304a165ee06	campaign_b85f53253d0219787f3c0e40	cluster_09931658c9c1d831bb41f313	f629d321fbb0be45d4cee656ae51ad04ff0843b19d19273795a47b09642235c4	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	5	two_family_exact_agreement_adversarial_no_blocker	
eqgap_d1699101be421221ca09873a	FLOPO_0981031	bark orange red	EQ|PO_0004518|PATO_0104112	924e9988948216ac85465b2760ecc7b2988a1778ddee651ecf998f314bf7080d	campaign_b85f53253d0219787f3c0e40	cluster_eec49844c5ef1ddda64a78c1	c743cecd91e1c93eb7f756abb517b94e2d31b9581bf3e65b80a6efd67aeedd53	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	2	two_family_exact_agreement_adversarial_no_blocker	
eqgap_d2b6e3b92d4a147def524085	FLOPO_0981032	anther yellow brown	EQ|PO_0009066|PATO_0002411	54d4751e1166f18c188c7a407f2e49e11b42bbdfddb7a5e2384fd1175308164d	campaign_b85f53253d0219787f3c0e40	cluster_75051b992975e085fa397c2b	daa301e82d2dbd9c0c5c14159f0d4401f90a8278a3541e241ccd8ad5971f65fc	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
