surface_form	language	po_id	po_label	match_scope	review_status	note
sommet de la foliole	fr	FLOPO_0986000	leaflet apex	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
sommet des folioles	fr	FLOPO_0986000	leaflet apex	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
apex de la foliole	fr	FLOPO_0986000	leaflet apex	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
leaflet base	en	FLOPO_0986001	leaflet base	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
leaflet bases	en	FLOPO_0986001	leaflet base	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
base de la foliole	fr	FLOPO_0986001	leaflet base	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
base des folioles	fr	FLOPO_0986001	leaflet base	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
leaflet lamina	en	FLOPO_0986002	leaflet lamina	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
leaflet laminae	en	FLOPO_0986002	leaflet lamina	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
leaflet blade	en	FLOPO_0986002	leaflet lamina	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
leaflet blades	en	FLOPO_0986002	leaflet lamina	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
limbe de la foliole	fr	FLOPO_0986002	leaflet lamina	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
limbe des folioles	fr	FLOPO_0986002	leaflet lamina	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
limbe foliolaire	fr	FLOPO_0986002	leaflet lamina	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
indumentum	en	FLOPO_0986003	indumentum	exact_noun	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
indument	en	FLOPO_0986003	indumentum	exact_noun	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
indumenta	en	FLOPO_0986003	indumentum	exact_noun	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
indument	fr	FLOPO_0986003	indumentum	exact_noun	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
revêtement pileux	fr	FLOPO_0986003	indumentum	exact_noun	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
perianth lobe	en	FLOPO_0986004	perianth lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
perianth lobes	en	FLOPO_0986004	perianth lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
perianth-lobe	en	FLOPO_0986004	perianth lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
perianth-lobes	en	FLOPO_0986004	perianth lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
lobe du périanthe	fr	FLOPO_0986004	perianth lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
lobes du périanthe	fr	FLOPO_0986004	perianth lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
calyx lobe	en	FLOPO_0986005	calyx lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
calyx lobes	en	FLOPO_0986005	calyx lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
calyx-lobe	en	FLOPO_0986005	calyx lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
calyx-lobes	en	FLOPO_0986005	calyx lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
lobe du calice	fr	FLOPO_0986005	calyx lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
lobes du calice	fr	FLOPO_0986005	calyx lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
lobe calicinal	fr	FLOPO_0986005	calyx lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
lobes calicinaux	fr	FLOPO_0986005	calyx lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
corolla lobe	en	FLOPO_0986006	corolla lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
corolla lobes	en	FLOPO_0986006	corolla lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
corolla-lobe	en	FLOPO_0986006	corolla lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
corolla-lobes	en	FLOPO_0986006	corolla lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
lobe de la corolle	fr	FLOPO_0986006	corolla lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
lobes de la corolle	fr	FLOPO_0986006	corolla lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
lobe corollin	fr	FLOPO_0986006	corolla lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
lobes corollins	fr	FLOPO_0986006	corolla lobe	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
leaf lobe	en	PO_0025517	leaf lamina lobe	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. Leaf lobe = PO leaf lamina lobe.
leaf lobes	en	PO_0025517	leaf lamina lobe	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. Leaf lobe = PO leaf lamina lobe.
leaf-lobe	en	PO_0025517	leaf lamina lobe	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. Leaf lobe = PO leaf lamina lobe.
leaf-lobes	en	PO_0025517	leaf lamina lobe	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. Leaf lobe = PO leaf lamina lobe.
lobe foliaire	fr	PO_0025517	leaf lamina lobe	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. Leaf lobe = PO leaf lamina lobe.
lobes foliaires	fr	PO_0025517	leaf lamina lobe	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. Leaf lobe = PO leaf lamina lobe.
upper leaf surface	en	PO_0000050	leaf lamina adaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000050 is the epidermis covering the adaxial/upper surface of a leaf lamina; PO models surfaces as epidermis.
upper surface of the leaf	en	PO_0000050	leaf lamina adaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000050 is the epidermis covering the adaxial/upper surface of a leaf lamina; PO models surfaces as epidermis.
upper surface of the leaves	en	PO_0000050	leaf lamina adaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000050 is the epidermis covering the adaxial/upper surface of a leaf lamina; PO models surfaces as epidermis.
adaxial leaf surface	en	PO_0000050	leaf lamina adaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000050 is the epidermis covering the adaxial/upper surface of a leaf lamina; PO models surfaces as epidermis.
upper surface of the lamina	en	PO_0000050	leaf lamina adaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000050 is the epidermis covering the adaxial/upper surface of a leaf lamina; PO models surfaces as epidermis.
upper surface of the leaf blade	en	PO_0000050	leaf lamina adaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000050 is the epidermis covering the adaxial/upper surface of a leaf lamina; PO models surfaces as epidermis.
face supérieure du limbe	fr	PO_0000050	leaf lamina adaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000050 is the epidermis covering the adaxial/upper surface of a leaf lamina; PO models surfaces as epidermis.
face supérieure des feuilles	fr	PO_0000050	leaf lamina adaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000050 is the epidermis covering the adaxial/upper surface of a leaf lamina; PO models surfaces as epidermis.
lower leaf surface	en	PO_0000049	leaf lamina abaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000049 is the epidermis covering the abaxial/lower surface of a leaf lamina; PO models surfaces as epidermis.
lower surface of the leaf	en	PO_0000049	leaf lamina abaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000049 is the epidermis covering the abaxial/lower surface of a leaf lamina; PO models surfaces as epidermis.
lower surface of the leaves	en	PO_0000049	leaf lamina abaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000049 is the epidermis covering the abaxial/lower surface of a leaf lamina; PO models surfaces as epidermis.
abaxial leaf surface	en	PO_0000049	leaf lamina abaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000049 is the epidermis covering the abaxial/lower surface of a leaf lamina; PO models surfaces as epidermis.
lower surface of the lamina	en	PO_0000049	leaf lamina abaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000049 is the epidermis covering the abaxial/lower surface of a leaf lamina; PO models surfaces as epidermis.
lower surface of the leaf blade	en	PO_0000049	leaf lamina abaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000049 is the epidermis covering the abaxial/lower surface of a leaf lamina; PO models surfaces as epidermis.
face inférieure du limbe	fr	PO_0000049	leaf lamina abaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000049 is the epidermis covering the abaxial/lower surface of a leaf lamina; PO models surfaces as epidermis.
face inférieure des feuilles	fr	PO_0000049	leaf lamina abaxial epidermis	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. PO:0000049 is the epidermis covering the abaxial/lower surface of a leaf lamina; PO models surfaces as epidermis.
pappus bristle	en	PO_0025394	pappus element	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. NARROW synonyms of PO pappus element.
pappus bristles	en	PO_0025394	pappus element	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. NARROW synonyms of PO pappus element.
pappus awn	en	PO_0025394	pappus element	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. NARROW synonyms of PO pappus element.
pappus awns	en	PO_0025394	pappus element	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. NARROW synonyms of PO pappus element.
pappus scale	en	PO_0025394	pappus element	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. NARROW synonyms of PO pappus element.
pappus scales	en	PO_0025394	pappus element	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. NARROW synonyms of PO pappus element.
scale leaf	en	PO_0006003	scale leaf	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. Exact PO label.
scale leaves	en	PO_0006003	scale leaf	exact_noun_phrase	reviewed_existing_po	Curator decision 2026-09-18: PO already has this bearer, so no FLOPO class is created. Exact PO label.
awn	en	PO_0025349	awn	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Poaceae glume/lemma/palea awns only; pappus awns -> PO_0025394.
awns	en	PO_0025349	awn	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Poaceae glume/lemma/palea awns only; pappus awns -> PO_0025394.
arête	fr	PO_0025349	awn	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Poaceae glume/lemma/palea awns only; pappus awns -> PO_0025394.
arêtes	fr	PO_0025349	awn	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Poaceae glume/lemma/palea awns only; pappus awns -> PO_0025394.
bristle	en	PO_0000282	trichome	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Stiff hairs -> trichome; pappus bristles -> PO_0025394; grass awn-like bristles -> PO_0025349.
bristles	en	PO_0000282	trichome	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Stiff hairs -> trichome; pappus bristles -> PO_0025394; grass awn-like bristles -> PO_0025349.
soie	fr	PO_0000282	trichome	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Stiff hairs -> trichome; pappus bristles -> PO_0025394; grass awn-like bristles -> PO_0025349.
soies	fr	PO_0000282	trichome	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Stiff hairs -> trichome; pappus bristles -> PO_0025394; grass awn-like bristles -> PO_0025349.
scale	en	PO_0000282	trichome	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Indumentum (lepidote) scales -> trichome; bud scales -> PO_0020054; scale leaves -> PO_0006003; involucral/floral scales -> bract PO_0009055; ovuliferous scales -> PO_0009027; pappus scales -> PO_0025394.
scales	en	PO_0000282	trichome	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Indumentum (lepidote) scales -> trichome; bud scales -> PO_0020054; scale leaves -> PO_0006003; involucral/floral scales -> bract PO_0009055; ovuliferous scales -> PO_0009027; pappus scales -> PO_0025394.
écaille	fr	PO_0000282	trichome	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Indumentum (lepidote) scales -> trichome; bud scales -> PO_0020054; scale leaves -> PO_0006003; involucral/floral scales -> bract PO_0009055; ovuliferous scales -> PO_0009027; pappus scales -> PO_0025394.
écailles	fr	PO_0000282	trichome	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Indumentum (lepidote) scales -> trichome; bud scales -> PO_0020054; scale leaves -> PO_0006003; involucral/floral scales -> bract PO_0009055; ovuliferous scales -> PO_0009027; pappus scales -> PO_0025394.
upper surface	en	PO_0000050	leaf lamina adaxial epidermis	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Only when the head noun is a leaf, blade or lamina.
face supérieure	fr	PO_0000050	leaf lamina adaxial epidermis	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Only when the head noun is a leaf, blade or lamina.
lower surface	en	PO_0000049	leaf lamina abaxial epidermis	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Only when the head noun is a leaf, blade or lamina.
face inférieure	fr	PO_0000049	leaf lamina abaxial epidermis	contextual	reviewed_contextual_po	Curator decision 2026-09-18: sense-split bearer; PO has the class but the bare word is ambiguous, so use only with the stated context (not consumed by the exact-alias recovery passes). Only when the head noun is a leaf, blade or lamina.
