rule_id	match_field	match_key	bearer_constraint	kind	po_id	pato_id	value_term	flopo_class	target_label	evidence	review_status
Q67	quality	with milky latex		entity_presence	FLOPO_0980431	PATO_0000467			plant latex present	FLOPO_0980431 plant latex (reviewed local bearer) + present; FLOPO_0900050 'latex present' has no EQ signature	agent_reviewed
Q68	quality	milky latex		entity_presence	FLOPO_0980431	PATO_0000467			plant latex present	FLOPO_0980431 plant latex + present	agent_reviewed
Q69	quality	small		pato		PATO_0000587			decreased size	PATO decreased size (transcriber already uses it for 'small' elsewhere)	agent_reviewed
Q70	quality	large		pato		PATO_0000586			increased size	PATO increased size (transcriber already uses it for 'large' elsewhere)	agent_reviewed
Q71	quality	narrow		pato		PATO_0000599			decreased width	PATO decreased width	agent_reviewed
Q72	quality	thick		pato		PATO_0000591			increased thickness	PATO increased thickness (synonyms thickened/stout)	agent_reviewed
Q73	quality	fragrant		pato		PATO_0001331			odorous	PATO odorous (fragrant = pleasantly odorous)	agent_reviewed
Q74	quality	compound	^(compound leaf|leaf)$	entity_presence	PO_0020043	PATO_0000467			compound leaf present	PO compound leaf + present	agent_reviewed
Q75	quality	winged	^(fruit)$	flopo_phenotype_class				FLOPO_0900021	fruit winged	FLOPO fruit winged (signature OTHER); PATO aliform is a shape, not wing-bearing	agent_reviewed
Q76	quality	dehiscent	fruit	flopo_phenotype_class				FLOPO_0900019	fruit dehiscent	FLOPO fruit dehiscent (signature OTHER)	agent_reviewed
Q77	quality	indehiscent	fruit	flopo_phenotype_class				FLOPO_0900020	fruit indehiscent	FLOPO fruit indehiscent (signature OTHER)	agent_reviewed
Q78	quality	subsessile		hold					no PATO subsessile term	no subsessile term in PATO lexicon/FLOPO	agent_reviewed
Q79	quality	axillary		hold					no PATO axillary term	no axillary position term in config/pato_lexicon.tsv (botanical_terminology unmapped)	agent_reviewed
Q80	quality	solitary		hold					no PATO solitary term	no solitary term in lexicon/FLOPO (FLOPO_0900007 'inflorescence type solitary' has no EQ signature)	agent_reviewed
Q81	quality	leaf-opposed		hold					no PATO term	no leaf-opposed term	agent_reviewed
Q82	quality	extra-axillary		hold					no PATO term	no extra-axillary term	agent_reviewed
Q83	quality	winged		hold					no PATO wing-bearing term	PATO aliform is a shape; FLOPO fruit winged only for fruit	agent_reviewed
Q84	quality	leafy		hold					no PATO term	no leafy term	agent_reviewed
Q85	quality	leafless		hold					negated leaf presence	'leafless' is not a validator negation cue; several source notes flag leafless vs leaves contradictions	agent_reviewed
Q86	quality	many-flowered		hold					count	counts are not representable as length measurements	agent_reviewed
Q87	quality	numerous		hold					count	counts are not representable	agent_reviewed
Q88	quality	paired		hold					count	counts are not representable	agent_reviewed
Q89	quality	fissured		hold					no exact PATO term	PATO furrowed/split are not exact for bark fissuring	agent_reviewed
Q90	quality	spreading		hold					no PATO term	no spreading term in lexicon	agent_reviewed
Q91	quality	determinate		hold					no PATO term	no determinate term	agent_reviewed
Q92	quality	stalked		hold					ambiguous	stalked = pedicellate/petiolulate/stipitate depending on organ	agent_reviewed
Q93	quality	berry-like		hold					analogy	'-like' comparison, not a fruit type assertion	agent_reviewed
Q94	quality	jointed		hold					no PATO term	no articulate/jointed term	agent_reviewed
Q95	quality	semi-succulent		hold					no PATO term	degree-modified succulence not representable	agent_reviewed
Q96	quality	sweet		hold					taste	taste qualities outside FLOPO morphology scope	agent_reviewed
Q97	quality	shrub or small tree		hold					disjunction	growth-form alternatives; both classes listed in whole-plant TSV	agent_reviewed
Q98	quality	shrub or tree		hold					disjunction	growth-form alternatives	agent_reviewed
Q99	quality	shrub to small tree		hold					continuum	growth-form continuum	agent_reviewed
Q100	quality	palm		hold					no FLOPO palm growth form	no palm habit class	agent_reviewed
Q101	quality	bell-shaped		hold					no PATO campanulate term	no campanulate/bell-shaped in lexicon	agent_reviewed
Q102	quality	unifoliolate		hold					no FLOPO unifoliolate term	not in FLOPO registry	agent_reviewed
Q103	quality	bipinnate		hold					no PATO/FLOPO bipinnate term	not in lexicon/registry	agent_reviewed
Q104	quality	tall tree		flopo_value		PATO_0000051	FLOPO_0987001		arborescent habit	FLOPO_0987001 arborescent habit (growth-form module row; PATO:0000051 morphology); whole-plant class now EQ|PO_0000003|FLOPO_0987001; was: FLOPO growth form; exact synonym 'tree' (size modifier retained in source span)	proposed_growth_form_2026-09-18
Q105	quality	large tree		flopo_value		PATO_0000051	FLOPO_0987001		arborescent habit	FLOPO_0987001 arborescent habit (growth-form module row; PATO:0000051 morphology); whole-plant class now EQ|PO_0000003|FLOPO_0987001; was: FLOPO growth form; exact synonym 'tree'	proposed_growth_form_2026-09-18
Q106	quality	tall shrub		flopo_value		PATO_0000051	FLOPO_0987002		frutescent habit	FLOPO_0987002 frutescent habit (growth-form module row; PATO:0000051 morphology); whole-plant class now EQ|PO_0000003|FLOPO_0987002; was: FLOPO growth form; exact synonym 'shrub'	proposed_growth_form_2026-09-18
Q107	quality	small shrub		flopo_value		PATO_0000051	FLOPO_0987002		frutescent habit	FLOPO_0987002 frutescent habit (growth-form module row; PATO:0000051 morphology); whole-plant class now EQ|PO_0000003|FLOPO_0987002; was: FLOPO growth form; exact synonym 'shrub'	proposed_growth_form_2026-09-18
Q108	quality	dwarf shrub		flopo_value		PATO_0000051	FLOPO_0987002		frutescent habit	FLOPO_0987002 frutescent habit (growth-form module row; PATO:0000051 morphology); whole-plant class now EQ|PO_0000003|FLOPO_0987002; was: FLOPO growth form; exact synonym 'shrub'	proposed_growth_form_2026-09-18
