ID	English	French	PrettyFrench	Type	Etymology	Definition
1796		hypocratériforme	hypocrateriforme	adj.		forme d'1 tube vraiment long et étroit terminé par une couronne de limbes étalés
1797		incapitulescence	incapitulescence	n.f.		inflo de capitules réunis en capitules
1798		induvie	induvie	n.f.		format° se développant après qu'ait eu lieu la fécondation mais qui n'appartient pas aux pièces femelles de la fleur (ex. Arille de l'if)
1799		inférovarié	inferovarie	adj.		d'un gynécée à ovaire infère
1800		involucral	involucral	adj.		qui fait partie d'un involucre
1801		isostémone	isostemone	adj.	gr. isos, égal, lat. stamen, fil	pour un androcée avec des étamines alternant avec les pièces du verticille interne du périanthe
1802		lacuneux	lacuneux	adj.		tissu riche en lacunes
1803		lagéniforme	lageniforme	adj.		fruit en forme de gourde
1804		laineux	laineux	adj.		densément couvert de longs poils crépus + ou - courbés
1805		laminal	laminal	adj.		relatif à la paroi
1806		latifolié	latifolie	adj.		qui a de larges feuilles
1807		lyriforme ou lyré	lyriforme ou lyre	adj.	lat. lyra, lyre	limbe au lobe supérieur élargi, arrondi et beaucoup + grand que les autres
1808		marcescent	marcescent	adj.	lat. marcescere, se flétrir	organe se desséchant sans être caduc
1809		mellifère	mellifere	adj.	lat. mel, miel	
1810		mérithalle	merithalle	n.m.	gr. meri, partie, thallos, rameau	entre-noeud
1811		mésophile	mesophile	adj.	gr. meso, moyen, phullon, feuille	pour les mésophytes
1812		monandre	monandre	adj.	gr. monas, unité, andros, mâle	androcée réduit à une seule étamine
1813		monocarpe	monocarpe	n.m.	gr. monos, un seul, karpos, fruit	partie d'un fruit correspondant à un carpelle d'un gynécée apocarpe
1814		monochasial	monochasial	adj.		qualifie une croissance type cyme bipare
1815		mucronulé	mucronule	adj.		terminé par un mucron très court
1816		mutique	mutique	adj.		qualifie une glumelle dépourvue d'arête
1817		napiforme	napiforme	adj.	lat. napus, navet, forma, forme	forme générale d'1 navet
1818		nodosités	nodosites	n.f.pl.	lat. nodosus, noueux, nœud	s/système racinaire
1819		noduleux	noduleux	adj.		muni de nodules
1820		nuciforme	nuciforme	adj.	lat. nux, noix	
1821		nucule	nucule	n.f.	lat. nucula, petite noix	fruit sec, indéhiscent, à 1 seule loge renfermant 1 seule graine, + paroi très dure
1822		nudicaule	nudicaule	adj.	lat. nudus, nu, caulis, tige	tige dépourvue de feuilles
1823		obcordé	obcorde	adj.		forme d'un cœur renversé
1824		ombellule	ombellule	n.f.		ds ombelle composée
1825		ombiliqué	ombilique	adj.		dépression au centre
1826		ombrophile	ombrophile	adj.	gr. ombros, pluie	qui aime la pluie
1827		paléa	palea	n.f.	lat. palea, paille	glumelle supérieure
1828		paléole	paleole	n.f.		glumelle supérieure
1829		palminerve	palminerve	adj.		à nervuration palmée
1830		paracarpe	paracarpe	adj.		d'un ovaire constitué par la soudure de plusieurs carpelles n'ayant qu'une seule loge, ovaire uniloculaire
1831		parallélinerve	parallelinerve	adj.		aux nervures parallèles entre elles
1832		parche	parche	n.m.		enveloppe parcheminée de grains de café
1833		patelliforme	patelliforme	adj.		en forme d'assiette, de plateau
1834		paucisperme	paucisperme	adj.		qualifie un fruit à peu de graines
1835		pénicillé	penicille	adj.	lat. penicillum, pinceau	ayant l'aspect d'une touffe de longs poils filiformes ressemblant à un pinceau
1836		pentadelphe	pentadelphe	adj.		d'un androcée dont les étamines sont réunies en 5 groupes
1837		pépin	pepin	n.m.		graine d'une baie ou d'un fruit pomacé
1838		péponide	peponide	n.m.		fruit des Cucurbitaceae
1839		personé, personné	persone, personne	adj.	lat. persona, masque de théatre	d'une corolle bilabiée en forme de masque
1840		phylloclade	phylloclade	n.m.	gr. phullon, feuille, klados, rameau	tige ou rameau chlorophyllien cylindrique ou aplati, faisant fonction de feuille
1841		pivotante	pivotante	adj.		'racine'
1842		pleiochasial	pleiochasial	adj.		qualifie une croissance de type cyme multipare
1843		pluriflore	pluriflore	adj.		
1844		polysperme	polysperme	adj.		pour fruit à plusieurs graines
1845		préfoliation	prefoliation	n.f.		disposition des feuilles dans le bourgeon
1846		prolifère	prolifere	adj.		dt l'axe poursuit (au dessus des pièces florales et après avoir traversé la fleur) sa croissance en tige feuillée
1847		proventifs, bourgeons	proventifs, bourgeons	adj.	lat. provenire, naître	 (chaque feuille entoure totalement celles qui lui sont internes)
1848		proximal	proximal	adj.		proche de la base ou du lieu d'insertion d'un organe, opposé à distal
1849		psammophile	psammophile	adj.	gr. psammos, sable, philos, ami	se dit d'une plante croissant principalement sur sols sablonneux
1850		psammophyte	psammophyte	n.f.	gr. psammos, sable, phuton, feuille	plante psammophile
1851		psammophytes	psammophytes	n.m.pl.	gr. psammos, sable, phuton, feuille	végétaux capables de vivre ds les sols sableux
1852		pseudodioïque	pseudodioique	adj.		organes mâles + femelles mais s/pousses diff du même individu
1853		pseudophylle	pseudophylle	n.f.		fausse-feuille chez les pins
1854		pubérulent	puberulent	adj.		couvert de poils mous très courts et épars
1855		pulpeux	pulpeux	adj.	lat. pulpa, pulpe	
1856		pulvérulent	pulverulent	adj.	lat. pulveris, poudre	couvert de poudre fine
1857		pyrophyte	pyrophyte	n.m.	gr. puros, feu, phuton, plante	plante qui survit souvent à l'incendie
1858		quadrangulaire	quadrangulaire	adj.		4 angles
1859		radicule	radicule	n.f.	lat. radicula	ébauche de racine présente dans l'embryon
1860		ramure	ramure	n.f.	lat. ramus	ensemble des ramifications du tronc d'1 arbre
1861		récliné	recline	adj.		d'une feuille pliée transversalement, la partie supérieure sur la partie inférieure
1862		remontant	remontant	adj.		fleurit une 2 ou 3ème fois
1863		replum	replum			dans un fruit, fausse cloison d'origine placentaire
1864		respiratoire, racine	respiratoire, racine	adj.		pneumatophore
1865		réticulation	reticulation	n.f.	lat. reticulum, petit filet	ensemble des nervilles formant un réseau dense
1866		rhytidomateux	rhytidomateux	adj.	gr. rhutidôma, ride, rugosité	d'une écorce dont la aprtie externe est constituée par un rhytidome
1867		ronciné	roncine	adj.		d'un limbe étroit, pennatidivisé, dont les lobes aigus se dirigent vers le bas
1868		rubigineux	rubigineux	adj.		couvert de rouille
1869		sacciforme	sacciforme	adj.		d'un éperon court et + ou - large, en forme de sac ou d'outre
1870		scutiforme	scutiforme	adj.	lat. scutum, bouclier, écusson	en forme d'écusson
1871		sétuleux	setuleux	adj.	lat. saeta, soie, poil	muni de longs poils raides + ou - couchés
1872		squameux	squameux	adj.	lat. squama, écaille	écaillé, en forme d'écaille
1873		strigueux	strigueux	adj.		couvert de poils raides, épais et apprimés
1874		strobile	strobile	n.m.	gr. strobilos, objet arrondi en spirale	cône
1875		strophiole	strophiole	n.f.	lat. strophiolum, ruban	pte excroissance enveloppant la graine, provenant du funicule ou de la chalaze
1876		subule	subule	n.f.	lat. subula, alène	
1877		subverticillé	subverticille			
1878		suffrutex	suffrutex	n.f.	lat. sub, sous, frutex, arbrisseau	plante ligneuse qui perd ses ramifications ultimes ou ses extrémités chaque année
1879		superovarié	superovarie	adj.		
1880		superovarié	superovarie	adj.		
1881		synandrie	synandrie	n.f.	gr. syn, avec, andros, mâle	soudure complète des étamines et anthères agglomérées au sommet d'un stipe
1882		synanthère	synanthere	adj.	gr. syn, avec, anthêros, fleuri	d'un gynécée coenocarpe à ovaire pluriloculaire
1883		tabulaire	tabulaire	adj.		d'une cime aplatie et horizontale
1884		tavelure	tavelure	n.f.	lat. tabella, planchette	pte dépression, plus ou moins circulaire, garnissant la surface de certains organes
1885		tête	tete			
1886		thalamiflore	thalamiflore	adj.	gr. thalamus, lit, flos, fleur	pour organisation florale des plantes qui possèdent un thalamus
1887		thalweg	thalweg	n.m.	all. Thal, vallée, weg, chemin	fond de vallée où les eaux s'écoulent
1888		tiliacée, écorce	tiliacee, ecorce	adj.		
1889		tomentelleux	tomentelleux	adj.	lat. tomentum, bourre, duvet	env. tomenteux mais poils très petits
1890		tomenteux	tomenteux	adj.	lat. tomentum, bourre, duvet	recouverts de longs poils blancs et mous
1891		tortueux	tortueux	adj.		sinueux, sans ordonnance
1892		triflores, en cymes	triflores, en cymes			
1893		tropophile	tropophile	adj.	gr. tropos, tour, philos, ami	subissant une alternance saisonnière
1894		tube criblé	tube crible			élément conducteur du phloème ou liber
1895		tubérisé	tuberise	adj.		
1896		tubulé	tubule	adj.	lat. tubulatus	
1897		tubuleux, longuement	tubuleux, longuement	adj.		
1898		tuniqué, bulbe	tunique, bulbe	adj.		 (tige épaisse et courte, gorgée de réserve)
1899		turgescente	turgescente	adj.	lat. turgescere, se gonfler	
1900		ubiquiste	ubiquiste	adj.	lat. ubique, partout	
1901		unguifère	unguifere	adj.		qui porte un ongle
1902		uniovulé	uniovule	adj.		ovaire ou loge ovarienne qui ne renferme qu'un seul ovule
1903		unipare hélicoïde, cyme	unipare helicoide, cyme		lat. unus, un, paria, paire	
1904		unipare, inflorescence	unipare, inflorescence	adj.	lat. unus, un, paria, paire	inflo en cyme dt 1 seule branche latérale se développe
1905		vacuome	vacuome	n.f.	lat. vacuus, vide	ensemble de vacuoles d'une cellule
1906		verrucosité	verrucosite	n.f.	lat. verrucosus	
1907		vésicante, écorce	vesicante, ecorce	adj.		
1908		vexillaire	vexillaire	adj.	lat. vexillum, étendard	préfloraison telle chez les Fabaceae
1909		vexillaire, préfloraison	vexillaire, prefloraison	adj.		sans symétrie
1910		villeux	villeux	adj.	lat. villus, poil	pour la surface d'un organe
1	abaxial	abaxial	abaxial	adj.	lat. axis, essieu	situé du côté éloigné de l'axe, / la partie inf. d'1 feuille
2	abortion	avortement	avortement	n.m.	lat. abortare	interruption du développement
3	above-surface	superficielle	superficielle	adj.		
4	abruptly	abruptement	abruptement	adv.		
5	abscising	abscission s'opérant, l'	abscission s'operant, l'	n.f.		
6	abscision	abcission	abcission	n.f.	lat. abcessus, éloignement	processus préparatoire à la chute des feuilles, fleurs ou fruit, … zone de cellules subérisées à la base de ..
7	abscission					zone où le processus à lieu
8	acaulescent	acaule	acaule	adj.	lat. cauda, tige	Dont la tige est réduite
9	accordian, folded like an 	accordéon, plié en	accordeon, plie en	n.m.		
10	accrescent	accrescent	accrescent	adj.	lat. accrescere, s'accroître	
11	achene	achène	achene	n.m.	gr. khainein, s'ouvrir	fruit sec indéhiscent, graine non soudée au péricarpe
12	acicular	aciculaire	aciculaire	adj.	lat. acicule, petite aiguille	rigide, aigu, piquant comme 1 aiguille
13	acicular	aciculé	acicule	adj.	lat. acicule, petite aiguille	en forme d'aiguillon mince, effilé et raide
14	actinomorphic	actinomorphe	actinomorphe	adj.	gr. aktinos, rayon & morphé, forme	ts les pétales disposés symétriquement par rapport à l'axe
15	acumen	acumen	acumen	n.m.	lat. acutus, aigu	pointe étroite et allongée au sommet d'1 organe
16	acuminate	acuminé	acumine	adj.	lat. acutus, aigu	terminé par un acumen
17	acuminate	crochu	crochu	adj.		
18	acute	aigu, aiguë	aigu, aigue	adj.	lat. acutus, aigu	
19	adaxial	adaxial	adaxial	adj.	lat. axis, essieu	situé du côté rapproché de l'axe / face sup. feuille
20	adhesive	adhésif	adhesif	adj.		
21	adnate	adné	adne	adj.	lat. adnatus, qui est né, a poussé sur	soudé dans la cas d'organes non identiques
22	adventitious	adventif, ive	adventif, ive	adj.	lat. adventicius, supplémentaire	ds 1 position peu classique (s/rhizomes ou axes aériens)
23	adventitious, buds	adventifs, bourgeons	adventifs, bourgeons	adj.		
24	aerial root	aérienne, racine	aerienne, racine	adj.		
25	aestivation	préfloraison	prefloraison	n.f.	lat. pré, avant, floris, fleur	disposition des pièces des verticilles floraux
26	age, by	vieillissement, par	vieillissement, par	n.m.		
27	aggregate fruit	agrégé, fruit	agrege, fruit	adj.		
28	akene	akène	akene	n.m.	gr. khainein, s'ouvrir	
29	allogamy	allogamie	allogamie	n.f.	gr. allos, autre & gamos, mariage	pollinisat° d'1 fleur par pollen d'1 autre ind.
30	almond	amande	amande	n.f.		embryon + albumen dans la graine
31	alternate	alterne	alterne	adj.	lat. alternus, alterne	placé alternativement
32	amphitropous	amphitrope	amphitrope	adj.		ovule disposé transversalement ou un peu incliné par rapport au funicule
33	amplexicaul	amplexicaule	amplexicaule	adj.	lat. amplexus, qui a embrassé & caulis, tige	feuille sessile où la base enrobe la tige
34	anastomosing	anastomosé	anastomose	adj.	gr. anastomôsis, embouchure	Se dit de nervures étroitement connectées et formant un réseau dense.
35	anatropous	anatrope	anatrope	adj.	gr. anatropê, renversement	Err:509
36	androdioecious	androdioïque	androdioique	adj.	gr. andros, homme, di, deux, oikos, habitat	
37	androecium	androcée	androcee	n.m.	gr. andros, homme, oikia, maison	pièces fertiles mâles groupées en verticille(s)
38	androgynophore	androgynophore	androgynophore	n.m.	gr. andros, homme, gunê, femme, phore, porter	a distinct stalk bearing both the female and male parts of a flower.
39	andromonoecious	andromonoïque	andromonoique	adj.	gr. andros, homme, monos, un seul, oïkos, habitat	both male only and hermaphrodite flowers on the same plant. 
40	androphore	androphore	androphore	n.m.	gr. andros, homme, phore, porter	a distinct stalk bearing the male parts of a flower.
41	anemophily	anémophilie	anemophilie	n.f.	gr. anemos vent, philos, ami	
42	angled	angulaire	angulaire	adj.	lat. angularis	
43	angular	anguleux	anguleux	adj.	lat. angulosus	
44	anisophyllous	anisophylle	anisophylle	adj.	gr. a, sans, isos, égal, phullon, feuille	1/2 feuilles ptes; 1/2 feuilles grandes
45	annual	annuel	annuel	adj.		
46	annular	annelé	annele	adj.	lat. annellus, anneau	
47	annular	annulaire	annulaire	adj.	lat. anularius	
48	annulus	anneau	anneau	n.m.	lat. annellus	
49	anther	anthère	anthere	n.f.	gr. anthêros, fleuri	partie terminale d'1 étamine (svt 2 loges)
50	antherode	anthérode	antherode	n.f.	gr. anthêros, fleuri & eidos, ressemblant	
51	anthesis	anthèse	anthese	n.f.	gr. anthêsis, floraison	'''floraison'' pdt phase spectaculaire'
52	anthropic	anthropique	anthropique	adj.		
53	antipodal cells	antipodes	antipodes	n.f.pl.	gr. antis, contre & podos, pied	3 cell. du sac embryon. Opposé oosphère
54	aperturate					1 ou more apertures in a pollen grain
55	aperture	pore	pore	n.m.	lat. porus, pore	areas where the exine is either thinner or absent
56	apertures	apertures	apertures	n.f.	lat. apertura	
57	apex	apex	apex	n.m.	lat. apex, sommet	
58	apex	sommet	sommet	n.m.		
59	apical	apical	apical	adj.	lat. apex, sommet	appartient à la partie sommitale
60	apical	sommitale	sommitale	adj.		
61	apiculate	apiculé	apicule	adj.	lat. apicis, en pointe	Dont l'apex se rétrécit brusquement en une pointe courte, assez molle et arquée.
62	apocarpous	apocarpe, apocarpique	apocarpe, apocarpique	adj.	gr. apo, loin de & karpos, fruit	Qualifie un fruit aux carpels libres et séparés l'un de l'autre.
63	apomixis	apomixie	apomixie	n.f.	gr. apo, loin de & mixis, union	repro à partir d'une seule cellule
64	appendage	appendice	appendice	n.m.	lat. appendix	
65	appendice	appendice	appendice	n.m.	lat. appendix	
66	appressed	apprimé	apprime	adj.		étroitement appliqué contre un autre sans y adhérer
67	arboretum	arboretum (pl. arboreta)	arboretum (pl. arboreta)	n.m.	lat. arbor, arbre	
68	arched	arqué	arque	adj.		
69	archegonium	archégone	archegone	n.m.	gr. arkhê principe & gonos, génération	compartiment femelle ..
70	arching	arqué	arque	adj.		
71	areolate	aréolé	areole	adj.		
72	areole	aréole	areole	n.f.	lat. areola, dimin. de area, aire	format° circulaires au niveau de certains élémts conducteurs
73	aril	arille	arille	n.m.	lat. arillus, grain de raisin	Appendice entourant partiellement ou complètement la graine, souvent charnu et parfois vivement coloré.
74	arillate	arillé	arille	adj.	lat. arillus, grain de raisin	
75	arillode	arillode	arillode	n.m.	lat. arillus, grain de raisin, gr. eidos, ressemblant	
76	aristate	aristé	ariste	adj.	lat. arista, arête	
77	armed	muni d'épines	muni d'epines	v. tr.		
78	arrangement	disposition	disposition	n.f.		
79	arrangement	étagement	etagement	n.m.		
80	arrowhead	sagitté	sagitte	adj.	lat. sagitta, flèche	
81	arrow-shaped	sagitté	sagitte	adj.	lat. sagitta, flèche	
82	article	article	article	n.m.	lat. articulus	
83	ascending, strongly	ascendante, fortement	ascendante, fortement	adj.		
84	asepalous	sépales absents	sepales absents	n.m.		
85	assymmetrical	asymétrique	asymetrique	adj.		
86	attachment, point of	insertion, point d'	insertion, point d'	n.f.		
87	attenuate	atténué	attenue	adj.		
88	auricle	auricule	auricule	n.f.	lat. auricula	ear-like lobe
89	auriculate	auriculé	auricule	adj.	lat. auricula	
90	awl-shaped	en forme d'alène	en forme d'alene	adj.		
91	awn					a stiff bristle-like projection.. as glumes & lemmas of grasses
92	awned apex	aristé, apex	ariste, apex	adj.	lat. arista, arête	
93	axial	axial	axial	adj.	lat. axis, essieu	inséré sur un axe
94	axil	aisselle	aisselle	n.f.	lat. axilla	
95	axil	cicatrice de la feuille axillante	cicatrice de la feuille axillante			upper angle formed by the jonction of a leaf with the stem
96	axile	axile	axile	adj.	lat. axis, essieu	placentation
97	axillary	axillaire	axillaire	adj.	lat. axilla, aisselle	à l'aisselle d'un organe
98	axis	axe	axe	n.m.	lat. axis, essieu	tronc+racine
99	baccate	bacciforme	bacciforme	adj.	lat. bacca, baie & forma, forme	en forme de baie
100	ball, in a 	boule, en	boule, en	n.f.		
101	balsam	baume	baume	n.m.	lat. balsamum	
102	barbed	barbu	barbu	adj.	lat. barbatus	
103	barely	à peine	a peine	adv.		
104	barely	discrètement	discretement	adj.		
105	bark	écorce	ecorce	n.f.		
106	bark, dead	rhytidome	rhytidome	n.m.	gr. rhutidôma, ride, rugosité	
107	bark, outer	rhytidome	rhytidome	n.m.	gr. rhutidôma, ride, rugosité	
108	basal	basal	basal	adj.		
109	basifixed	basifixe	basifixe	adj.	gr. basis, base, lat. fixus	attaché par sa base
110	basiflorous	basiflore	basiflore	adj.	gr. basis, base & lat. Flora, déesse des fleurs	fleurs à la base de la tige ou du tronc, au contact du sol
111	basiflory	basiflorie	basiflorie	n.f.	gr. basis, base & lat. Flora, déesse des fleurs	fleurs au niveau du sol
112	basilar	basilaire	basilaire	adj.		
113	bast	liber	liber	n.m.	lat. liber, écorce d'arbre	
114	bay	bais	bais	adv.		
115	beaked	rostré	rostre	adj.	lat. rostellum, petit bec	prolongé en forme de bec
116	beaked	unciné	uncine	adj.	lat. uncus, crochet	qui porte un crochet
117	bearing	portant	portant	v. tr.		
118	bee's honeycomb	nid d'abeille	nid d'abeille	n.m.		
119	bell-like	campanulé	campanule	adj.	it campanula, clochette	
120	bending downwards	retombant	retombant	v. tr.		
121	bent?, angled?	coudé	coude	adj.		
122	berry, berries	baie, baies	baie, baies	n.f.	lat. bacca, baie	fruit charnu à pépins
123	bi-, di-	bi-, di-	bi-, di-	préfixe	lat. bis, deux fois	
124	biennial	bisannuel	bisannuel	adj. 		cycle s/2 ans
125	bifid	bifide	bifide	adj.	lat. bifidus, fendu en deux	fendu en 2 parties formant un angle aigu
126	bifoliolate	bifoliolé	bifoliole	adj.	lat. bis, deux fois, foliolum, petite feuille	fendu en 2 parties formant un angle aigu
127	bifurcated	bifurqué	bifurque	adj.	lat. bifurcus, fourchu	fendu en 2 branches à la façon d'une fourche
128	bilabiate	bilabié	bilabie	adj.	lat. labium, lèvre	calice ou corolle dt pièces soudées en 2 lots constituant chacun 1 lèvre
129	bilobed	bilobé	bilobe	adj.		partagé en 2 lobes
130	bilocular	biloculaire	biloculaire	adj.	lat. bis, deux fois, lat. loculus, loge	ovaire partagé en 2 par une cloison
131	biparous cyme	bipare, cyme	bipare, cyme	adj.		ramification symétriquement  des 2 côtés de l'axe
132	bipinnate	bipenné	bipenne	adj.	lat. bis, deux fois, lat. penna, plume	ramification deux fois pennée
133	bipinnatisect	bipennatiséqué	bipennatiseque	adj.	lat. bis, deux fois, penna, plume, secare, couper	
134	biramous hairs	birameux, poils	birameux, poils	adj.	lat. ramus, rameau	à 2 branches
135	biseriate	bisérié	biserie	adj.	lat. bis, deux, series, série	in two cycles, rows, series, or whorls.
136	bisexual	bisexué	bisexue	adj.		
137	bivalved dehiscence	bivalve, déhiscence	bivalve, dehiscence	adj.		
138	bladder	vésicule	vesicule	n.f.	lat. vesicula, vesica, vessie	
139	bladder-like	vésiculaire	vesiculaire	adj.	lat. vesicula, vesica, vessie	Se dit d'un fruit à paroi fine et rempli d'air ou renflé.
