Category,Class,Subclass,Term,Description,
Venation,,,Parallelodromous,With two or more primary veins originating beside one another at the blade base and running more or less parallel to the apex where they converge.,
Venation,,,Reticulodromous,"With a single primary vein, the secondary veins not terminating at the margin and losing their identities near the margin by repeated branching, yielding a dense reticulum.",
Venation,,,Semicraspedodromous,"With a single primary vein, the secondary veins branching just within the margin, one branch from each terminating at the margin and the other forming a marginal loop and joining the superadjacent secondary vein.",
Venation,,,ate,Covered with minute impressions or depressions.,
Venation,,,Pustulate,With scattered blisterlike swellings.,
Venation,,,Reticulate,Netted.,
Venation,,,Ribbed,With longitudinal nerves.,
Venation,,,Ringed,With old bud scale scar rings.,
Venation,,,Rugose,Covered with coarse reticulate lines.,
Venation,,,Ruminate,"Coarsely wrinkled, appearing as chewed.",
Venation,,,Scarred,"With old leaf base, stipular and/or branch scar regions.",
Venation,,,Smooth; Plane,Without configuration.,
Venation,,,Striate,With longitudinal lines.,
Venation,,,Sulcate,With longitudinal grooves.,
Venation,,,Tortuous,Having the surface variously twisted.,
Venation,,2. Special,,,
Venation,,,,(Traditional classification),
Venation,,,Dichotomous,With veins branching or forking in pairs equally.,
Venation,,,Netted; Reticulate,With veins forming a network.,
Venation,,,Pinnately Netted,With secondary veins arising from midrib or midvein,
Venation,,,Palmately; Digitately Netted,With three or more primary veins arising from a common point.,
Venation,,,Parallel,"With veins extending from base to apex, essentially parallel.",
Venation,,,Penni-parallel,"With veins extending from midrib to margins, essentially parallel.",
Surface,,,,"(Classification based on features derived from epidermal outgrowths or excrescences, exclusive of trichomes)",
Surface,,,Asperous,Having a rough surface.,
Surface,,,Bristly,Beset with bristles.,
Surface,,,Echinate,Covered with spines.,
Surface,,,Farinaceous,Mealy.,
Surface,,,Glabrate; Glabrescent,Becoming glabrous.,
Surface,,,Glabrous,Smooth; devoid of trichomes.,
Surface,,,Glandular,"Covered with minute, blackish to translucent glands.",
Surface,,,Glaucescent,Sparingly or slightly glaucous.,
Surface,,,Glaucous,"Covered with a bloom or smooth, waxy coating.",
Surface,,,Glutinous,"Having a shiny, sticky surface.",
Surface,,,Granular,"Finely mealy, covered with small granules.",
Surface,,,Greasy; Unctuous,"Slick, oily, slippery to touch.",
Surface,,,Mucilaginous,Gummy or gelatinous.,
Surface,,,Muricate,"Covered with short, hard protuberances.",
Surface,,,Muriculate,Minutely muricate.,
Surface,,,Opaque,With a dull surface.,
Surface,,,Prickly,With prickles.,
Surface,,,Pruinose; Frosted; Sebiferous,With a heavy wax coat.,
Surface,,,Pubescent,Covered with dense or scattered trichomes.,
Surface,,,Pulverulent,"Covered with fine, powdery wax granules.",
Surface,,,Ramentaceous,"Having many thin scales, as on the epidermis of some ferns.",
Surface,,,Resinous,"Having a yellowish, sticky, exudate.",
Surface,,,Roridulate; Dewy,"Covered with waxy platelets, appearing dewy.",
Surface,,,Scaberulent,Approaching scabrous.,
Surface,,,Scabridulous,Minutely scabrous.,
Surface,,,Scabrous,Having a harsh surface.,
Surface,,,Shining; Nitid; Laevigate,"Lustrous, polished.",
Surface,,,Spiculate,With crystals in or on the surface.,
Surface,,,Squamose,Having coarse scales.,
Surface,,,Subglabrate,Almost glabrous.,
Surface,,,Tuberculate; Verrucose,With a warty surface.,
Surface,,,Viscid,Sticky or glutinous.,
Vestiture or Indument,,,,"(Classification based on trichome cover types, or type of hairy cover.)",
Vestiture or Indument,,,Aculeate,Prickly.,
Vestiture or Indument,,,Arachnoid,Cobwebby.,
Vestiture or Indument,,,Barbed,"With short, rigid reflexed bristles or processes.",
Vestiture or Indument,,,Barbellate,Minutely barbed.,
Vestiture or Indument,,,Bearded; Barbate,"With long trichomes usually in a tuft, line or zone.",
Vestiture or Indument,,,Bristly,"Covered with stiff, strong trichomes.",
Vestiture or Indument,,,Canescent; Incanous,"Covered with dense, fine grayish-white trichomes.",
Vestiture or Indument,,,Ciliate,With conspicuous marginal trichomes.,
Vestiture or Indument,,,Ciliolate,With tiny or small marginal trichomes.,
Vestiture or Indument,,,Comose,"With a tuft of trichomes, usually apical.",
Vestiture or Indument,,,Downy,"Covered with short, weak, soft trichomes.",
Vestiture or Indument,,,Floccose,"Covered with dense, appressed trichomes in patches or tufts.",
Vestiture or Indument,,,Glabrate,Without trichomes.,
Vestiture or Indument,,,Glandular,Covered with secretory or excretory trichomes.,
Vestiture or Indument,,,Glochidiate,"With barbed trichomes, glochids, usually in tufts.",
Vestiture or Indument,,,Hirsute,"Covered with long, rather stiff trichomes.",
Vestiture or Indument,,,Hirsutullous; Hirtellous,Minutely hirsute.,
Vestiture or Indument,,,Hispid,"Covered with very long, stiff trichomes.",
Vestiture or Indument,,,Hispidulous,"Approaching hispid, minutely hispid.",
Vestiture or Indument,,,Inermous,Unarmed. Without prickles or spines.,
Vestiture or Indument,,,Lanate,"Covered with long, intertwined trichomes, cottony.",
Vestiture or Indument,,,Lanuginose,"Cottony, similar to lanate but trichomes shorter.",
Vestiture or Indument,,,Lepidote; Squamulose,Covered with minute scales.,
Vestiture or Indument,,,Paleaceous,"With small membranous scales, chaffy.",
Vestiture or Indument,,,Pannose; Felted,"With matted, feltlike layer of trichomes.",
Vestiture or Indument,,,Papillose,Covered with minute tubercles.,
Vestiture or Indument,,,Pilose,"With soft, shaggy trichomes.",
Vestiture or Indument,,,Puberulent,Minutely pubescent.,
Vestiture or Indument,,,Pubescent,"Usually with straight, slender trichomes.",
Vestiture or Indument,,,Scurfy; Lentiginous,With exfoliating scaly incrustations.,
Vestiture or Indument,,,Sericeous,"With long, silky trichomes, usually appressed.",
Vestiture or Indument,,,Setose; Setaceous,Having setae or bristlelike trichomes.,
Vestiture or Indument,,,Strigillose,Diminutive of strigose.,
Vestiture or Indument,,,Strigose,"Covered with sharp, coarse, bent trichomes usually with a bulbous base.",
Vestiture or Indument,,,Tomentose,"Covered with dense, interwoven trichomes.",
Vestiture or Indument,,,Urent; Stinging,"With erect, usually long trichomes that produce irritation when touched.",
Vestiture or Indument,,,Velutinous,"Covered with dense, straight, long and soft trichomes; pile-like.",
Vestiture or Indument,,,Villosulous,Minutely villous.,
Vestiture or Indument,,,Villous,"Covered with long, soft, crooked trichomes.",
Vestiture or Indument,,,,,
Texture,,,,"(Classification based on physical condition or consistency of leaves, scales, petals, fruits and other parts)",
Texture,,,Baccate,Juicy and very succulent.,
Texture,,,Carnose; Sarcous,Fleshy.,
Texture,,,Cartilaginous,Hard and tough but flexible.,
Texture,,,Ceraceous,Waxy.,
Texture,,,Chartaceous,"Papery, opaque and thin.",
Texture,,,Coriaceous,Thick and leathery.,
Texture,,,Corneous,Horny.,
Texture,,,Crustaceous,"Hard, thin, and brittle.",
Texture,,,Diaphanous,Translucent.,
Texture,,,Fibrous,"Having loose, woody fibers.",
Texture,,,Flaccid,Lax and weak.,
Texture,,,Gelatinous,Jellylike; soft and quivery.,
Texture,,,Herbaceous,Soft and succulent.,
Texture,,,Hyaline,Thin and translucent or transparent.,
Texture,,,Incrassate,Thickened.,
Texture,,,Indurate,Hardened.,
Texture,,,Ligneous,Woody.,
Texture,,,Membranous,Thin and semi-translucent; membrane-like.,
Texture,,,Osseous,Bony.,
Texture,,,Pannose,With a felty texture.,
Texture,,,Pellucid,"Clear, transparent.",
Texture,,,Scarious,"Thin and dry, appearing shriveled.",
Texture,,,Sclerous,Hard.,
Texture,,,Spongy,Cellular; sponge-like.,
Texture,,,Suberous,Corky.,
Texture,,,Suffrutescent,"Woody basally, herbaceous apically.",
Texture,,,Woody,Hard and lignified,
Flower Sex,,,,(Classification based on sexual condition of the individual flower),
Flower Sex,,,Imperfect; Unisexual,With stamens or carpels absent in the flower.,
Flower Sex,,,Neuter; Agamous,Without stamens and carpels in flower; or sex organs abortive.,
Flower Sex,,,Perfect; Bisexual,With both stamens and carpels or pistils in the flower.,
Flower Sex,,,Pistillate; Carpellate; Female,With pistils or carpels only in the flower.,
Flower Sex,,,Staminate; Male,With stamens only in the flower.,
Inflorescence Sex,,,,"(Classification based on arrangement of flowers by sexual condition within an inflorescence, or total diversity of flower sexual conditions within an inflorescence)",
Inflorescence Sex,,,Androgynecandrous,"Inflorescence with staminate flowers above and below pistillate, as in the spikes of some species of Carex.",
Inflorescence Sex,,,Androgynous,Inflorescence with staminate flowers inside or above and pistillate outside or below. (androgynecephalous),
Inflorescence Sex,,,Agamandrous,Inflorescence with neuter flowers inside or above and staminate outside or below. (agamandrocephalous),
Inflorescence Sex,,,Agamogynous,Inflorescence with neuter flowers inside or above and pistillate outside or below. (agamogynecephalous),
Inflorescence Sex,,,Agamohermaphroditic,Inflorescence with neuter flowers inside or above and hermaphroditic outside or below. (agamohermaphrodicephalous),
Inflorescence Sex,,,Andragamous,Inflorescence with staminate flowers inside or above and neuter flowers outside or below. (andragamocephalous),
Inflorescence Sex,,,Androhermaphroditic,Inflorescence with staminate flowers inside or above and hermaphroditic outside or below. (androhermaphrodicephalous),
Inflorescence Sex,,,Gynagamous,Inflorescence with pistillate flowers inside or above and neuter flowers outside or below. (gynagamocephalous),
Inflorescence Sex,,,Gynecandrous,"Inflorescence with pistillate flowers inside or above and staminate outside or below, as in spikes of some species of",
Inflorescence Sex,,,Gynehermaphroditic,Inflorescence with pistillate flowers inside or above and hermaphroditic outside or below. (gynehermaphrodicephalous),
Inflorescence Sex,,,Hermaphrodagamous,Inflorescence with hermaphroditic flowers inside or above and neuter outside or below. (hermaphrodagamocephalous),
Inflorescence Sex,,,Hermaphrodandrous,Inflorescence with hermaphroditic flowers inside or above and staminate outside or below. (hermaphrodandrocephalous),
Inflorescence Sex,,,Mermaphrodigynous,Inflorescence with hermaphroditic flowers inside or above and pistillate outside or below. (hermaphrodigynecephalous),
Plant Sex,,,,(Classification based on total diversity of flower sexual conditions on a single plant within the species or population),
Plant Sex,,,Androdioecious,Some plants with staminate flowers and some with perfect flowers.,
Plant Sex,,,Andromonoecious,Plant with staminate and perfect flowers.,
Plant Sex,,,Diclinous,Plant with imperfect flowers; stamens and carpels in separate flowers.,
Plant Sex,,,Dioecious,"Plant with all flowers imperfect, but staminate and pistillate on separate plants.",
Plant Sex,,,Female; Carpellate; Pistillate,Plant with pistillate flowers only.,
Plant Sex,,,Gynodioecious,Some plants with perfect flowers and some with pistillate.,
Plant Sex,,,Gynomonoecious,Plant with pistillate and perfect flowers.,
Plant Sex,,,Hermaphroditic; Monoclinous,Plant with all flowers perfect.,
Plant Sex,,,Male; Staminate,Plant with staminate flowers only.,
Plant Sex,,,Monoecious,"Plant with all flowers imperfect, but staminate and pistillate flowers on same plant.",
Plant Sex,,,Polygamous,Plant with perfect and imperfect flowers.,
Plant Sex,,,Polygamo-dioecious,"Plants dioecious, but with some perfect flowers on staminate or pistillate plants or both.",
Plant Sex,,,Polygamo-monoecious,"Plant monoecious, but with some perfect flowers.",
Plant Sex,,,Trioecious,"Plants staminate, pistillate or perfect.",
General Sexual Terms,,,,,
General Sexual Terms,,,Agamous; Neuter,Without sex; sexual organs abortive.,
General Sexual Terms,,,Heterocephalous; Heterocymous; Heterospicous,"Heads, cymes, spikes with flowers of different sexual conditions.",
General Sexual Terms,,,Heterosexual,Inflorescences or flowers within the plant with different sexual conditions.,
General Sexual Terms,,,Homocephalous; Homocymous; Homospicous,"Heads, cymes, spikes with flowers sexually uniform.",
General Sexual Terms,,,Homosexual,Inflorescences or flowers sexually uniform.,
Periodicity,,,,(Recurrence of growth phenomena at regular time intervals; or seasonality of occurrence of plant growth phenomena),
Periodicity,,,Aestival,Appearing in summer.,
Periodicity,,,Aianthous; Semperflorous,With flowers appearing throughout the year.,
Periodicity,,,Annotinal; Yearly,Appearing yearly.,
Periodicity,,,Autumnal,Appearing in autumn.,
Periodicity,,,Biferous,Appearing twice yearly.,
Periodicity,,,Biflorous,Flowering in autumn as well as in spring.,
Periodicity,,,Bimestrial,Occurring every two months.,
Periodicity,,,Diurnal,Opening during the day.,
Periodicity,,,Equinoctial,Having flowers which expand and close regularly at particular hours of the day.,
Periodicity,,,Hibernal; Hiemal,Appearing in the winter.,
Periodicity,,,Matutinal,With flowers opening in the morning.,
Periodicity,,,Nocturnal,Opening during night.,
Periodicity,,,Seasonally,"Occurring during a seasonal cycle, or each season.",
Periodicity,,,Serotinal,Opening late; appearing in late summer.,
Periodicity,,,Vernal,Appearing in spring.,
Periodicity,,,Vespertine,With flowers opening in the evening or night; appearing or expanding in the evening.,
Periodicity,,,,,
Maturation,,,,(Relative development time of different plant organs or parts),
Maturation,,,Anthesis,Time of flowering; opening of flower with parts available for pollination.,
Maturation,,,Blastocarpous,"Germination of seeds while within the pericarp, as in",
Maturation,,,Coetaneous,Flowering as the leaves expand; synantherous.,
Maturation,,,Dichogamous,With maturation of stamens or anther and carpels or stigma at different times.,
Maturation,,,Homogamous,With maturation of stamens or anther and carpels or stigma at same time.,
Maturation,,,Hysteranthous,With leaves appearing after flowers.,
Maturation,,,Precocious,Developing unusually early.,
Maturation,,,Proanthesis,"Flowering before normal period, as spring flowers in the fall.",
Maturation,,,Protandrous,With stamens or anthers developing before carpels or stigma.,
Maturation,,,Protantherous,With leaves appearing before flowers.,
Maturation,,,Protogynous,With carpels or stigma maturing before stamens or anthers.,
Maturation,,,Synantherous,With leaves and flowers appearing at same time.,
Maturation,,,,,
Duration,,,,(Length of time that a plant or any of its component parts exists),
Duration,,,Annual,Living one year or less.,
Duration,,,Biduous,Lasting two days.,
Duration,,,Biennial,"Living two years, usually flowering second year.",
Duration,,,Bimestrial,Lasting two months.,
Duration,,,Caducous,"Dropping off very early, usually applied to floral parts.",
Duration,,,Caulocarpic,"Plants having the stem living for many years, bearing flowers and fruits.",
Duration,,,Cladoptosic,"Shedding of branches, stems and leaves simultaneously, as in",
Duration,,,Deciduous,Persistent for one growing season.,
Duration,,,Deliquescent,Softening and wasting away.,
Duration,,,Ephemeral,"Germinating, growing, flowering and fruiting in a short period, as most desert herbs.",
Duration,,,Evanescent,"Passing away, disappearing early.",
Duration,,,Evergreen,Persistent two or more growing seasons.,
Duration,,,Fugacious,"Ephemeral, usually applied to plant parts.",
Duration,,,Marcescent,Usually ephemeral with persistent remains; withering persistent.,
Duration,,,Monocarpic; Hapaxanthic,"Perennial or annual, flowering and fruiting once, then dying; fruiting once.",
Duration,,,Perennial; Polycarpic,Living more than two years; fruiting more than once.,
Duration,,,Persistent,Remaining attached; applied to individual parts.,
Duration,,,Pliestesial; Multiperennial,"Monocarpic but living several to many years before flowering, as in",
Duration,,,Rhizocarpic,Plants having the roots living for many years with the stems dying annually.,
Duration,,,Seasonally Deciduous,Falling after one growing season.,
Duration,,,Summer Annual,"Germinating in spring or early summer and flowering and fruiting in late summer or early fall, then dying.",
Duration,,,Winter Annual,"Living less than one year but through the winter; germination usually in late fall, and usually flowering and fruiting in early spring.",
General Development,,,,"(Direction of maturation within the plant of its organs or its parts; e.g., from the base upward or from the inside outward)",
General Development,,,Acropetal,"Developing upward, toward apex.",
General Development,,,Basipetal,"Developing downward, toward base.",
General Development,,,Centripetal,"Developing from the outside inward, or from bottom upward.",
General Development,,,Centrifugal,"Developing from the inside outward, or from top downward.",
General Development,,,Determinate,"Central flower develops first, arresting development of primary axis.",
General Development,,,Indeterminate,Lateral flowers develop first with primary axis continuing to elongate or develop.,
Symmetry,,,,,
Symmetry,,,Actinomorphic; Radial,With floral parts radiate from center like spokes on wheel.,
Symmetry,,,Asymmetric,Without regularity in any dimension.,
Symmetry,,,Dorsiventral,"Planate and having distinct dorsal and ventral surfaces, the two usually different.",
Symmetry,,,Equilateral,With halves or sides equal in shape and size.,
Symmetry,,,Inequilateral,With halves or sides unequal in shape and size.,
Symmetry,,,Irregular,With floral parts within a whorl dissimilar in shape and/ or size.,
Symmetry,,,Regular,With floral parts within a whorl similar in shape and size.,
Symmetry,,,Spherical,With multi-dimensional radial symmetry.,
Symmetry,,,Zygomorphic; Bilateral,With floral parts in two symmetrical halves.,
Branching Patterns,,,,,
Branching Patterns,,,Dichotomous,Branching into two equal parts.,
Branching Patterns,,,Flabellate,Fan-shaped branching.,
Branching Patterns,,,Monopodial,Branching with a main axis and reduced or missing laterals; excurrent.,
Branching Patterns,,,Sympodial,"Branching without a main axis but with many, more or less, equal laterals.",
Location of glands on organs or parts,,,,,
Location of glands on organs or parts,,Floral Nectaries,,,
Location of glands on organs or parts,,Floral Nectaries,Petaliferous,Most frequently at the base of petals.,
Location of glands on organs or parts,,Floral Nectaries,Sepaliferous,Most frequently at the base of sepals.,
Location of glands on organs or parts,,Floral Nectaries,Septal,At the junction of the septa in the ovary.,
Location of glands on organs or parts,,Floral Nectaries,Staminal Disc,Entire disc frequently nectariferous.,
Location of glands on organs or parts,,Floral Nectaries,Staminal,Most frequently at base of filament.,
Location of glands on organs or parts,,Floral Nectaries,Staminodial,Frequently entire structure is nectariferous.,
Location of glands on organs or parts,,Extrafloral Nectaries,,,
Location of glands on organs or parts,,Extrafloral Nectaries,Bracteal and Laminar,May be localized or found over entire structure.,
Location of glands on organs or parts,,Extrafloral Nectaries,Nodal,At the nodes.,
Location of glands on organs or parts,,Ethereal Oil Glands.,,,
Location of glands on organs or parts,,Ethereal Oil Glands.,Cauline,"May be all over (general) or along the ribs (costal), or in the grooves (canaliculate).",
Location of glands on organs or parts,,Ethereal Oil Glands.,Laminar,May be all over (general) or near apex (acrolaminar) or near base (basilaminar) or marginal.,
Location of glands on organs or parts,,Ethereal Oil Glands.,Petiolar,May be all over (general) or near apex (acropetiolar) or near base (basipetiolar).,
Distribution of Colors (Variegation),,,,(Patterns of color variegation on an organ or parts. Adapted from,
Distribution of Colors (Variegation),,,Banded,Transverse stripes of one color crossing another.,
Distribution of Colors (Variegation),,,Blotched,"The color disposed in broad, irregular blotches.",
Distribution of Colors (Variegation),,,Bordered,One color is surrounded by an edging of another.,
Distribution of Colors (Variegation),,,Clouded,Colors are unequally blended together.,
Distribution of Colors (Variegation),,,Discoidal,A single large spot of color in the center of another.,
Distribution of Colors (Variegation),,,Dotted,The color disposed in very small round spots.,
Distribution of Colors (Variegation),,,Edged,One color is surrounded by a very narrow rim of another.,
Distribution of Colors (Variegation),,,Marbled,A surface traversed by irregular veins of color; as block of marble often is.,
Distribution of Colors (Variegation),,,Ocellated,A broad spot of some color has another spot of a different color within it.,
Distribution of Colors (Variegation),,,Painted,Colors disposed in streaks of unequal intensity.,
Distribution of Colors (Variegation),,,Spotted,The color disposed in small spots.,
Distribution of Colors (Variegation),,,Striped,Longitudinal stripes of one color crossing another.,
Distribution of Colors (Variegation),,,Tessellated,"Color arranged in small squares, so as to have some resemblance to a checkered pavement.",
Distribution of Colors (Variegation),,,Variegated,"The color disposed in various irregular, sinuous, spaces.",
Distribution of Colors (Variegation),,,Zoned,"The same as ocellated, but the concentric bands more numerous.",
General terms,,,Compound,"Composed of two or more anatomically or morphologically equivalent units, whether subdivided into them or an aggregate of them.",
General terms,,,Dimorphic,Having two different sizes and/or shapes within the same species.,
General terms,,,Evident,Clearly visible macroscopically.,
General terms,,,Heteranthous,"Having different states in two different sets of flowers, only one state present in each set.",
General terms,,,Heterophytous,"Having different states in two different sets of plants, only one state present in each set.",
General terms,,,Homanthous,"Having more than one state within each individual flower, all flowers the same.",
General terms,,,Homophytous,"Having more than one state within each individual plant, all plants the same.",
General terms,,,Monomorphic,All of the same shape and size.,
General terms,,,Not Applicable,Not relevant to the taxon at hand; passive null value.,
General terms,,,Obscure,"Not clearly visible macroscopically, usually owing to incomplete differentiation.",
General terms,,,Petaloid,"Petal-like in shape, texture and/or color.",
General terms,,,Polyanthous,"Having different states in several to many (more than three) different sets of flowers, only one state present in each set.",
General terms,,,Polyheterophytous,"Having different states in several to many (more than three) different individuals or sets of plants, only one state present in each set.",
General terms,,,Polymorphic,Having several to many (more than three) different shapes and/or sizes within the same species.,
General terms,,,Same,Same as in description of next higher taxon.,
General terms,,,Sepaloid,"Sepal-like in shape, texture and/or color.",
General terms,,,Simple,Not composed of more than one anatomically or morphologically equivalent unit.,
General terms,,,Triheteranthous,"Having different states in three different sets of flowers, only one state present in each set.",
General terms,,,Triheterophytous,"Having different states in three different sets of plants, only one state present in each set.",
General terms,,,Trimorphic,Elaving three different shapes and/or sizes within the same species.,
General terms,,,Unknown,Relevant to taxon at hand but status not known; information unavailable.,
Location or Environmental Position,,General,,,
Location or Environmental Position,,General,Aerial; Epigeous,Above the ground or water; in the air.,
Location or Environmental Position,,General,Emergent,With part(s) of plant aerial and part(s) submersed; rising out of the water above the surface.,
Location or Environmental Position,,General,Epipetric,Upon rock.,
Location or Environmental Position,,General,Epiphytic,Upon another plant.,
Location or Environmental Position,,General,Floating,Upon the surface of the water.,
Location or Environmental Position,,General,Submersed,Beneath the surface of the water.,
Location or Environmental Position,,General,Subterranean; Hypogeous,Below the surface of the ground.,
Location or Environmental Position,,General,Surficial; Epigeous,Upon or spread over the surface of the ground.,
Location or Environmental Position,,Special,,(Selected location terms. See habitat prefixes in Chapter 15 and word stems for plant organs and parts in Chapter 4 for meanings of other location terms.),
Location or Environmental Position,,Special,Aerocaulous,With aerial stems.,
Location or Environmental Position,,Special,Aerophyllous,With aerial leaves.,
Location or Environmental Position,,Special,Amphicarpous,"With fruits in two environments; e.g., aerial and subterranean.",
Location or Environmental Position,,Special,Emersifolious,With emergent leaves.,
Location or Environmental Position,,Special,Epirhizous,With roots upon another plant.,
Location or Environmental Position,,Special,Flotophyllous,With floating leaves.,
Location or Environmental Position,,Special,Geoflorous,With subterranean flowers.,
Location or Environmental Position,,Special,Petrorhizous,With roots on rock.,
Location or Environmental Position,,Special,Submersicaulous,With submersed stems.,
Location or Environmental Position,,Special,Surcarpous,With fruits on surface of ground.,
Location or Environmental Position,,Special,,,
Position,,"(Classification based on location of parts or organs with respect to other dissimilar parts, or organs)",,,
Position,,General,,,
Position,,General,Apical; Terminal,"At the top, tip, or end of a structure.",
Position,,General,Basal; Radical,At the bottom or base of a structure.,
Position,,General,Continuous,"Basal, lateral, and terminal.",
Position,,General,Discontinuous,"Basal and lateral, basal and terminal, or lateral and terminal; not continuous.",
Position,,General,Lateral; Axillary,On the side of a structure or at the nodes of the axis.,
Position,,Special,,(Classification based on positional terms usually applicable to individual parts),
Position,,b. Branch Position,,,
Position,,b. Branch Position,Acrocaulous,With terminal branches.,
Position,,b. Branch Position,Basicaulous,With basal branches.,
Position,,b. Branch Position,Caulous,With branches more or less evenly spaced along trunk.,
Position,,b. Branch Position,Subacrocaulous,With branches at or near tip of main stem.,
Position,,b. Branch Position,Subbasicaulous,With branches at or near base of main stem.,
Position,,b. Branch Position,Zonocaulous,With branches intermittently spaced along main stem.,
Position,,c. Cotyledon Position,,,
Position,,c. Cotyledon Position,Accumbent; Pleurorhizal,Reclinate with cotyledon edges against hypocotyl.,
Position,,c. Cotyledon Position,Incumbent; Notorhizal,Reclinate with sides of cotyledons against hypocotyl.,
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position",,,
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position",Acrocaulous,At the tip of the stem.,
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position","Amphiflorous, Amphicarpous","Flowers or fruits above and below ground, as in",Amphicarpum.
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position",Axillary,In axil of leaf.,
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position",Basicaulous,Near base of stem.,
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position",Cauline; Caulous,On old woody stem.,
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position",Epiphyllous,"From a phylloclad or peculiar bract, as in",Tilia.
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position",Geoflorous; Geocarpous,"Flowers or fruits below ground, as in",Amphicarpum.
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position",Infrafoliar,"On the stem below the leaves, as in the Arecaceae.",
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position",Interfoliar,"On the stem between the leaves, as in the Arecaceae.",
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position",Leaf-opposed,"On stem opposite the base of the leaf, as in",Alchemilla.
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position",Suprafoliar,"On the stem above the leaves, as in the Arecaceae.",
Position,,"d. Flower, Fruit, Inflorescence, Infructescence Position",Terminal,At or near tip of branch.,
Position,,e. Leaf Position,,,
Position,,e. Leaf Position,Acroramous,"Leaves terminal, near apex of branch.",
Position,,e. Leaf Position,Aphyllopodic,Without blade-bearing leaves at base of plant.,
Position,,e. Leaf Position,Basiramous,Leaves on lower part of branch.,
Position,,e. Leaf Position,Cauline; Ramous,Leaves more or less evenly distributed on stem or branch.,
Position,,e. Leaf Position,Phyllopodic,With blade-bearing leaves at base of plant.,
Position,,e. Leaf Position,Radical,"Leaves basal, near ground, usually from caudex or rootstock.",
