# curie_map:
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   FLOPO: http://purl.obolibrary.org/obo/FLOPO_
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   sssom: https://w3id.org/sssom/
# mapping_set_id: http://purl.obolibrary.org/obo/flopo/mappings/flopo-colour-backbone.sssom.tsv
# mapping_set_description: Mappings of PATO colour classes and superseded FLOPO colour classes onto the FLOPO ISCC-NBS colour backbone (curator decision 2026-09-18). The predicate follows the OBO scope of the word: EXACT -> skos:exactMatch (skos:closeMatch when the source class is not ISCC-NBS defined), NARROW -> skos:broadMatch, RELATED -> skos:relatedMatch. The 27 reused PATO classes are backbone classes themselves and are not listed.
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: 2026-09-18
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	subject_source	synonym_scope	match_kind	flags	comment
PATO:0000951	purple	skos:closeMatch	FLOPO:0988008	purple	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal	level_homonym	Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'purple' (level 1).
PATO:0000952	brown	skos:closeMatch	FLOPO:0988003	brown	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal	level_homonym	Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'brown' (level 1).
PATO:0000953	orange	skos:closeMatch	FLOPO:0988002	orange	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal	level_homonym	Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'orange' (level 1).
PATO:0000954	pink	skos:closeMatch	FLOPO:0988000	pink	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal	level_homonym	Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'pink' (level 1).
PATO:0001243	light blue	skos:closeMatch	FLOPO:0988198	light blue	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'light blue' (level 3).
PATO:0001244	dark blue	skos:closeMatch	FLOPO:0988200	dark blue	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'dark blue' (level 3).
PATO:0001245	dark brown	skos:closeMatch	FLOPO:0988084	dark brown	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'dark brown' (level 3).
PATO:0001246	light brown	skos:closeMatch	FLOPO:0988082	light brown	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'light brown' (level 3).
PATO:0001247	light cyan	skos:relatedMatch	FLOPO:0988006	green	semapv:CompositeMatching	0.6	PATO	RELATED	modified	crosses_level1|degree_modifier|no_botanical_source_tier_other	Modifier 'light' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'cyan'.
PATO:0001248	dark cyan	skos:relatedMatch	FLOPO:0988006	green	semapv:CompositeMatching	0.6	PATO	RELATED	modified	crosses_level1|degree_modifier|no_botanical_source_tier_other	Modifier 'dark' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'cyan'.
PATO:0001250	light green	skos:closeMatch	FLOPO:0988166	light green	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'light green' (level 3).
PATO:0001251	dark grey	skos:closeMatch	FLOPO:0988275	dark gray	semapv:LexicalMatching	0.9	PATO	EXACT	iscc_variant		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Spelling/hyphenation variant of the ISCC-NBS name 'dark gray'.
PATO:0001252	light grey	skos:closeMatch	FLOPO:0988273	light gray	semapv:LexicalMatching	0.9	PATO	EXACT	iscc_variant		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Spelling/hyphenation variant of the ISCC-NBS name 'light gray'.
PATO:0001253	light magenta	skos:relatedMatch	FLOPO:0988001	red	semapv:CompositeMatching	0.6	PATO	RELATED	modified	crosses_level1|degree_modifier	Modifier 'light' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'magenta'.
PATO:0001254	dark magenta	skos:relatedMatch	FLOPO:0988001	red	semapv:CompositeMatching	0.6	PATO	RELATED	modified	crosses_level1|degree_modifier	Modifier 'dark' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'magenta'.
PATO:0001255	light orange	skos:closeMatch	FLOPO:0988077	light orange	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'light orange' (level 3).
PATO:0001256	dark orange	skos:broadMatch	FLOPO:0988016	orange (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'dark' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'orange'.
PATO:0001257	light deep pink	skos:broadMatch	FLOPO:0988032	deep pink	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier	Modifier 'light' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'deep pink'.
PATO:0001258	deep pink	skos:closeMatch	FLOPO:0988032	deep pink	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'deep pink' (level 3).
PATO:0001259	dark purple	skos:closeMatch	FLOPO:0988237	dark purple	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'dark purple' (level 3).
PATO:0001260	light purple	skos:closeMatch	FLOPO:0988235	light purple	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'light purple' (level 3).
PATO:0001261	dark red	skos:closeMatch	FLOPO:0988042	dark red	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'dark red' (level 3).
PATO:0001262	light red	skos:broadMatch	FLOPO:0988013	red (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'light' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'red'.
PATO:0001263	dark yellow	skos:closeMatch	FLOPO:0988112	dark yellow	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'dark yellow' (level 3).
PATO:0001264	light yellow	skos:closeMatch	FLOPO:0988110	light yellow	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'light yellow' (level 3).
PATO:0001265	saturated blue	skos:broadMatch	FLOPO:0988025	blue (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'saturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'blue'.
PATO:0001266	desaturated blue	skos:broadMatch	FLOPO:0988025	blue (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'desaturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'blue'.
PATO:0001267	saturated brown	skos:broadMatch	FLOPO:0988017	brown (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'saturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'brown'.
PATO:0001268	desaturated brown	skos:broadMatch	FLOPO:0988017	brown (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'desaturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'brown'.
PATO:0001269	saturated cyan	skos:relatedMatch	FLOPO:0988006	green	semapv:CompositeMatching	0.6	PATO	RELATED	modified	crosses_level1|degree_modifier|no_botanical_source_tier_other	Modifier 'saturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'cyan'.
PATO:0001270	desaturated cyan	skos:relatedMatch	FLOPO:0988006	green	semapv:CompositeMatching	0.6	PATO	RELATED	modified	crosses_level1|degree_modifier|no_botanical_source_tier_other	Modifier 'desaturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'cyan'.
PATO:0001271	saturated green	skos:broadMatch	FLOPO:0988023	green (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'saturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'green'.
PATO:0001272	desaturated green	skos:broadMatch	FLOPO:0988023	green (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'desaturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'green'.
PATO:0001275	saturated magenta	skos:relatedMatch	FLOPO:0988001	red	semapv:CompositeMatching	0.6	PATO	RELATED	modified	crosses_level1|degree_modifier	Modifier 'saturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'magenta'.
PATO:0001276	desaturated magenta	skos:relatedMatch	FLOPO:0988001	red	semapv:CompositeMatching	0.6	PATO	RELATED	modified	crosses_level1|degree_modifier	Modifier 'desaturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'magenta'.
PATO:0001277	saturated orange	skos:broadMatch	FLOPO:0988016	orange (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'saturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'orange'.
PATO:0001278	desaturated orange	skos:broadMatch	FLOPO:0988016	orange (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'desaturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'orange'.
PATO:0001280	dark pale pink	skos:broadMatch	FLOPO:0988035	pale pink	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier	Modifier 'dark' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'pale pink'.
PATO:0001281	saturated purple	skos:broadMatch	FLOPO:0988028	purple (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'saturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'purple'.
PATO:0001282	desaturated purple	skos:broadMatch	FLOPO:0988028	purple (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'desaturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'purple'.
PATO:0001283	saturated red	skos:broadMatch	FLOPO:0988013	red (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'saturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'red'.
PATO:0001284	desaturated red	skos:broadMatch	FLOPO:0988013	red (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'desaturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'red'.
PATO:0001285	saturated yellow	skos:broadMatch	FLOPO:0988019	yellow (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'saturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'yellow'.
PATO:0001286	desaturated yellow	skos:broadMatch	FLOPO:0988019	yellow (ISCC-NBS level 2)	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier|level_homonym	Modifier 'desaturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'yellow'.
PATO:0001288	dark red brown	skos:closeMatch	FLOPO:0988070	dark reddish brown	semapv:LexicalMatching	0.9	PATO	EXACT	iscc_variant		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. '-ish' variant of the ISCC-NBS name 'dark reddish brown' (level 3).
PATO:0001289	light red brown	skos:closeMatch	FLOPO:0988068	light reddish brown	semapv:LexicalMatching	0.9	PATO	EXACT	iscc_variant		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. '-ish' variant of the ISCC-NBS name 'light reddish brown' (level 3).
PATO:0001302	vermilion	skos:relatedMatch	FLOPO:0988001	red	semapv:ManualMappingCuration	0.7	PATO	RELATED	vernacular	crosses_level1	Documented senses span ISCC-NBS block(s) 11 34 across level-1 categories orange, red; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. line number approximate (entry not cleanly matched in layout OCR); PDF p.187 Sense tier used: botanical (1 sense(s)); all sources give blocks 6 11 12 15 18 19 26 27 30 34 35 36 37 38.
PATO:0001424	violet	skos:closeMatch	FLOPO:0988027	violet	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'violet' (level 2).
PATO:0001425	rose colour	skos:relatedMatch	FLOPO:0988000	pink	semapv:ManualMappingCuration	0.7	PATO	RELATED	vernacular	crosses_level1	Documented senses span ISCC-NBS block(s) 1 2 3 15 26 27 237 246 247 248 249 254 255 across level-1 categories pink, purple, red; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. page 177 layout OCR garbled, entry not locatable in txt (read from PDF page 177 image); PDF p.177 Sense tier used: botanical (4 sense(s)); all sources give blocks 1 2 3 4 5 6 12 13 15 19 25 26 27 28 29 30 31 32 37 227 237 246 247 248 249 250 251 254 255 258 262.
PATO:0001426	maroon	skos:relatedMatch	FLOPO:0988001	red	semapv:ManualMappingCuration	0.7	PATO	RELATED	vernacular	crosses_level1	Documented senses span ISCC-NBS block(s) 17 44 across level-1 categories brown, red; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. line number approximate (entry not cleanly matched in layout OCR); PDF p.161 Sense tier used: botanical (2 sense(s)); all sources give blocks 14 16 17 20 41 44 46 259.
PATO:0001702	saturated violet	skos:broadMatch	FLOPO:0988027	violet	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier	Modifier 'saturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'violet'.
PATO:0001703	desaturated violet	skos:broadMatch	FLOPO:0988027	violet	semapv:CompositeMatching	0.6	PATO	NARROW	modified	degree_modifier	Modifier 'desaturated' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'violet'.
PATO:0001704	light violet	skos:closeMatch	FLOPO:0988224	light violet	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'light violet' (level 3).
PATO:0001705	dark violet	skos:closeMatch	FLOPO:0988226	dark violet	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'dark violet' (level 3).
PATO:0001942	brown green	skos:broadMatch	FLOPO:0988006	green	semapv:CompositeMatching	0.5	PATO	NARROW	compound_head	compound_head_rule|components_cross_level1	Two-colour compound not named by ISCC-NBS; English head-final reading makes it a NARROW synonym of the head 'green' class 'green' (tending towards 'brown').
PATO:0001943	lilac	skos:relatedMatch	FLOPO:0988008	purple	semapv:ManualMappingCuration	0.7	PATO	RELATED	vernacular	crosses_level1	Documented senses span ISCC-NBS block(s) 206 210 217 222 223 226 227 237 240 241 244 248 249 250 252 253 across level-1 categories pink, purple; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. M synonyms: Lilaceous, Lilas, Mauvette; txt line OCR-garbled (source/blocks read from PDF page image); PDF p.159 Sense tier used: botanical (2 sense(s)); all sources give blocks 5 10 18 206 209 210 217 221 222 223 226 227 228 231 232 233 237 240 241 244 248 249 250 252 253 261 262.
PATO:0001944	yellow orange	skos:broadMatch	FLOPO:0988002	orange	semapv:CompositeMatching	0.5	PATO	NARROW	compound_head	compound_head_rule|components_cross_level1	Two-colour compound not named by ISCC-NBS; English head-final reading makes it a NARROW synonym of the head 'orange' class 'orange' (tending towards 'yellow').
PATO:0001945	ochre	skos:relatedMatch	FLOPO:0988004	yellow	semapv:ManualMappingCuration	0.7	PATO	RELATED	vernacular	crosses_level1	Documented senses span ISCC-NBS block(s) 28 29 50 53 68 69 72 across level-1 categories orange, pink, yellow; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. PDF p.165 Sense tier used: botanical (1 sense(s)); all sources give blocks 28 29 50 51 53 57 67 68 69 71 72 73 74 83 84 86 87.
PATO:0002020	pale pink	skos:closeMatch	FLOPO:0988035	pale pink	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'pale pink' (level 3).
PATO:0002363	bronze	skos:relatedMatch	FLOPO:0988018	yellowish brown	semapv:ManualMappingCuration	0.7	PATO	RELATED	vernacular	no_botanical_source_tier_general|single_source_lifted_to_level2	Documented senses fall in ISCC-NBS block(s) 77; lowest covering backbone class is level 2 'yellowish brown'. M synonyms: Beeswax, Linoleum Brown, Wax Brown; PDF p.131 Sense tier used: general (1 sense(s)); all sources give blocks 77 95. Only one source places the word in a single block, so it is attached to that block's level-2 class rather than to the block itself.
PATO:0002410	beige	skos:broadMatch	FLOPO:0988019	yellow (ISCC-NBS level 2)	semapv:ManualMappingCuration	0.7	PATO	NARROW	vernacular	no_botanical_source_tier_general|multi_block	Documented senses fall in ISCC-NBS block(s) 89 90; lowest covering backbone class is level 2 'yellow'. M synonyms: Ecru, Lint-white; PDF p.124 Sense tier used: general (1 sense(s)); all sources give blocks 60 79 89 90 94.
PATO:0002411	yellow brown	skos:closeMatch	FLOPO:0988018	yellowish brown	semapv:LexicalMatching	0.9	PATO	EXACT	iscc_variant		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. '-ish' variant of the ISCC-NBS name 'yellowish brown' (level 2).
PATO:0002412	dark yellow brown	skos:closeMatch	FLOPO:0988103	dark yellowish brown	semapv:LexicalMatching	0.9	PATO	EXACT	iscc_variant		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. '-ish' variant of the ISCC-NBS name 'dark yellowish brown' (level 3).
PATO:0002413	light yellow brown	skos:closeMatch	FLOPO:0988101	light yellowish brown	semapv:LexicalMatching	0.9	PATO	EXACT	iscc_variant		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. '-ish' variant of the ISCC-NBS name 'light yellowish brown' (level 3).
PATO:0104031	cream	skos:broadMatch	FLOPO:0988019	yellow (ISCC-NBS level 2)	semapv:ManualMappingCuration	0.7	PATO	NARROW	vernacular	no_botanical_source_tier_general|single_source_lifted_to_level2	Documented senses fall in ISCC-NBS block(s) 89; lowest covering backbone class is level 2 'yellow'. PDF p.140 Sense tier used: general (1 sense(s)); all sources give blocks 89 90 92. Only one source places the word in a single block, so it is attached to that block's level-2 class rather than to the block itself.
PATO:0104112	orange red	skos:broadMatch	FLOPO:0988001	red	semapv:CompositeMatching	0.5	PATO	NARROW	compound_head	compound_head_rule|components_cross_level1	Two-colour compound not named by ISCC-NBS; English head-final reading makes it a NARROW synonym of the head 'red' class 'red' (tending towards 'orange').
PATO:0104314	crimson	skos:broadMatch	FLOPO:0988001	red	semapv:ManualMappingCuration	0.7	PATO	NARROW	vernacular	multi_block	Documented senses fall in ISCC-NBS block(s) 11 254; lowest covering backbone class is level 1 'red'. PDF p.140 Sense tier used: botanical (2 sense(s)); all sources give blocks 11 12 254 256.
PATO:0104317	scarlet	skos:relatedMatch	FLOPO:0988001	red	semapv:ManualMappingCuration	0.7	PATO	RELATED	vernacular	crosses_level1	Documented senses span ISCC-NBS block(s) 11 35 across level-1 categories orange, red; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. PDF p.180 Sense tier used: botanical (4 sense(s)); all sources give blocks 3 11 12 15 34 35.
