signature	po_id	po_label	pato_id	pato_label	label	definition	parent	pair_status	pair_source	assertions	accepted_assertions	taxa	pages	example_1	example_2	decision	reason
EQ|PO_0008039|PATO_0002348	PO_0008039	stem base	PATO_0002348	ligneous	stem base ligneous	A flora phenotype in which a(n) stem base exhibits the quality ligneous.	FLOPO_0005913	allowed	curator_review_2026-09-18	6	6	6	129|155|239|244|252|279	Suaeda monoica Forssk. ex J.F.Gmel. (p129): woody at the base	Artemisia sieberi Besser (p155): with a woody base	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025174|PATO_0000122	PO_0025174	spine stipule	PATO_0000122	length	spine stipule length	A flora phenotype in which a(n) spine stipule exhibits the quality length.	PHENO|PO_0025174	allowed	curator_review_2026-09-18	6	6	6	51|58|60|61|63|89	Faidherbia albida (Delile) A.Chev. (p51): 3.5 cm long	Vachellia etbaica (Schweinf.) Kyal. & Boatwr. (p58): 5 mm long; spines may reach 3 cm	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030121|PATO_0000324	PO_0030121	capitulum inflorescence	PATO_0000324	yellow	capitulum inflorescence yellow	A flora phenotype in which a(n) capitulum inflorescence exhibits the quality yellow.	FLOPO_0980970	allowed	curator_review_2026-09-18	6	6	6	64|152|157|162|163|271	Vachellia seyal var. fistula (p64): shiny yellow	Anvillea garcinii (Burm.f.) DC. (p152): golden-yellow in colour	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0009046|PATO_0001286	PO_0009046	flower	PATO_0001286	desaturated yellow	flower desaturated yellow	A flora phenotype in which a(n) flower exhibits the quality desaturated yellow.	FLOPO_0000122	allowed	curator_review_2026-09-18	5	5	5	66|76|150|230|252	Vachellia tortilis subsp. raddiana (Savi) Kyal. & Boatwr. (p66): pale yellow	Ficus vasta Forssk. (p76): flowers pale yellow	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0020043|PATO_0000467	PO_0020043	compound leaf	PATO_0000467	present	compound leaf present	A flora phenotype in which a(n) compound leaf exhibits the quality present.	PHENO|PO_0020043	allowed	curator_review_2026-09-18	5	5	5	32|62|191|242|294	Commiphora myrrha (Nees) Engl. (p32): leaves compound	Vachellia nilotica subsp. indica (Benth.) Kyal. & Boatwr. (p62): compound	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0020128|PATO_0001205	PO_0020128	leaf margin	PATO_0001205	dentated	leaf margin dentated	A flora phenotype in which a(n) leaf margin exhibits the quality dentated.	FLOPO_0003919	allowed	curator_review_2026-09-18	5	5	5	23|88|107|156|212	Tarchonanthus camphoratus L. (p23): finely toothed margins	Ziziphus mucronata Willd. (p88): toothed margins	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030113|PATO_0000122	PO_0030113	flower pedicel	PATO_0000122	length	flower pedicel length	A flora phenotype in which a(n) flower pedicel exhibits the quality length.	PHENO|PO_0030113	allowed	curator_review_2026-09-18	5	5	4	30|47|56|220	Commiphora kataf (Forssk.) Engl. (p30): pedicel 2–4 mm long	Erica arborea L. (p47): 2.25 mm long	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030126|PATO_0000467	PO_0030126	cyme inflorescence	PATO_0000467	present	cyme inflorescence present	A flora phenotype in which a(n) cyme inflorescence exhibits the quality present.	PHENO|PO_0030126	allowed	curator_review_2026-09-18	5	5	5	39|87|141|305|306	Gymnosporia arbutifolia (Hochst. ex A.Rich.) Loes. (p39): inflorescences cymose	Ziziphus glabrata (B.Heyne ex Schult.) B.Heyne ex Wight & Arn. (p87): determinate	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0009047|PATO_0002348	PO_0009047	stem	PATO_0002348	ligneous	stem ligneous	A flora phenotype in which a(n) stem exhibits the quality ligneous.	FLOPO_0000001	allowed	curator_review_2026-09-18	4	3	4	80|116|282|294	Commicarpus grandiflorus (A.Rich.) Standl. (p80): woody stem	Atriplex farinosa Forssk. (p116): The stem is woody	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030091|PATO_0000921	PO_0030091	capsule fruit	PATO_0000921	width	capsule fruit width	A flora phenotype in which a(n) capsule fruit exhibits the quality width.	PHENO|PO_0030091	allowed	curator_review_2026-09-18	4	4	4	84|199|212|213	Pittosporum viridiflorum Sims (p84): 8 mm wide	Hypericum revolutum Vahl (p199): capsule 12 × 10 mm	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030091|PATO_0001499	PO_0030091	capsule fruit	PATO_0001499	spherical	capsule fruit spherical	A flora phenotype in which a(n) capsule fruit exhibits the quality spherical.	PHENO|PO_0030091	allowed	curator_review_2026-09-18	4	4	4	69|70|205|212	Dombeya torrida (J.F.Gmel.) Bamps (p69): globose	Trichilia emetica Vahl (p70): globose	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030100|PATO_0000406	PO_0030100	legume fruit	PATO_0000406	curved	legume fruit curved	A flora phenotype in which a(n) legume fruit exhibits the quality curved.	PHENO|PO_0030100	allowed	curator_review_2026-09-18	4	4	4	57|64|65|191	Tamarindus indica L. (p57): curved (hooked)	Vachellia seyal var. fistula (p64): slightly curved	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030102|PATO_0000122	PO_0030102	nut fruit	PATO_0000122	length	nut fruit length	A flora phenotype in which a(n) nut fruit exhibits the quality length.	FLOPO_0980908	allowed	curator_review_2026-09-18	4	4	4	200|201|202|274	Lavandula atriplicifolia Benth. (p200): 2 mm long	Lavandula dentata L. (p201): 1.5 mm long	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030102|PATO_0000921	PO_0030102	nut fruit	PATO_0000921	width	nut fruit width	A flora phenotype in which a(n) nut fruit exhibits the quality width.	FLOPO_0980908	allowed	curator_review_2026-09-18	4	4	4	200|201|202|274	Lavandula atriplicifolia Benth. (p200): 1 mm wide	Lavandula dentata L. (p201): 1 mm wide	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030117|PATO_0002476	PO_0030117	spike inflorescence	PATO_0002476	terminal	spike inflorescence terminal	A flora phenotype in which a(n) spike inflorescence exhibits the quality terminal.	FLOPO_0980963	allowed	curator_review_2026-09-18	4	4	4	110|111|119|200	Ecbolium gymnostachyum (Nees) Milne-Redh. (p110): terminal, spicate, long	Ecbolium viride (Forssk.) Alston (p111): flowers in terminal spikes	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030121|PATO_0001334	PO_0030121	capitulum inflorescence	PATO_0001334	diameter	capitulum inflorescence diameter	A flora phenotype in which a(n) capitulum inflorescence exhibits the quality diameter.	FLOPO_0980970	allowed	curator_review_2026-09-18	4	4	4	60|63|64|65	Vachellia gerrardii var. najdensis (Chaudhary) Ragup., Seigler, Ebinger & Maslin (p60): up to 1 cm in diameter	Vachellia origena (Hunde) Kyal. & Boatwr. (p63): 1 cm in diameter	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030121|PATO_0002476	PO_0030121	capitulum inflorescence	PATO_0002476	terminal	capitulum inflorescence terminal	A flora phenotype in which a(n) capitulum inflorescence exhibits the quality terminal.	FLOPO_0980970	allowed	curator_review_2026-09-18	4	4	4	156|158|269|272	Baccharoides schimperi (DC.) Isawumi, El-Ghazaly & B.Nord. (p156): inflorescences terminal	Kleinia odora (Forssk.) DC. (p158): flowers terminal in ... heads	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030129|PATO_0000467	PO_0030129	umbel inflorescence	PATO_0000467	present	umbel inflorescence present	A flora phenotype in which a(n) umbel inflorescence exhibits the quality present.	PHENO|PO_0030129	allowed	curator_review_2026-09-18	4	4	4	80|145|260|266	Commicarpus grandiflorus (A.Rich.) Standl. (p80): flowers in umbellate inflorescences	Solenostemma oleifolium (Nectoux) Bullock & E.A.Bruce ex Maire (p145): umbellate	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|FLOPO_0980431|PATO_0000467	FLOPO_0980431	plant latex	PATO_0000467	present	plant latex present	A flora phenotype in which a(n) plant latex exhibits the quality present.	FLOPO_0900048	allowed	curator_review_2026-09-18	3	3	3	71|73|76	Ficus glumosa (p71): with a milky fluid	Ficus palmata subsp. palmata (p73): with milky sap	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000282|PATO_0000387	PO_0000282	trichome	PATO_0000387	soft	trichome soft	A flora phenotype in which a(n) trichome exhibits the quality soft.	FLOPO_0000355	allowed	curator_review_2026-09-18	3	3	3	193|249|294	Sophora gibbosa (DC.) Yakovlev (p193): soft hairs	Withania somnifera (L.) Dunal (p249): soft hairs	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000282|PATO_0000950	PO_0000282	trichome	PATO_0000950	grey	trichome grey	A flora phenotype in which a(n) trichome exhibits the quality grey.	FLOPO_0000355	allowed	curator_review_2026-09-18	3	3	3	193|249|300	Sophora gibbosa (DC.) Yakovlev (p193): grey hairs	Withania somnifera (L.) Dunal (p249): silvery-grey hairs	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0009001|PATO_0104311	PO_0009001	fruit	PATO_0104311	purplish red	fruit purplish red	A flora phenotype in which a(n) fruit exhibits the quality purplish red.	FLOPO_0000030	allowed	curator_review_2026-09-18	3	3	3	39|42|227	Gymnosporia arbutifolia (Hochst. ex A.Rich.) Loes. (p39): purplish-red	Terminalia brownii Fresen. (p42): fruits purple-red in colour	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0020041|PATO_0001730	PO_0020041	stipule	PATO_0001730	deciduous (generic)	stipule deciduous (generic)	A flora phenotype in which a(n) stipule exhibits the quality deciduous (generic).	FLOPO_0000167	allowed	curator_review_2026-09-18	3	3	3	71|75|210	Ficus glumosa (p71): and deciduous	Ficus sycomorus L. (p75): and deciduous	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025034|PATO_0001272	PO_0025034	leaf	PATO_0001272	desaturated green	leaf desaturated green	A flora phenotype in which a(n) leaf exhibits the quality desaturated green.	FLOPO_0000004	allowed	curator_review_2026-09-18	3	3	3	89|150|238	Ziziphus nummularia (Burm.f.) Wight & Arn. (p89): pale green	Aloe woodii Lavranos & Collen. (p150): pale green	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025034|PATO_0104007	PO_0025034	leaf	PATO_0104007	greyish green	leaf greyish green	A flora phenotype in which a(n) leaf exhibits the quality greyish green.	FLOPO_0000004	allowed	curator_review_2026-09-18	3	3	3	151|171|205	Achillea fragrantissima (Forssk.) Sch.Bip. (p151): grey-green in colour	Capparis spinosa L. (p171): tending to greyish green	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025034|PATO_0104020	PO_0025034	leaf	PATO_0104020	blue green	leaf blue green	A flora phenotype in which a(n) leaf exhibits the quality blue green.	FLOPO_0000004	allowed	curator_review_2026-09-18	3	3	3	145|149|169	Solenostemma oleifolium (Nectoux) Bullock & E.A.Bruce ex Maire (p145): green tending to bluish in colour	Aloe rubroviolacea Schweinf. (p149): leaves bluish-green in colour	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
