evidence_id	title	doi_or_identifier	url	local_file	sha256	access_status	claims_verified	verification_date
EVID:NYBG_COROLLA_TUBE	NYBG Steere Herbarium glossary: corolla tube	NYBG:1937	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=1937	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-1937.html	234fdbf315475b4b617b20e6944be140b53466cab55673747c2a56856d9d357b	public web page	A corolla tube is the lower fused portion of a gamopetalous corolla.	2026-07-14
EVID:NYBG_COROLLA_THROAT	NYBG Steere Herbarium glossary: corolla throat	NYBG:1939	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=1939	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-1939.html	5c6a1c9c29c151428b5517a35e9ee8063d2e860e8fb7fcf14ce1b1a2a148babd	public web page	The glossary defines the corolla throat as the opening into the corolla tube, which conflicts with sources using throat for a surrounding distal tube region.	2026-07-14
EVID:BILABIATE_REVIEW	Bilabiate Flowers: The Ultimate Response to Bees?	PMCID:PMC2735325	https://pmc.ncbi.nlm.nih.gov/articles/PMC2735325/	scratchpad/botanical-evidence-2026-07-14/bilabiate-flower-review-pmc2735325.html	193775e94097b23e3a52bd33ba48903a67b07b22743177a37aa7b14ba453fe57	open-access full text	Upper and lower lips are functional/morphological components of bilabiate constructions; the unqualified word lip is not restricted to one homologous organ type.	2026-07-15
EVID:NYBG_PSEUDOBULB	NYBG Steere Herbarium glossary: pseudobulb	NYBG:2252	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=2252	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-2252.html	ce0c0e35f0ae4bd43ac610fcc6f93d1a6d3280814806c612c4ac8fea60fb562c	public web page	A pseudobulb is a specially modified, swollen stem used to store food and water.	2026-07-14
EVID:NYBG_TUNIC	NYBG Steere Herbarium glossary: tunic	NYBG:1628	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=1628	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-1628.html	59300995e46465922724878feed7f26ac1b09edb5dee0cafb869a11eacb9f5cd	public web page	A tunic is an outer dry papery covering of a bulb or corm.	2026-07-14
EVID:NYBG_CORONA	NYBG Steere Herbarium glossary: corona	NYBG:2259	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=2259	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-2259.html	0d2c9e24cf0d57a29a8b70973dedf9d602e934897f071d12d2e6d2ca07647e29	public web page	Corona denotes a floral structure between petals and stamens that may be derived from either organ system.	2026-07-14
EVID:CORONA_ONTOGENY	Corona development and floral nectaries of Asclepiadeae	DOI:10.1590/0102-33062016abb0424	https://doi.org/10.1590/0102-33062016abb0424	scratchpad/botanical-evidence-2026-07-14/monteiro-demarco-2017-corona.pdf	dc96c48463d6c4b345f67a367c2d12c2b34424d5d58d2d6b4aa979e466c0724f	open-access article	Asclepiadeae coronas can be androecial or corolline; apparent attachment to the corolla does not alone establish developmental origin.	2026-07-14
EVID:HAUSTORIUM_REVIEW	A roadmap of haustorium morphogenesis in parasitic plants	DOI:10.1093/jxb/erad284	https://pmc.ncbi.nlm.nih.gov/articles/PMC10752351/	scratchpad/botanical-evidence-2026-07-14/kirschner-2023-haustorium.html	9cb36f509badeb913b80c1239f2cf8c4a6df7ec15c4cc3acc66999cb01e92151	open-access full text	A parasitic-plant haustorium penetrates host tissues and establishes transfer; terminal haustoria are root-derived, while lateral haustoria may arise from root or stem tissues.	2026-07-14
EVID:CLIMBING_TERMINOLOGY	Towards a Standardization of Terminology of the Climbing Habit in Plants	DOI:10.1007/s12229-020-09218-y	https://tncvasconcelos.github.io/papers/Sperottoetal2020_climbers.pdf	scratchpad/botanical-evidence-2026-07-14/sperotto-2020-climbing-terminology.pdf	3edef46f0d9072af0a1d13bf0a7d2cbf3edf14e67bdce779dde11c2cb4e1a293	author-hosted article	A climber becomes unable to mechanically sustain its stem without external support; liana and vine distinguish woody and non-woody climbers; scrambling and twining are distinct climbing mechanisms.	2026-07-15
EVID:NYBG_APEX	NYBG Steere Herbarium glossary: apex	NYBG:290	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=290	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-290-apex.html	c19324d38570e07b8b54d78204627ad9a4bfb4f84e3b519186abcce9cd6041c7	public web page	Apex denotes the tip or distal end of a structure such as a stem or leaf; PO separately distinguishes an extended apex region from its apical-most tip in several existing classes.	2026-07-15
EVID:NYBG_BASE	NYBG Steere Herbarium glossary: base	NYBG:342	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=342	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-342-base.html	87bd7d646cd52269a55d4e36d973130ffe4e6fa7686d18406aea6b55a0c5e803	public web page	Base denotes the bottom or proximal end of a structure such as a stem, leaf blade, or flower.	2026-07-15
EVID:NYBG_LOBE	NYBG Steere Herbarium glossary: lobe	NYBG:3039	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=3039	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-3039-lobe.html	5a01c5c145f34c906d3680405d8a49bb56f5b48705817bbe81ffb56851ba6c9d	public web page	A lobe is a rounded projection from the margin or base of a two-dimensional structure such as a leaf or bract.	2026-07-15
EVID:NYBG_LEAF_MARGIN_LOBED	NYBG Steere Herbarium glossary: leaf margin lobed	NYBG:3041	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=3041	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-3041-leaf-margin-lobed.html	ebbf21de3bc467ed582e9eb9ba8d40fec6224d6f71bfd81f87d848880245317e	public web page	A lobed leaf margin bears rounded blade projections cut less than halfway to the midrib in this glossary; this boundary differs from PO's current one-quarter-or-more sinus threshold for a phyllome lamina lobe.	2026-07-15
EVID:NYBG_LEAF_MARGIN_ENTIRE	NYBG Steere Herbarium glossary: leaf margin entire	NYBG:626	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=626	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-626-leaf-margin-entire.html	640513cb8fda89e13bbc1e83e738ab61c90b6563786609e910536d43300a7065	public web page	An entire leaf margin is smooth and lacks serrations or crenations.	2026-07-15
EVID:NYBG_CYATHIUM	NYBG Steere Herbarium glossary: cyathium	NYBG:568	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=568	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-568-cyathium.html	6bc3576eb953356d4ce84093cd009bbc8c78ab98aabfb1669c4afba6f54da06d	public web page	A cyathium is an inflorescence of several naked staminate flowers, usually one naked pistillate flower, and a subtending cup-shaped involucre, characteristic of Euphorbia.	2026-07-15
EVID:NYBG_HAIR	NYBG Steere Herbarium glossary: hair	NYBG:797	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=797	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-797-hair.html	2b11b430038b1bb8f965ff19b898cb0c71b90d0dd9b923ad5e52f199b4c5164c	public web page	The botanical hair entry redirects to trichome and says trichome is the more correct term for plants.	2026-07-15
EVID:NYBG_TRICHOME	NYBG Steere Herbarium glossary: trichome	NYBG:2548	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=2548	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-2548-trichome.html	5cfdc5179599fabffde60ba90fac5ad65fd1d094e2f7f23dc90eb4f7f943cc60	public web page	A trichome is a hair-like epidermal outgrowth, and trichome is preferred over hair in botany.	2026-07-15
EVID:AOS_HAIR_TRICHOME	American Orchid Society Orchid Glossary: hairs and trichome	AOS:OrchidGlossary-hairs-trichome	https://www.aos.org/orchids/orchid-basics/orchid-glossary	scratchpad/botanical-evidence-2026-07-14/aos-orchid-glossary-2022.pdf	4ebeeda34ab01707ef2446f0f4cf3366b21ce50a9754bd952b2de0f7483479af	publicly downloadable	Hairs is a general name for many small slender plant outgrowths; trichome is the correct botanical term for a hair-like epidermal outgrowth such as a hair or bristle.	2026-07-15
EVID:NYBG_TRUNK_UNBRANCHED	NYBG Steere Herbarium glossary: trunk as first-order unbranched portion	NYBG:130	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=130	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-130-trunk.html	f1d9833e8895eda389c24d0514ac440d2cda2a22d8376d2a22634e69c48be5bb	public web page	In trees, trunk is defined as the unbranched first-order portion and equated with bole; the downloaded page appears to contain a typographical error in the bearer word.	2026-07-15
EVID:NYBG_TRUNK_MAIN_STEM	NYBG Steere Herbarium glossary: trunk as main stem	NYBG:1740	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=1740	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-1740-trunk-2.html	cd7b29715383b553658dda01f5695b1a27f6ebe712c535d7998f5a0e5e5287ab	public web page	A trunk is the main stem of a tree; the source additionally includes buttresses and prop roots, which must not be carried into a strict stem subclass because those structures need not be stem tissue.	2026-07-15
EVID:NYBG_FROND_FERN	NYBG Steere Herbarium glossary: frond	NYBG:3106	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=3106	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-3106-frond.html	7eb5bdbba815d49e6c300d17a4e682ff9bb4f5318a90f1e5532480263b846a73	public web page	This glossary restricts frond to a fern leaf and the conspicuous sporophyte structure; that restriction does not cover the dominant Saudi palm-frond usage.	2026-07-15
EVID:USF_FLIP_FROND	Florida Invasive Plants glossary: frond	FLIP:Glossary	https://plantatlas.usf.edu/flip/glossary.aspx	scratchpad/botanical-evidence-2026-07-14/usf-flip-glossary.html	ab35ed586289f9b9f7444b789f5d4140c3cc12c947d8de49d8c6e366d227bc3d	public web page	The glossary, whose definitions are taken from Guide to the Vascular Plants of Florida, defines a frond as the leaf of a fern or palm.	2026-07-15
EVID:FLORA_AUSTRALIA_FROND	Flora of Australia Glossary — Ferns, Cycads, Conifers and Vascular plants	ABRS:FloraOfAustraliaGlossary-2017	https://ausflora.net/wp-content/uploads/2017/06/flora-of-australia-glossary-e28094-ferns-cycads-conifers-and-vascular-plants.pdf	scratchpad/botanical-evidence-2026-07-14/flora-australia-ferns-cycads-glossary.pdf	9c257dde77cd0013fcd5125f7ee44b21428f6cbd19600f0de901f98725f91684	CC BY 4.0	A frond is a leaf, especially of a fern, cycad, or palm, including its lamina and stipe or petiole.	2026-07-15
EVID:NYBG_PINNA	NYBG Steere Herbarium glossary: pinna	NYBG:1228	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=1228	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-1228-pinna.html	88009c4172f3de122b56e984fed903ac7c9d7be2b25cb97077ac5a0503f950e0	public web page	A pinna is the primary division of a compound leaf, especially a fern leaf.	2026-07-15
EVID:NYBG_PINNULE	NYBG Steere Herbarium glossary: pinnule	NYBG:2382	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=2382	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-2382-pinnule.html	a7e90e3e44f2bd0523f35ede51f2b861c84d68de26f08f407ce3b00286a3754a	public web page	A pinnule is a secondary or higher-order division of a fern compound leaf; the downloaded page contains a repeated phrase in its worked example, so only the clear first clause is used.	2026-07-15
EVID:NYBG_ANNUAL	NYBG Steere Herbarium glossary: annual	NYBG:272	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=272	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-272-annual.html	eab7ccce608cd0f372e0b9f1dfe2852cff93675001ed253c04f2e1d64bd3fb21	public web page	An annual plant completes the interval from seed to maturity and death in one year or less; the page explicitly contrasts annual, biennial, and perennial.	2026-07-15
EVID:NYBG_PERENNIAL	NYBG Steere Herbarium glossary: perennial	NYBG:1182	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=1182	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-1182-perennial.html	cd60ad43bdba0b4c950110fa2de7920fd53b6775e6c4c6684843d468f55bd13e	public web page	A perennial is a plant that lives and produces seeds for three or more years; the page explicitly contrasts annual and biennial.	2026-07-15
EVID:NYBG_TRIFOLIOLATE	NYBG Steere Herbarium glossary: trifoliolate	NYBG:1611	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=1611	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-1611-trifoliolate.html	73047c1fe82564aaeb0494f292508a855a63cdf380da9563f9e5002b08b97945	public web page	Trifoliolate means having three leaflets.	2026-07-15
EVID:NYBG_WINGED	NYBG Steere Herbarium glossary: winged	NYBG:2950	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=2950	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-2950-winged.html	52f94293241f2c42fee7a9e5e7a8ce9367cace1009951eb028dbb06e9a6c6093	public web page	Winged or alate means having a thin conspicuous ridge running along a structure such as a stem, leaf rachis, ovary, or fruit.	2026-07-15
EVID:NYBG_REFLEXED	NYBG Steere Herbarium glossary: reflexed	NYBG:1363	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=1363	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-1363-reflexed.html	423a212c7791180b870814c6d769c225786edc4e634c2788156f9b66b820433d	public web page	Reflexed means abruptly bent backward or downward.	2026-07-15
EVID:NYBG_SOLITARY_FLOWER	NYBG Steere Herbarium glossary: solitary flower	NYBG:1826	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=1826	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-1826-solitary-flower.html	7f9c15acfca3b52af70bae1c77f99ebb0e6d5e61afdd5a89c03f48324d3d1ef7	public web page	A solitary-flower construction specifies one flower in the inflorescence context; this conflicts with PO's current inflorescence minimum of two flowers and is therefore treated as a cardinality phenotype, not a new inflorescence entity.	2026-07-15
EVID:NYBG_CAESPITOSE	NYBG Steere Herbarium glossary: caespitose (cespitose)	NYBG:390	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=390	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-390-caespitose.html	f2a0d58e6c19b9f66f6e57f51a39dacbb3c4c7a10397db777bf2bd33d879ecea	public web page	Caespitose or cespitose means growing in dense clumps or tufts; the clumps are also called tussocks.	2026-07-15
EVID:NYBG_VISCID	NYBG Steere Herbarium glossary: viscid	NYBG:1688	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=1688	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-1688-viscid.html	2e73001ac9d6b89efce620a8ae1327d13ef6910c9944bb575fe14b678e06c9c0	public web page	Viscid means sticky; UPOV further distinguishes viscid from resinous, where resin causes the stickiness.	2026-07-15
EVID:NYBG_LANATE	NYBG Steere Herbarium glossary: lanate	NYBG:939	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=939	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-939-lanate.html	ee3314dc28ac22bba96fc2a5a7dc7c2cffbd196de12bce7ed9c48ed71298c4f1	public web page	Lanate means woolly, usually as a type of pubescence; UPOV specifies long, somewhat matted, tangled trichomes and distinguishes shorter denser tomentose hairs.	2026-07-15
EVID:NYBG_SERICEOUS	NYBG Steere Herbarium glossary: sericeous	NYBG:1450	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=1450	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-1450-sericeous.html	706c5f09459cf10944f00a0f1652d35ce3d19a38cdd35298f01b7359ae749285	public web page	Sericeous means silky, with long soft slender somewhat appressed hairs; UPOV likewise specifies fine, long, appressed trichomes.	2026-07-15
EVID:FLORA_AUSTRALIA_TERMS	Flora of Australia Glossary — Ferns, Cycads, Conifers and Vascular plants	ABRS:FloraOfAustraliaGlossary-2017	https://ausflora.net/wp-content/uploads/2017/06/flora-of-australia-glossary-e28094-ferns-cycads-conifers-and-vascular-plants.pdf	scratchpad/botanical-evidence-2026-07-14/flora-australia-ferns-cycads-glossary.pdf	9c257dde77cd0013fcd5125f7ee44b21428f6cbd19600f0de901f98725f91684	CC BY 4.0	The official glossary operationally distinguishes aquatic, capitate, crown, costate or ribbed, crisped, deciduous, evergreen, farinaceous, keeled, persistent, petaloid, procumbent, runner, stolon, unisexual, whorl, and the different botanical senses of wing.	2026-07-15
EVID:PLANTNET_C	PlantNET New South Wales Flora glossary: C	PlantNET:Glossary-C	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?glossary=yes&page=nswfl&alpha=C	scratchpad/botanical-evidence-2026-07-14/plantnet-glossary-c.html	b019bd52e6850f64a2ec65e1b7999f2abf83ae051c9cdcc003ac36a3f2d793a5	public web page	Capitate means head-shaped or arranged in a head-like cluster; clasping means surrounding or embracing an axis, such as a lamina surrounding a stem.	2026-07-15
EVID:PLANTNET_DE	PlantNET New South Wales Flora glossary: D–E	PlantNET:Glossary-D-E	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?glossary=yes&page=nswfl&alpha=D-E	scratchpad/botanical-evidence-2026-07-14/plantnet-glossary-de.html	ff6138bd2c3306fd2ea622ba9f012e34e0f57c3054945deaf62d521b8533acbd	public web page	Dissected means divided at least partially into segments; deciduous distinguishes seasonally falling organs and plants losing leaves for part of the year; evergreen plants bear leaves throughout the year.	2026-07-15
EVID:PLANTNET_FH	PlantNET New South Wales Flora glossary: F–H	PlantNET:Glossary-F-H	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?glossary=yes&page=nswfl&alpha=F-H	scratchpad/botanical-evidence-2026-07-14/plantnet-glossary-fh.html	3c88522c2e80af521b233f395063ff3ebcfbd860a01fa13a852728e659f53a45	public web page	Farina is a fine mealy powder on a plant surface; frond denotes a fern or cycad leaf and is sometimes used for a large compound palm leaf; floccose means covered with soft woolly hairs that are entangled and tend to rub off.	2026-07-15
EVID:PLANTNET_IL	PlantNET New South Wales Flora glossary: I–L	PlantNET:Glossary-I-L	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?glossary=yes&page=nswfl&alpha=I-L	scratchpad/botanical-evidence-2026-07-14/plantnet-glossary-il.html	446aa1f2183a43985d5938788f444069aab1d57254142a98288dd91581a6ea29	public web page	Latex is fluid exuded from cut plant surfaces and is not necessarily milky; lax means loose or not compact; lineolate means marked with fine or obscure lines.	2026-07-15
EVID:PLANTNET_MO	PlantNET New South Wales Flora glossary: M–O	PlantNET:Glossary-M-O	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?glossary=yes&page=nswfl&alpha=M-O	scratchpad/botanical-evidence-2026-07-14/plantnet-glossary-mo.html	23fe29c8abe72fae983592c75d52faec863eb870129e00996a51a0ef91d2797c	public web page	Mealy means covered with coarse flour-like powder.	2026-07-15
EVID:PLANTNET_P	PlantNET New South Wales Flora glossary: P	PlantNET:Glossary-P	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?glossary=yes&page=nswfl&alpha=P	scratchpad/botanical-evidence-2026-07-14/plantnet-glossary-p.html	beab81e5288344018b920e8103e9c185088865667ae3cb1b3337ca7a9b4961d4	public web page	The glossary separates palmate leaf and venation senses, defines persistent relative to maturation of the bearer, petaloid by petal-like colour and texture, plicate as longitudinally folded, and procumbent as trailing or spreading over the ground.	2026-07-15
EVID:PLANTNET_S	PlantNET New South Wales Flora glossary: S	PlantNET:Glossary-S	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?glossary=yes&page=nswfl&alpha=S	scratchpad/botanical-evidence-2026-07-14/plantnet-glossary-s.html	977073ce71fc438720f6d7cb1f0d2a7d9d71e44cc1259793925ee02550260fe8	public web page	The glossary defines sheath as a tubular or rolled organ part, shrub by its woody much-branched growth form, stinging hair by a hollow hair seated on a secreting gland, and stolon as a horizontal above-ground stem rooting at nodes.	2026-07-15
EVID:PLANTNET_TU	PlantNET New South Wales Flora glossary: T–U	PlantNET:Glossary-T-U	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?glossary=yes&page=nswfl&alpha=T-U	scratchpad/botanical-evidence-2026-07-14/plantnet-glossary-tu.html	1f4996666857f054bdb8932cf18148405f1a5a0c658d2945c0e08c543b19a422	public web page	Unisexual means bearing only male or only female reproductive organs; united means fused together; trifoliolate means a leaf with three leaflets.	2026-07-15
EVID:PLANTNET_VZ	PlantNET New South Wales Flora glossary: V–Z	PlantNET:Glossary-V-Z	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?glossary=yes&page=nswfl&alpha=V-Z	scratchpad/botanical-evidence-2026-07-14/plantnet-glossary-vz.html	0e45b2928c6e2c18e6e5e19c8391b581315d5b9149ceba2caed0de9a966e5503	public web page	Whorl is a ring of leaves, bracts, or floral parts at one axis level; wing has distinct fruit or seed flange, stem or petiole flange, and Fabaceae petal senses; woolly denotes dense matted long hairs.	2026-07-15
EVID:NYBG_CLASPING	NYBG Steere Herbarium glossary: clasping	NYBG:467	https://sweetgum.nybg.org/science/glossary/glossary-details/?irn=467	scratchpad/botanical-evidence-2026-07-14/nybg-glossary-467-clasping.html	4086a95186a92665988f2c3257f30fe833061347793f4c195162d07bfd9bbbb3	public web page	Clasping or amplexicaul means at least partially enclosing an axis, such as a leaf base partially surrounding its stem.	2026-07-15
EVID:RHS_FOLIAGE	Royal Horticultural Society gardening glossary: foliage	RHS:GardeningGlossary	https://www.rhs.org.uk/advice/beginners-guide/glossary	scratchpad/botanical-evidence-2026-07-14/rhs-gardening-glossary.html	dd977e2a1e483a0eb97c627831a8154e40cc6f8074d9a63083ffa95a66dfbfab	public web page	The RHS glossary defines foliage as leaves and independently distinguishes annual, perennial, deciduous, and evergreen plant life-history terms.	2026-07-15
EVID:SACCARDO_CHROMOTAXIA	Chromotaxia seu Nomenclator colorum polyglottus ad usum botanicorum et zoologorum	InternetArchive:chromotaxiaseuno00sacc	https://archive.org/details/chromotaxiaseuno00sacc	scratchpad/botanical-evidence-2026-07-15/saccardo-1891-chromotaxia.pdf	5588eee76e3cf04fd3c6ee98e2223ab8bafe64d4427de02fe087156eb0da6a5b	public-domain scan	Saccardo provides a botanical and zoological colour vocabulary with physical plates and recognition exemplars, including silver as white with metallic lustre, chestnut pericarp, roasted cacao for chocolate-brown, salmon flesh, Rosa centifolia petals for rosy, citrus epicarp for lemon-yellow, freshly dried wheat or rice culms for straw-coloured, and cow-milk cream for cream-coloured.	2026-07-15
EVID:RIDGWAY_1912	Color Standards and Color Nomenclature	DOI:10.5962/bhl.title.144788	https://www.biodiversitylibrary.org/item/126819	scratchpad/botanical-evidence-2026-07-15/ridgway-1912-color-standards.pdf	3a5afcbe5cd0b4dcf493f1b8780edc45bb80da55578a33963be4d2a9944c8a78	public-domain scan	Ridgway supplies physical colour standards and explicitly warns that unstandardized names such as lemon, chestnut, lilac, and olive vary; source-qualified chips exist for lemon yellow, chestnut, chocolate, mahogany red, olive, rose pink, salmon color, and straw yellow.	2026-07-15
