proposal_key	surface_family	class_role	preferred_label	intended_ontology	current_id	asserted_parent	definition_or_recognition_rule	standard	standard_designation	logical_pattern	definition_sources	annotation_policy	caveat	curator_decision	curator_notes
COLOR:scarlet_reviewed_union	scarlet	closed_union_view	standardized scarlet (current reviewed set)	PATO (optional named view)		COLOR:scarlet	A colour quality satisfying at least one of the three scarlet standards in the current reviewed set: Saccardo category 15, Ridgway I 5, or Wilson H19.	Current reviewed set dated 2026-07-15	three reviewed scarlet sensu classes	EquivalentTo unionOf(COLOR:scarlet_saccardo_1891 COLOR:scarlet_ridgway_1912 COLOR:scarlet_wilson_h19); SubClassOf COLOR:scarlet.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912|EVID:NIST_SP440	Never use for an unqualified annotation; it is an optional closed logical view.	The union must be regenerated whenever another reviewed scarlet standard is added; omit the named class if no consumer needs it.		
COLOR:lemon_yellow	lemon|lemon-yellow	lexical_umbrella	lemon yellow	PATO		PATO:0000014	A colour quality that satisfies at least one documented source-specific operational sense conventionally designated lemon yellow.			Primitive superclass of the lemon-yellow sensu children; do not close it with an equivalent union.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912	Map an unqualified lemon-yellow colour observation here; require colour context for lemon alone.	Lemon can also denote a fruit or a shape.		
COLOR:lemon_yellow_saccardo_1891	lemon|lemon-yellow	sensu_colour	lemon yellow sensu Saccardo (1891)	PATO		COLOR:lemon_yellow	A colour quality recognized according to Saccardo's Chromotaxia as category 24 by resemblance to the epicarp of Citrus medica or Citrus limon.	Saccardo Chromotaxia 1891	category 24 lemon-yellow	SubClassOf COLOR:lemon_yellow.	EVID:SACCARDO_CHROMOTAXIA	Use only when Saccardo's nomenclature or category 24 is specified.	Natural citrus epicarp varies, so the botanical exemplar does not define a source-independent colour.		
COLOR:lemon_yellow_ridgway_1912	lemon|lemon-yellow	sensu_colour	lemon yellow sensu Ridgway (1912)	PATO		COLOR:lemon_yellow	A colour quality recognized according to Ridgway's 1912 standard by closest match to Lemon Yellow chip IV 23; Hamly gives the approximate legacy conversion Munsell 7.5Y 8.0/10.5.	Ridgway Color Standards and Color Nomenclature 1912	Lemon Yellow IV 23	SubClassOf COLOR:lemon_yellow.	EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Use only when Ridgway 1912 or chip IV 23 is specified.	The Ridgway chip is normative; Hamly's coordinate is approximate and not recommended for new observations.		
COLOR:mahogany_red	mahogany|mahogany-red	lexical_umbrella	mahogany red	PATO		PATO:0000014	A colour quality that satisfies at least one documented source-specific operational sense conventionally designated mahogany red.			Primitive superclass of documented mahogany-red sensu children.	EVID:RIDGWAY_1912	Map an unqualified mahogany-red colour observation here; require colour context for mahogany alone.	Mahogany can denote wood or a broader colour family.		
COLOR:mahogany_red_ridgway_1912	mahogany|mahogany-red	sensu_colour	mahogany red sensu Ridgway (1912)	PATO		COLOR:mahogany_red	A colour quality recognized according to Ridgway's 1912 standard by closest match to Mahogany Red chip II 7k; Hamly gives the approximate legacy conversion Munsell 10R 3.5/6.0.	Ridgway Color Standards and Color Nomenclature 1912	Mahogany Red II 7k	SubClassOf COLOR:mahogany_red.	EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Use only when Ridgway 1912 or chip II 7k is specified.	The physical chip remains normative.		
COLOR:salmon	salmon|salmon-coloured	lexical_umbrella	salmon colour	PATO		PATO:0000014	A colour quality that satisfies at least one documented source-specific operational sense conventionally designated salmon coloured.			Primitive superclass of the salmon sensu children; do not close it with an equivalent union.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912	Map an unqualified salmon colour observation here when colour context is explicit.	Salmon can also denote an organism; pale salmon-pink has additional modifier and composition semantics.		
COLOR:salmon_saccardo_1891	salmon|salmon-coloured	sensu_colour	salmon colour sensu Saccardo (1891)	PATO		COLOR:salmon	A colour quality recognized according to Saccardo's Chromotaxia within category 16 by resemblance to salmon flesh.	Saccardo Chromotaxia 1891	category 16 salmon-coloured	SubClassOf COLOR:salmon.	EVID:SACCARDO_CHROMOTAXIA	Use only when Saccardo's nomenclature or category 16 is specified.	Salmon flesh varies; retain the exemplar within this source-specific sense.		
COLOR:salmon_ridgway_1912	salmon|salmon-coloured	sensu_colour	salmon colour sensu Ridgway (1912)	PATO		COLOR:salmon	A colour quality recognized according to Ridgway's 1912 standard by closest match to Salmon Color chip XIV 9-prime-d; Hamly gives the approximate legacy conversion Munsell 5YR 7.5/6.0.	Ridgway Color Standards and Color Nomenclature 1912	Salmon Color XIV 9-prime-d	SubClassOf COLOR:salmon.	EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Use only when Ridgway 1912 or the named chip is specified.	The physical chip remains normative.		
COLOR:chestnut	chestnut|chestnut-brown|chestnut-red	lexical_umbrella	chestnut colour	PATO		PATO:0000014	A colour quality that satisfies at least one documented source-specific operational sense conventionally designated chestnut coloured.			Primitive superclass of the chestnut sensu children; do not close it with an equivalent union.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912	Map an unqualified chestnut colour observation here when colour context is explicit.	The family contains redder and browner standards and cannot have one exact prototype.		
COLOR:chestnut_saccardo_1891	chestnut|chestnut-coloured	sensu_colour	chestnut colour sensu Saccardo (1891)	PATO		COLOR:chestnut	A colour quality recognized according to Saccardo's Chromotaxia within category 10 by resemblance to the pericarp or seed coat of Castanea sativa.	Saccardo Chromotaxia 1891	category 10 chestnut-coloured	SubClassOf COLOR:chestnut.	EVID:SACCARDO_CHROMOTAXIA	Use only when Saccardo's nomenclature or category 10 is specified.	The natural exemplar varies and Saccardo groups several brown names in category 10.		
COLOR:chestnut_ridgway_1912	chestnut|chestnut-red	sensu_colour	chestnut sensu Ridgway (1912)	PATO		COLOR:chestnut	A colour quality recognized according to Ridgway's 1912 standard by closest match to Chestnut chip II 9m; Hamly gives the approximate legacy conversion Munsell 10R 3.0/5.0.	Ridgway Color Standards and Color Nomenclature 1912	Chestnut II 9m	SubClassOf COLOR:chestnut.	EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Use only when Ridgway 1912 or chip II 9m is specified.	Ridgway's Chestnut is distinct from his Chestnut-Brown.		
COLOR:chestnut_brown_ridgway_1912	chestnut|chestnut-brown	sensu_colour	chestnut-brown sensu Ridgway (1912)	PATO		COLOR:chestnut	A colour quality recognized according to Ridgway's 1912 standard by closest match to Chestnut-Brown chip XIV 11-prime-m; Hamly gives the approximate legacy conversion Munsell 2.5YR 3.4/3.0.	Ridgway Color Standards and Color Nomenclature 1912	Chestnut-Brown XIV 11-prime-m	SubClassOf COLOR:chestnut.	EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Use only when Ridgway 1912 or the named chip is specified.	Do not merge this browner chip with Chestnut II 9m.		
COLOR:chocolate_brown	chocolate|chocolate-brown	lexical_umbrella	chocolate brown	PATO		PATO:0000014	A colour quality that satisfies at least one documented source-specific operational sense conventionally designated chocolate brown.			Primitive superclass of the chocolate-brown sensu children; do not close it with an equivalent union.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912	Map an unqualified chocolate-brown colour observation here; require colour context for chocolate alone.	Cacao roast and manufactured chocolate products vary.		
COLOR:chocolate_brown_saccardo_1891	chocolate|chocolate-brown	sensu_colour	chocolate brown sensu Saccardo (1891)	PATO		COLOR:chocolate_brown	A colour quality recognized according to Saccardo's Chromotaxia within category 10 by resemblance to roasted seeds of Theobroma cacao.	Saccardo Chromotaxia 1891	category 10 chocolate-brown	SubClassOf COLOR:chocolate_brown.	EVID:SACCARDO_CHROMOTAXIA	Use only when Saccardo's nomenclature or category 10 chocolate-brown is specified.	The natural exemplar is source-specific and Saccardo groups several brown names in category 10.		
COLOR:chocolate_ridgway_1912	chocolate|chocolate-brown	sensu_colour	chocolate sensu Ridgway (1912)	PATO		COLOR:chocolate_brown	A colour quality recognized according to Ridgway's 1912 standard by closest match to Chocolate chip XXVIII 7-double-prime-m; Hamly gives the approximate legacy conversion Munsell 2.5YR 2.6/2.5.	Ridgway Color Standards and Color Nomenclature 1912	Chocolate XXVIII 7-double-prime-m	SubClassOf COLOR:chocolate_brown.	EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Use only when Ridgway 1912 or the named chip is specified.	The physical chip remains normative.		
COLOR:olive	olive|olive-green	lexical_umbrella	olive colour	PATO		PATO:0000014	A colour quality that satisfies at least one documented source-specific operational sense conventionally designated olive or olive green.			Primitive superclass of the olive sensu children; do not close it with an equivalent union.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912	Map an unqualified olive colour observation here only in explicit colour context.	Do not automatically reuse PATO:0001942 until its brown-green extension is compared with every source region; olive can also be a taxon, fruit, or resemblance shape.		
COLOR:olive_green_saccardo_1891	olive|olive-green	sensu_colour	olive-green sensu Saccardo (1891)	PATO		COLOR:olive	A colour quality recognized according to Saccardo's Chromotaxia as category 39 olive-green.	Saccardo Chromotaxia 1891	category 39 olive-green	SubClassOf COLOR:olive.	EVID:SACCARDO_CHROMOTAXIA	Use only when Saccardo's nomenclature or category 39 is specified.	Do not infer identity with every modern use of olive green.		
COLOR:olive_ridgway_1912	olive	sensu_colour	olive sensu Ridgway (1912)	PATO		COLOR:olive	A colour quality recognized according to Ridgway's 1912 standard by closest match to Olive chip XXX 21-double-prime-m; Hamly gives the approximate legacy conversion Munsell 5Y 3.8/3.0.	Ridgway Color Standards and Color Nomenclature 1912	Olive XXX 21-double-prime-m	SubClassOf COLOR:olive.	EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Use only when Ridgway 1912 or the named Olive chip is specified.	Ridgway distinguishes Olive from Olive-Green.		
COLOR:olive_green_ridgway_1912	olive-green	sensu_colour	olive-green sensu Ridgway (1912)	PATO		COLOR:olive	A colour quality recognized according to Ridgway's 1912 standard by closest match to Olive-Green chip IV 23m; Hamly gives the approximate legacy conversion Munsell 7.5Y 4.0/3.5.	Ridgway Color Standards and Color Nomenclature 1912	Olive-Green IV 23m	SubClassOf COLOR:olive.	EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Use only when Ridgway 1912 or the named Olive-Green chip is specified.	Do not merge this with Ridgway Olive XXX 21-double-prime-m.		
COLOR:rose	rose|rosy|rose-pink	lexical_umbrella	rose colour	PATO		PATO:0000014	A colour quality that satisfies at least one documented source-specific operational sense conventionally designated rose, rosy, or rose pink.			Primitive superclass of the rose sensu children; do not close it with an equivalent union.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912	Map an unqualified rose-colour observation here only in explicit colour context.	Review PATO:0001425 rosy as a possible generic umbrella, but do not retain its current red-plus-yellow definition without evidence.		
COLOR:rose_saccardo_1891	rose|rosy	sensu_colour	rose colour sensu Saccardo (1891)	PATO		COLOR:rose	A colour quality recognized according to Saccardo's Chromotaxia as category 17 by resemblance to petals of a typical Rosa centifolia.	Saccardo Chromotaxia 1891	category 17 rosy	SubClassOf COLOR:rose.	EVID:SACCARDO_CHROMOTAXIA	Use only when Saccardo's nomenclature or category 17 is specified.	Actual rose petals vary; the stated exemplar belongs only to this historical sense.		
COLOR:rose_color_ridgway_1912	rose	sensu_colour	rose color sensu Ridgway (1912)	PATO		COLOR:rose	A colour quality recognized according to Ridgway's 1912 standard by closest match to Rose Color chip XII 71b; Hamly gives the approximate legacy conversion Munsell 5RP 5.5/14.0.	Ridgway Color Standards and Color Nomenclature 1912	Rose Color XII 71b	SubClassOf COLOR:rose.	EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Use only when Ridgway 1912 or the named Rose Color chip is specified.	Ridgway distinguishes Rose Color from the lighter Rose Pink.		
COLOR:rose_pink_ridgway_1912	rose-pink	sensu_colour	rose pink sensu Ridgway (1912)	PATO		COLOR:rose	A colour quality recognized according to Ridgway's 1912 standard by closest match to Rose Pink chip XII 71f; Hamly gives the approximate legacy conversion Munsell 5RP 8.0/8.0.	Ridgway Color Standards and Color Nomenclature 1912	Rose Pink XII 71f	SubClassOf COLOR:rose.	EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Use only when Ridgway 1912 or the named Rose Pink chip is specified.	Do not model this as conjunctive subclassing under generic red and pink solely from the compound label.		
COLOR:straw_yellow	straw|straw-coloured|straw-yellow	lexical_umbrella	straw yellow	PATO		PATO:0000014	A colour quality that satisfies at least one documented source-specific operational sense conventionally designated straw coloured or straw yellow.			Primitive superclass of the straw-yellow sensu children; do not close it with an equivalent union.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912	Map an unqualified straw-colour observation here; require colour context for straw alone.	Dried culms vary by species, age, and preservation.		
COLOR:straw_saccardo_1891	straw|straw-coloured	sensu_colour	straw colour sensu Saccardo (1891)	PATO		COLOR:straw_yellow	A colour quality recognized according to Saccardo's Chromotaxia as category 26 by resemblance to freshly dried culms of wheat or rice.	Saccardo Chromotaxia 1891	category 26 straw-coloured	SubClassOf COLOR:straw_yellow.	EVID:SACCARDO_CHROMOTAXIA	Use only when Saccardo's nomenclature or category 26 is specified.	The botanical exemplar is source-specific and naturally variable.		
COLOR:straw_yellow_ridgway_1912	straw|straw-yellow	sensu_colour	straw yellow sensu Ridgway (1912)	PATO		COLOR:straw_yellow	A colour quality recognized according to Ridgway's 1912 standard by closest match to Straw Yellow chip XVI 21-prime-d; Hamly gives the approximate legacy conversion Munsell 6Y 8.4/6.0.	Ridgway Color Standards and Color Nomenclature 1912	Straw Yellow XVI 21-prime-d	SubClassOf COLOR:straw_yellow.	EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Use only when Ridgway 1912 or the named Straw Yellow chip is specified.	The physical chip remains normative.		
