po_id	po_label	pato_id	pato_label	proposed_label	review_scope	pato_is_attribute	evidence_count	origins	example_1	example_2	example_3	review_status	reviewer	review_date	review_notes
PO_0020055	leaf rachis	PATO_0000122	length	leaf rachis length	reusable_trait	true	2	missing_bearer:2	Rachis foliaire … 85 cm de longueur	Rachis foliaire … long de 27-40 cm		approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:2); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030091	capsule fruit	PATO_0001334	diameter	capsule fruit diameter	reusable_trait	true	5	missing_bearer:2|saudi_ncvc:3	Capsule … 25 mm de diamètre	Capsule … 4 cm diam.	Dombeya torrida (J.F.Gmel.) Bamps (p69): 5-6 mm in diameter	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:2|saudi_ncvc:3); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0009058	perianth	PATO_0000119	height	perianth height	reusable_trait	true	12	missing_bearer:12	Périanthe … haut de 2-2,5 mm	périanthe … haut de 3-6 mm	périanthe … haut de 2,5-3 mm	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:12); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030091	capsule fruit	PATO_0000921	width	capsule fruit width	reusable_trait	true	5	missing_bearer:1|saudi_ncvc:4	Capsule … large de 1,4-1,6 cm	Pittosporum viridiflorum Sims (p84): 8 mm wide	Hypericum revolutum Vahl (p199): capsule 12 × 10 mm	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1|saudi_ncvc:4); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0020003	plant ovule	PATO_0001436	sessile (sensu botany)	plant ovule sessile (sensu botany)	reusable_phenotype	false	6	missing_bearer:6	ovule … sessile	ovules … sessile		approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:6); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030100	legume fruit	PATO_0104032	coriaceous	legume fruit coriaceous	reusable_phenotype	false	5	missing_bearer:4|saudi_ncvc:1	Pods … coriaceous	Pod … coriaceous	Vachellia johnwoodii (Boulos) Ragup., Seigler, Ebinger & Maslin (p61): leathery in texture	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:4|saudi_ncvc:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030100	legume fruit	PATO_0000701	smooth	legume fruit smooth	reusable_phenotype	false	13	missing_bearer:13	Pod … smooth	Pods … smooth		approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:13); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030123	panicle inflorescence	PATO_0000402	branched	panicle inflorescence branched	reusable_phenotype	false	17	missing_bearer:17	Panicles … branched	Panicle … branched		approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:17); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030123	panicle inflorescence	PATO_0000622	erect	panicle inflorescence erect	reusable_phenotype	false	4	missing_bearer:4	Panicle … erect			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:4); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025060	lamina	PATO_0104032	coriaceous	lamina coriaceous	reusable_phenotype	false	28	missing_bearer:28	blade … coriaceous	blades … coriaceous		approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:28); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
FLOPO_0980978	orchid labellum	PATO_0000622	erect	orchid labellum erect	reusable_phenotype	false	9	missing_bearer:9	Lip … erect			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:9); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030117	spike inflorescence	PATO_0000622	erect	spike inflorescence erect	reusable_phenotype	false	3	missing_bearer:3	Spikes … erect			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:3); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
FLOPO_0980978	orchid labellum	PATO_0001436	sessile (sensu botany)	orchid labellum sessile (sensu botany)	reusable_phenotype	false	6	missing_bearer:6	Lip … sessile			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:6); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025355	corm	PATO_0104032	coriaceous	corm coriaceous	reusable_phenotype	false	1	missing_bearer:1	Pseudobulbs … coriaceous			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030102	nut fruit	PATO_0000622	erect	nut fruit erect	reusable_phenotype	false	2	missing_bearer:2	Nutlets … erect			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:2); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0009045	involucral bract	PATO_0000122	length	involucral bract length	reusable_trait	true	318	missing_bearer:318	phyllaries … 2–6 mm long	phyllaries … 9–18 mm long	phyllaries … 5–18 mm long	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:318); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0009045	involucral bract	PATO_0000921	width	involucral bract width	reusable_trait	true	36	missing_bearer:36	phyllaries … 1.5-2 mm wide	phyllaries … 3.5 mm wide	phyllaries … 1–2 mm wide	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:36); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0009045	involucral bract	PATO_0000622	erect	involucral bract erect	reusable_phenotype	false	1	missing_bearer:1	phyllaries … erect			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0009100	involucre	PATO_0000119	height	involucre height	reusable_trait	true	2	missing_bearer:2	involucre … 2-2.8 cm high	Involucre … 4–7.5 mm high		approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:2); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025331	ray flower	PATO_0000622	erect	ray flower erect	reusable_phenotype	false	1	missing_bearer:1	Ray florets … erect			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030121	capitulum inflorescence	PATO_0001436	sessile (sensu botany)	capitulum inflorescence sessile (sensu botany)	reusable_phenotype	false	1	missing_bearer:1	Capitula … sessile			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030107	achene fruit	PATO_0000921	width	achene fruit width	reusable_trait	true	1	missing_bearer:1	Achenes … 0.5–0.8 mm wide			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030107	achene fruit	PATO_0000915	thickness	achene fruit thickness	reusable_trait	true	2	missing_bearer:2	Achenes …  0.2 mm thick			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:2); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0009006	shoot system	PATO_0001334	diameter	shoot system diameter	reusable_trait	true	3	missing_bearer:3	shoots … 5 mm diameter	Shoots … 3-4 mm diam.	shoots … 1.5-4 mm diam.	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:3); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025331	ray flower	PATO_0000921	width	ray flower width	reusable_trait	true	5	missing_bearer:5	Ray florets … 1.5–3 mm wide	Ray florets … 2–4 mm wide	Ray florets … 0.5–0.8 mm wide	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:5); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025331	ray flower	PATO_0000122	length	ray flower length	reusable_trait	true	18	missing_bearer:18	Ray florets … 9–13 mm long	Ray florets … 29 mm long	Ray florets … 25 mm long	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:18); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025094	sporangium	PATO_0001334	diameter	sporangium diameter	reusable_trait	true	1	missing_bearer:1	sporangia …  320 µm diameter			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025355	corm	PATO_0000122	length	corm length	reusable_trait	true	6	missing_bearer:6	Corm … 1.5–2.5 cm long	corm … 1–2.2 cm long	corm …  1.2 cm long	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:6); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0009100	involucre	PATO_0000921	width	involucre width	reusable_trait	true	7	missing_bearer:7	Involucres … 7–10 mm wide	Involucres … 2.5–3 mm wide	Involucre … 2–2.5 mm wide	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:7); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030121	capitulum inflorescence	PATO_0000622	erect	capitulum inflorescence erect	reusable_phenotype	false	25	missing_bearer:25	Capitula … erect			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:25); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030121	capitulum inflorescence	PATO_0001334	diameter	capitulum inflorescence diameter	reusable_trait	true	9	missing_bearer:5|saudi_ncvc:4	Capitula … 4–6 mm in diameter	Capitula … 11–17 mm in diameter	capitula … 1.5–2 mm diameter	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:5|saudi_ncvc:4); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025355	corm	PATO_0000921	width	corm width	reusable_trait	true	1	missing_bearer:1	Corm … 4–10 mm wide			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025094	sporangium	PATO_0000122	length	sporangium length	reusable_trait	true	3	missing_bearer:3	Sporangia … 5–6 mm long	Sporangium … 2.2 mm long	sporangia … 1.5–2 mm long	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:3); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025094	sporangium	PATO_0000921	width	sporangium width	reusable_trait	true	4	missing_bearer:4	Sporangium … 1.7 mm wide	Sporangia … 1.5–2 mm wide	Sporangia … 1.2–1.5 mm wide	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:4); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0009026	sporophyll	PATO_0000921	width	sporophyll width	reusable_trait	true	15	missing_bearer:15	Sporophylls … 1.75–2.5 mm wide	Sporophylls … 1.8–2 mm wide	Sporophylls … 1–1.5 mm wide	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:15); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025083	strobilus	PATO_0000122	length	strobilus length	reusable_trait	true	5	missing_bearer:4|saudi_ncvc:1	Strobili … 10–21 mm long	Strobili … 2.5–4 mm long	Strobili … 5–8 mm long	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:4|saudi_ncvc:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025083	strobilus	PATO_0000921	width	strobilus width	reusable_trait	true	10	missing_bearer:10	Strobili … 1.2–1.3 mm wide	Strobili … 1–2 mm wide	Strobili …  2 mm wide	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:10); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025359	sorus	PATO_0001334	diameter	sorus diameter	reusable_trait	true	2	missing_bearer:2	Sori … 1-3 mm diam.			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:2); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025017	plant spore	PATO_0001334	diameter	plant spore diameter	reusable_trait	true	2	missing_bearer:2	Spores … 50-63 mm in diam.	Spores … 55-63 mm in diam.		approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:2); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030128	determinate thyrse inflorescence	PATO_0000122	length	determinate thyrse inflorescence length	reusable_trait	true	9	missing_bearer:9	Thyrses … 8–21 cm long	Thyrse … 1.2 m long	Thyrses … 70 cm long	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:9); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030128	determinate thyrse inflorescence	PATO_0000402	branched	determinate thyrse inflorescence branched	reusable_phenotype	false	2	missing_bearer:2	Thyrse … branched	Thyrses … branched		approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:2); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025599	pistillate flower	PATO_0001436	sessile (sensu botany)	pistillate flower sessile (sensu botany)	reusable_phenotype	false	1	missing_bearer:1	Female flowers … sessile			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030128	determinate thyrse inflorescence	PATO_0000622	erect	determinate thyrse inflorescence erect	reusable_phenotype	false	1	missing_bearer:1	Thyrses … erect			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030100	legume fruit	PATO_0000915	thickness	legume fruit thickness	reusable_trait	true	4	missing_bearer:4	Pods … 1.5-2 cm thick	Pods … c. 1.5 cm thick	Pods … up to 1.6 cm thick	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:4); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030100	legume fruit	PATO_0000122	length	legume fruit length	reusable_trait	true	24	missing_bearer:3|saudi_ncvc:21	Pods … up to 30 cm long	Pods … up to 10 cm long	Pods … c. 15 cm long	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:3|saudi_ncvc:21); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030102	nut fruit	PATO_0000122	length	nut fruit length	reusable_trait	true	11	missing_bearer:7|saudi_ncvc:4	Nutlets … 4-4.5 mm long	Nutlets … 4.5 mm long	Nutlets … 2-2.5 mm long	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:7|saudi_ncvc:4); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030102	nut fruit	PATO_0000921	width	nut fruit width	reusable_trait	true	8	missing_bearer:4|saudi_ncvc:4	Nutlets … 2.5 mm wide	Nutlets … 3.5-4 mm wide	Nutlets … 1.5 mm wide	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:4|saudi_ncvc:4); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030102	nut fruit	PATO_0000701	smooth	nut fruit smooth	reusable_phenotype	false	1	missing_bearer:1	Nutlets … smooth			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0020139	leaf midvein	PATO_0000921	width	leaf midvein width	reusable_trait	true	2	missing_bearer:2	midrib … 1-2 mm wide	midrib … 1-3 mm wide		approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:2); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0025601	staminate inflorescence	PATO_0000122	length	staminate inflorescence length	reusable_trait	true	1	missing_bearer:1	Male inflorescence …  15 cm long			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0009078	pistillode	PATO_0001334	diameter	pistillode diameter	reusable_trait	true	1	missing_bearer:1	pistillode … 0.3-0.5 mm diam.			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030112	pedicel	PATO_0000066	pilosity	pedicel pilosity	reusable_trait	true	9	explicit_disjunction:9	fleurs … pédicelle de 1–2 cm de long, tomenteux ou hispide	fleurs … pédicelle de 10–20 mm de long, glabre ou éparsement poilu	description … pedicels short, up to 1 mm. long, glabrous or hairy	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (explicit_disjunction:9); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
